# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 19 2023 at 19:02:44+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.19-17.02.39-6068
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.19-17.02.39-6068
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.47038507461548 0 0.207324743270874 0 4.3215959072113 0 0 0 0 0 0 0 0 0 14.0743961700105 36480.8348726671 0 36480.8348726671 124 589803 2283 587520 0 0 0 0 4.46857166290283 1692464564.64469 266
512 0.5 1400.57646318299 1400.57646318299 5.82770705223083 1.28518509864807 1.49437737464905 0 4.3356819152832 3 186220.646544811 186220.646544811 239328 239328 91429.6315165857 91429.6315165857 117504 117504 33.6923361163407 139216.040524444 3634.38768148117 135581.652842962 150 603466 15946 587520 0 0 0 0 5.81560492515564 1692464566.00201 905
1024 1 1734.94809171725 1734.94809171725 6.61751198768616 2.07499003410339 2.27104496955872 0 4.34885382652283 6 230678.698274726 230678.698274726 478656 478656 113257.411427302 113257.411427302 235008 235008 39.5723697620744 139119.426761579 3947.57395568414 135171.852805895 176 604869 17349 587520 0 0 0 0 6.59548044204712 1692464566.79182 1544
1536 1.5 1846.93294487459 1846.93294487459 7.4662880897522 2.92376613616943 3.10539531707764 0 4.36331391334534 9 245568.204350525 245568.204350525 717984 717984 120567.782641413 120567.782641413 352512 352512 45.403547007776 138977.047038994 4252.34028137474 134724.706757619 202 606264 18744 587520 0 0 0 0 7.43395924568176 1692464567.64059 2183
2048 2 1912.57557380613 1912.57557380613 8.30707907676697 3.7645571231842 3.88049912452698 0 4.48536252975464 12 254296.048293264 254296.048293264 957312 957312 124852.933458064 124852.933458064 470016 470016 64.1578833013706 172372.126615241 4513.41672703551 167858.709888206 348 1195207 20167 1175040 0 0 0 0 8.26435732841492 1692464568.48138 2822
2560 2.5 1602.42772320804 1602.42772320804 10.1589999198914 5.61647796630859 5.66304159164429 0 4.49846744537354 15 213058.790077741 213058.790077741 1196640 1196640 104606.481771021 104606.481771021 587520 587520 82.2961364377813 266105.446859527 4750.7112923637 261354.735567164 374 1196598 21558 1175040 0 0 0 0 10.1063561439514 1692464570.3333 3461
3072 3 1690.99850608532 1603.98491179369 10.9292809963226 6.38675904273987 6.41978931427002 0 4.51194453239441 18 224835.161369104 224835.161369104 1435968 1435968 110388.382477249 110388.382477249 705024 705024 87.8147755712791 265626.16907961 5055.78047537776 260570.388604232 400 1198032 22992 1175040 0 0 0 0 10.8661696910858 1692464571.10359 4100
3584 3.5 1753.71543443043 1612.75754256618 11.7272679805756 7.1847460269928 7.20297622680664 0 4.52720880508423 21 233174.00416187 233174.00416187 1675296 1675296 114482.543559619 114482.543559619 822528 822528 93.2742676571326 265064.470919894 5346.47218094403 259717.99873895 426 1199429 24389 1175040 0 0 0 0 11.6539146900177 1692464571.90157 4739
4096 4 1776.86018116285 1625.72862710192 12.6467049121857 8.10418295860291 8.05599617958069 0 4.64494156837463 24 236251.329687412 236251.329687412 1914624 1914624 115993.432626311 115993.432626311 940032 940032 110.658294740415 295417.783831047 5580.18412670318 289837.599704344 572 1788368 25808 1762560 0 0 0 0 12.5630075931549 1692464572.82101 5378
4608 4.5 1651.48978481085 1620.44420196144 14.3518469333649 9.8093249797821 9.69496726989746 0 4.65970659255981 27 219582.08178845 219582.08178845 2153952 2153952 107809.253152452 107809.253152452 1057536 1057536 127.553220810031 384283.926002831 5798.7326174311 378485.1933854 598 1789765 27205 1762560 0 0 0 0 14.2581920623779 1692464574.52615 6017
5120 5 1691.22528222287 1622.61782398914 15.185693025589 10.6431710720062 10.5154502391815 0 4.67293977737427 30 224865.313524353 224865.313524353 2393280 2393280 110403.186423509 110403.186423509 1175040 1175040 132.755410875957 383491.4118839 6089.19092659754 377402.220957302 624 1791191 28631 1762560 0 0 0 0 15.0816402435303 1692464575.36 6656
5632 5.5 1734.53577621237 1627.20759869891 15.9576799869537 11.415158033371 11.2738528251648 0 4.68650913238525 33 230623.876805197 230623.876805197 2632608 2632608 113230.495471144 113230.495471144 1292544 1292544 137.921400104197 382674.026621302 6366.37496858679 376307.651652716 650 1792579 30019 1762560 0 0 0 0 15.8434171676636 1692464576.13198 7295
6144 6 1758.45445854171 1634.07576093985 16.8260359764099 12.2835140228271 12.0773131847382 0 4.80568408966064 36 233804.104807706 233804.104807706 2871936 2871936 114791.907053603 114791.907053603 1410048 1410048 154.146711044867 410497.956085946 6583.03324313332 403914.922842812 796 2381534 31454 2350080 0 0 0 0 16.7013299465179 1692464577.00034 7934
6656 6.5 1670.08582486633 1633.59098491696 18.5537779331207 14.011255979538 13.7376325130463 0 4.8185555934906 39 222054.611274228 222054.611274228 3111264 3111264 109023.202647274 109023.202647274 1527552 1527552 169.845369824268 494737.968265742 6779.28034812022 487958.687917622 822 2382930 32850 2350080 0 0 0 0 18.4191844463348 1692464578.72808 8573
7168 7 1698.95454056223 1635.64962573316 19.3751730918884 14.8326511383057 14.5460510253906 0 4.84055113792419 42 225892.995713155 225892.995713155 3350592 3350592 110907.752407903 110907.752407903 1645056 1645056 174.772968746282 493706.302547257 7058.83999836878 486647.462548888 848 2384360 34280 2350080 0 0 0 0 19.2303206920624 1692464579.54948 9212
7680 7.5 1729.23164481685 1638.73268896769 20.1563930511475 15.6138710975647 15.3039193153381 0 4.85487151145935 45 229918.639494848 229918.639494848 3589920 3589920 112884.241773644 112884.241773644 1762560 1762560 179.289996683495 491616.88035435 7311.32241647935 484305.557937871 874 2385759 35679 2350080 0 0 0 0 20.0013406276703 1692464580.3307 9851
8192 8 1750.45789048502 1643.18222384993 20.9953598976135 16.4528379440308 16.0799398422241 0 4.97137117385864 48 232740.881118888 232740.881118888 3829248 3829248 114269.891090862 114269.891090862 1880064 1880064 194.489990525187 517254.06401683 7511.26039767828 509742.803619152 1020 2974713 37113 2937600 0 0 0 0 20.8300070762634 1692464581.16966 10490
8704 8.5 1683.27053984077 1644.03518422865 22.7214179039001 18.1788959503174 17.7394549846649 0 4.98457074165344 51 223807.650977229 223807.650977229 4068576 4068576 109883.900840806 109883.900840806 1997568 1997568 209.154507348271 597335.236781896 7688.13429985939 589647.102482036 1046 2976103 38503 2937600 0 0 0 0 22.54611992836 1692464582.89572 11129
