# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 21 2023 at 00:11:56+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.81639814376831 0 0.448566913604736 0 4.42850351333618 0 0 0 0 0 0 0 0 0 13.7367944955495 98904.9203679561 0 98904.9203679561 124 895563 2283 893280 0 0 0 0 4.81452536582947 1692569516.16045 266
512 0.25 485.85354326513 485.85354326513 6.75016903877258 1.85241007804871 2.30282330513 0 4.45737600326538 3 277057.44320967 277057.44320967 513224 513224 199592.954271478 199592.954271478 369728 369728 32.8285698356128 204398.095952721 3541.21333110319 200856.882621618 150 909230 15950 893280 0 0 0 0 6.73743438720703 1692569518.09422 905
1024 0.5 578.489625647978 578.489625647978 8.00931000709534 3.11155104637146 3.53343534469604 0 4.48015260696411 6 329883.066259509 329883.066259509 1026448 1026448 237648.680346195 237648.680346195 739456 739456 38.4282431867293 203414.990068544 3838.35591830238 199576.634150242 176 910661 17381 893280 0 0 0 0 7.98611950874329 1692569519.35336 1544
1536 0.75 612.582558744307 612.582558744307 9.30532813072205 4.40756916999817 4.80687618255615 0 4.50331687927246 9 349324.523476654 349324.523476654 1539672 1539672 251654.360310461 251654.360310461 1109184 1109184 44.015141715747 202713.958158828 4138.97941214896 198574.978746679 202 912103 18823 893280 0 0 0 0 9.27186226844788 1692569520.64938 2183
2048 1 621.642478886915 621.642478886915 10.6888689994812 5.79111003875732 6.11550259590149 0 4.63012027740479 12 354490.932871398 354490.932871398 2052896 2052896 255376.256037668 255376.256037668 1478912 1478912 62.0986763224798 294174.111863624 4391.95074863848 289782.161114986 348 1806838 20278 1786560 0 0 0 0 10.6448254585266 1692569522.03292 2822
2560 1.25 562.594932690528 600.351739362527 12.896409034729 7.99865007400513 8.24840188026428 0 4.65223622322083 15 320819.135261293 320819.135261293 2566120 2566120 231118.999193115 231118.999193115 1848640 1848640 79.6040082779542 388991.225683304 4620.04452367781 384371.181159627 374 1808239 21679 1786560 0 0 0 0 12.8423335552216 1692569524.24046 3461
3072 1.5 580.144857159968 595.201308234778 14.2057790756226 9.30802011489868 9.53554177284241 0 4.67459750175476 18 330826.960190075 330826.960190075 3079344 3079344 238328.664164489 238328.664164489 2218368 2218368 84.792265216216 387452.474614689 4910.88536043918 382541.58925425 400 1809695 23135 1786560 0 0 0 0 14.141252040863 1692569525.54983 4100
3584 1.75 591.013321964622 593.035577457548 15.5574171543121 10.6596581935883 10.8648624420166 0 4.69676470756531 21 337024.690168857 337024.690168857 3592568 3592568 242793.526114818 242793.526114818 2588096 2588096 89.9296920064174 385916.224962696 5193.97247220951 380722.252490486 426 1811137 24577 1786560 0 0 0 0 15.4822998046875 1692569526.90147 4739
4096 2 598.454734172269 592.457613421627 16.9287440776825 12.0309851169586 12.1620361804962 0 4.82329058647156 24 341268.147212032 341268.147212032 4105792 4105792 245850.524395605 245850.524395605 2957824 2957824 106.572504746906 470848.23496838 5420.0929776399 465428.141990741 572 2705868 26028 2679840 0 0 0 0 16.8430151939392 1692569528.27279 5378
4608 2.25 567.497637978204 586.730544067791 19.1709461212158 14.2731871604919 14.3295838832855 0 4.84565424919128 27 323614.89750414 323614.89750414 4619016 4619016 233133.074104895 233133.074104895 3327552 3327552 122.692740350273 559152.541570052 5622.38449887953 553530.157071172 598 2707264 27424 2679840 0 0 0 0 19.0752229690552 1692569530.515 6017
