# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 23 2023 at 23:49:42+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.23-21.49.33-26795
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.23-21.49.33-26795
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 8.33017897605896 0 3.59214496612549 0 4.79177832603455 0 0 0 0 0 0 0 0 0 12.6634802270747 49032.9954392333 0 49032.9954392333 124 488531 2291 486240 0 0 0 0 8.32803678512573 1692827382.12634 266
512 0.375 663.56804486796 663.56804486796 10.4346101284027 2.03445601463318 5.62838864326477 0 4.80917096138 3 116839.09521281 116839.09521281 237704 237704 77166.5737036376 77166.5737036376 156992 156992 30.3772933585082 104456.484486293 3287.61378327252 101168.870703021 150 502245 16005 486240 0 0 0 0 10.4213714599609 1692827384.23078 905
1024 0.75 924.062587691988 924.062587691988 11.3220341205597 2.92188000679016 6.50041151046753 0 4.82394051551819 6 162706.202477582 162706.202477582 475408 475408 107459.580568104 107459.580568104 313984 313984 35.6726384267375 104425.219623395 3579.50038725036 100845.719236144 176 503702 17462 486240 0 0 0 0 11.2976710796356 1692827385.1182 1544
1536 1.125 1054.79132532921 1054.79132532921 12.239776134491 3.83962202072144 7.40521264076233 0 4.83697962760925 9 185724.531256338 185724.531256338 713112 713112 122662.073885988 122662.073885988 470976 470976 40.9550935170971 104448.105946903 3872.3247764322 100575.781170471 202 505166 18926 486240 0 0 0 0 12.2045311927795 1692827386.03594 2183
2048 1.5 1108.8479976007 1108.8479976007 13.2700731754303 4.86991906166077 8.36942911148071 0 4.9553906917572 12 195242.669941982 195242.669941982 950816 950816 128948.344325428 128948.344325428 627968 627968 57.9515664255599 150748.552712601 4122.92746348041 146625.625249121 348 992885 20405 972480 0 0 0 0 13.2221033573151 1692827387.06624 2822
2560 1.875 990.984114040863 1063.61970268463 15.2115650177002 6.81141090393066 10.2400684356689 0 4.97393655776978 15 174489.546551088 174489.546551088 1188520 1188520 115241.909652965 115241.909652965 784960 784960 74.4242692104649 199962.925368004 4351.80828207678 195611.117085927 374 994320 21840 972480 0 0 0 0 15.1546165943146 1692827389.00773 3461
3072 2.25 1049.05390233329 1057.03031062846 16.1213970184326 7.72124290466309 11.1364431381226 0 4.98738384246826 18 184714.302814986 184714.302814986 1426224 1426224 121994.86684082 121994.86684082 941952 941952 79.4390498905417 199721.005229857 4637.95665017506 195083.048579682 400 995805 23325 972480 0 0 0 0 16.0536456108093 1692827389.91756 4100
3584 2.625 1093.71986616367 1056.7363742182 17.0403921604156 8.64023804664612 12.0422575473785 0 5.00047755241394 21 192578.953382643 192578.953382643 1663928 1663928 127189.088317605 127189.088317605 1098944 1098944 84.4314994836788 199486.824024161 4918.23488224596 194568.589141915 426 997271 24791 972480 0 0 0 0 16.9621524810791 1692827390.83656 4739
4096 3 1119.4597232336 1060.21260227499 18.0476651191711 9.64751100540161 12.9844832420349 0 5.11736965179443 24 197111.151149274 197111.151149274 1901632 1901632 130182.385829548 130182.385829548 1255936 1255936 100.332165094438 243102.860981204 5149.72612730784 237953.134853896 572 1484986 26266 1458720 0 0 0 0 17.9584205150604 1692827391.84383 5378
4608 3.375 1059.66645604668 1054.75545978929 19.8660261631012 11.4658720493317 14.7384171485901 0 5.13089513778687 27 186582.929828238 186582.929828238 2139336 2139336 123229.004642727 123229.004642727 1412928 1412928 115.843465895895 289839.376558179 5355.90758232148 284483.468975858 598 1486392 27672 1458720 0 0 0 0 19.7664303779602 1692827393.66219 6017
