# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 08:36:23+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-06.36.18-6534
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-06.36.18-6534
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.53603410720825 0 0.254789590835571 0 4.33553814888 0 0 0 0 0 0 0 0 0 14.0146164907291 36325.8859439698 0 36325.8859439698 124 589803 2283 587520 0 0 0 0 4.5342161655426 1692858983.55901 266
512 0.5 1373.72609022462 1373.72609022462 5.91428899765015 1.31030488014221 1.56672549247742 0 4.35143661499023 3 182650.620956265 182650.620956265 239328 239328 89676.8391698632 89676.8391698632 117504 117504 33.5820281466364 138756.570037965 3618.8085536372 135137.761484328 150 603448 15928 587520 0 0 0 0 5.9009313583374 1692858984.93726 905
1024 1 1698.30391120115 1698.30391120115 6.72374606132507 2.11976194381714 2.35869193077087 0 4.36747622489929 6 225806.488033305 225806.488033305 478656 478656 110865.279323211 110865.279323211 235008 235008 39.4038641573873 138520.848061793 3924.57905162908 134596.269010164 176 604840 17320 587520 0 0 0 0 6.70003628730774 1692858985.74672 1544
1536 1.5 1849.69198534701 1849.69198534701 7.52338910102844 2.91940498352051 3.14532446861267 0 4.38046479225159 9 245935.046371738 245935.046371738 717984 717984 120747.892803453 120747.892803453 352512 352512 45.2254629897379 138422.35117155 4226.06826381884 134196.282907731 202 606223 18703 587520 0 0 0 0 7.48956346511841 1692858986.54636 2183
2048 2 1891.75390063587 1891.75390063587 8.4099760055542 3.80599188804626 3.96834063529968 0 4.49644804000854 12 251527.598628545 251527.598628545 957312 957312 123493.69463351 123493.69463351 470016 470016 63.940413006871 171775.46925836 4485.73517165105 167289.734086709 348 1195154 20114 1175040 0 0 0 0 8.36551761627197 1692858987.43295 2822
2560 2.5 1617.05224337421 1617.05224337421 10.1696670055389 5.56568288803101 5.66258382797241 0 4.5095682144165 15 215003.266279035 215003.266279035 1196640 1196640 105561.170447469 105561.170447469 587520 587520 82.0930045936652 265433.752355537 4724.11960488735 260709.632750649 374 1196530 21490 1175040 0 0 0 0 10.1144795417786 1692858989.19264 3461
3072 3 1702.07239325366 1618.01722524773 10.9491901397705 6.34520602226257 6.42866992950439 0 4.52296829223633 18 226307.545407007 226307.545407007 1435968 1435968 111111.285831599 111111.285831599 705024 705024 87.6005374559952 264958.886209579 5024.20052197112 259934.685687608 400 1197943 22903 1175040 0 0 0 0 10.8834609985352 1692858989.97216 4100
3584 3.5 1760.29133414033 1626.14809475805 11.7618901729584 7.15790605545044 7.22841382026672 0 4.53594374656677 21 234048.335787298 234048.335787298 1675296 1675296 114911.818292681 114911.818292681 822528 822528 93.0852986030129 264505.405280882 5313.5823650426 259191.822915839 426 1199330 24290 1175040 0 0 0 0 11.6855850219727 1692858990.78486 4739
4096 4 1790.09405836625 1638.48113983659 12.6482541561127 8.04427003860474 8.05085897445679 0 4.65161633491516 24 238010.906000377 238010.906000377 1914624 1914624 116857.340130149 116857.340130149 940032 940032 110.49735337675 294965.941890506 5549.8818334799 289416.060057026 572 1788264 25704 1762560 0 0 0 0 12.5612773895264 1692858991.67123 5378
4608 4.5 1653.7418128825 1632.08921836844 14.3999509811401 9.7959668636322 9.71546745300293 0 4.68694043159485 27 219881.511440857 219881.511440857 2153952 2153952 107956.26554497 107956.26554497 1057536 1057536 126.801598603594 381994.08520742 5739.15989639329 376254.925311027 598 1789646 27086 1762560 0 0 0 0 14.30260181427 1692858993.42292 6017
5120 5 1702.52757814942 1633.84029196791 15.176500082016 10.5725159645081 10.4785115718842 0 4.70110034942627 30 226368.066790747 226368.066790747 2393280 2393280 111141.000301594 111141.000301594 1175040 1175040 131.971374272816 381196.973159422 6023.64180733296 375173.331352089 624 1791050 28490 1762560 0 0 0 0 15.0683531761169 1692858994.19947 6656
5632 5.5 1740.98779513063 1638.29253911922 15.9768381118774 11.3728539943695 11.2647156715393 0 4.71455860137939 33 231481.737240569 231481.737240569 2632608 2632608 113651.683266128 113651.683266128 1292544 1292544 137.093211855005 380344.531088074 6296.52568999691 374048.005398077 650 1792431 29871 1762560 0 0 0 0 15.858154296875 1692858994.99981 7295
6144 6 1760.13199022865 1644.77558619587 16.8757910728455 12.2718069553375 12.1001882553101 0 4.83099412918091 36 234027.149420801 234027.149420801 2871936 2871936 114901.416322126 114901.416322126 1410048 1410048 153.279078677186 408153.499039507 6512.05746964728 401641.441569859 796 2381371 31291 2350080 0 0 0 0 16.7462284564972 1692858995.89876 7934
6656 6.5 1665.57313730717 1642.50240475322 18.6532020568848 14.0492179393768 13.8110637664795 0 4.84457945823669 39 221454.604336361 221454.604336361 3111264 3111264 108728.614403412 108728.614403412 1527552 1527552 168.933630338661 492045.839483983 6706.54121224655 485339.298271736 822 2382755 32675 2350080 0 0 0 0 18.5131559371948 1692858997.67617 8573
7168 7 1697.174043158 1643.65404499476 19.4521961212158 14.8482120037079 14.5963854789734 0 4.85823678970337 42 225656.260778287 225656.260778287 3350592 3350592 110791.521537354 110791.521537354 1645056 1645056 173.812379061437 490954.276359316 6981.53253858029 483972.743820736 848 2384174 34094 2350080 0 0 0 0 19.3013610839844 1692858998.47517 9212
7680 7.5 1729.21659421885 1646.31326331113 20.2179911136627 15.6140069961548 15.3487043380737 0 4.87177991867065 45 229916.638367338 229916.638367338 3589920 3589920 112883.259270606 112883.259270606 1762560 1762560 178.67093069185 489877.904082055 7244.59281733987 482633.311264715 874 2385557 35477 2350080 0 0 0 0 20.0566110610962 1692858999.24096 9851
8192 8 1749.53710955466 1650.37976908038 21.0654811859131 16.4614970684052 16.1323280334473 0 4.98877453804016 48 232618.454086387 232618.454086387 3829248 3829248 114209.782511728 114209.782511728 1880064 1880064 193.790861636263 515350.714122718 7440.2717421521 507910.442380566 1020 2974496 36896 2937600 0 0 0 0 20.8932507038116 1692859000.08845 10490
8704 8.5 1673.27931682548 1649.65113370037 22.8914270401001 18.2874429225922 17.8918569087982 0 5.00210332870483 51 222479.217965116 222479.217965116 4068576 4068576 109231.673802367 109231.673802367 1997568 1997568 208.417918467855 595187.370484018 7616.85484949558 587570.515634522 1046 2975881 38281 2937600 0 0 0 0 22.7087621688843 1692859001.9144 11129
9216 9 1690.0869858074 1650.75737765351 23.7745950222015 19.1706109046936 18.7598087787628 0 5.01741361618042 54 224713.965632951 224713.965632951 4307904 4307904 110328.878433507 110328.878433507 2115072 2115072 212.970194172754 593665.583233025 7877.90308145021 585787.680151575 1072 2977295 39695 2937600 0 0 0 0 23.5810973644257 1692859002.79757 11768
9728 9.5 1711.84828666472 1652.22811766819 24.5823900699615 19.9784059524536 19.5526192188263 0 5.03221774101257 57 227607.348194941 227607.348194941 4547232 4547232 111749.456153473 111749.456153473 2232576 2232576 217.504938570527 592170.317128411 8127.80566151893 584042.511466892 1098 2978681 41081 2937600 0 0 0 0 24.3783235549927 1692859003.60536 12407
10240 10 1731.62298300739 1654.59092039906 25.3937289714813 20.7897448539734 20.298424243927 0 5.15226268768311 60 230236.591820663 230236.591820663 4786560 4786560 113040.348330723 113040.348330723 2350080 2350080 231.585756513994 615357.111625582 8304.11570306791 607052.995922514 1244 3567631 42511 3525120 0 0 0 0 25.1790623664856 1692859004.4167 13046
10752 10.5 1675.84665566811 1654.3318563593 27.1597471237183 22.5557630062103 21.9966793060303 0 5.16551661491394 63 222820.571337632 222820.571337632 5025888 5025888 109399.269682014 109399.269682014 2467584 2467584 245.203054599215 691227.217231891 8470.35164833135 682756.86558356 1270 3569059 43939 3525120 0 0 0 0 26.9343121051788 1692859006.18272 13685
11264 11 1696.76249735517 1655.08380613434 27.9425480365753 23.3385639190674 22.7643299102783 0 5.18077325820923 66 225601.541648343 225601.541648343 5265216 5265216 110764.655827345 110764.655827345 2585088 2585088 249.506677487903 689489.687942748 8730.41631259531 680759.271630153 1296 3570528 45408 3525120 0 0 0 0 27.7056488990784 1692859006.96552 14324
11776 11.5 1716.49455855971 1656.41926016026 28.7229070663452 24.1189229488373 23.52943110466 0 5.19600009918213 69 228225.116506098 228225.116506098 5504544 5504544 112052.764782778 112052.764782778 2702592 2702592 253.779936544144 687738.621753635 8979.34261062184 678759.279143013 1322 3571962 46842 3525120 0 0 0 0 28.4755635261536 1692859007.74588 14963
12288 12 1730.45849221192 1658.38520957897 29.5684661865234 24.9644820690155 24.3100316524506 0 5.31490516662598 72 230081.761124496 230081.761124496 5743872 5743872 112964.330371594 112964.330371594 2820096 2820096 266.999615741635 709099.062817832 9149.30093514657 699949.761882686 1468 4160950 48310 4112640 0 0 0 0 29.3104321956635 1692859008.59144 15602
12800 12.5 1689.02961574341 1658.97970728768 31.2465009689331 26.6425168514252 25.9206240177155 0 5.33339190483093 75 224573.377709244 224573.377709244 5983200 5983200 110259.85331573 110259.85331573 2937600 2937600 279.766133098389 781501.344872116 9301.75451925785 772199.590352858 1494 4162389 49749 4112640 0 0 0 0 30.9780735969543 1692859010.26947 16241
13312 13 1704.33434376915 1659.80437870246 32.0633850097656 27.4594008922577 26.7176127433777 0 5.34814739227295 78 226608.294347546 226608.294347546 6222528 6222528 111258.94596125 111258.94596125 3055104 3055104 283.588586354865 778869.692257453 9543.9905513359 769325.701706117 1520 4163860 51220 4112640 0 0 0 0 31.783454656601 1692859011.08636 16880
13824 13.5 1718.55384529624 1661.00103872595 32.8835752010345 28.2795910835266 27.5244724750519 0 5.36227583885193 81 228498.919270588 228498.919270588 6461856 6461856 112187.195020939 112187.195020939 3172608 3172608 287.734734496483 777197.828249555 9785.77994889692 767412.048300658 1546 4165290 52650 4112640 0 0 0 0 32.5929985046387 1692859011.90655 17519
14336 14 1729.28561694441 1662.64780496976 33.7489671707153 29.1449830532074 28.3260283470154 0 5.47794651985168 84 229925.815628928 229925.815628928 6701184 6701184 112887.765074131 112887.765074131 3290112 3290112 300.206226351868 796999.586480885 9942.94823396359 787056.638246922 1692 4754281 54121 4700160 0 0 0 0 33.4386446475983 1692859012.77194 18158
14848 14.5 1691.35510153071 1663.22449548861 35.4668111801147 30.8628270626068 29.9781355857849 0 5.49109554290771 87 224882.574299523 224882.574299523 6940512 6940512 110411.661027925 110411.661027925 3407616 3407616 312.279341444533 866421.947930892 10084.217776904 856337.730153988 1718 4755718 55558 4700160 0 0 0 0 35.1552002429962 1692859014.48978 18797
15360 15 1705.03241774142 1663.89226189246 36.2749361991882 31.6709520816803 30.7728095054626 0 5.5045428276062 90 226701.110262899 226701.110262899 7179840 7179840 111304.51623016 111304.51623016 3525120 3525120 316.241354817262 864572.421682817 10328.1882012647 854244.233481552 1744 4757188 57028 4700160 0 0 0 0 35.9529254436493 1692859015.29791 19436
15872 15.5 1718.990886759 1664.88824431002 37.0648891925812 32.4609050750732 31.5498075485229 0 5.51767659187317 93 228557.028303477 228557.028303477 7419168 7419168 112215.725087628 112215.725087628 3642624 3642624 320.212847964387 862799.738445678 10562.1283164063 852237.610129272 1770 4758620 58460 4700160 0 0 0 0 36.7322788238525 1692859016.08786 20075
16384 16 1728.46235283298 1666.26634693972 37.9284009933472 33.3244168758392 32.3493611812592 0 5.63409900665283 96 229816.354432672 229816.354432672 7658496 7658496 112834.022392937 112834.022392937 3760128 3760128 331.95676359708 881049.278291556 10705.9641106318 870343.314180924 1916 5347609 59929 5287680 0 0 0 0 37.5591797828674 1692859016.95137 20714
16896 16.5 1678.18502768765 1666.04613835288 39.9993660449982 35.3953819274902 34.3544025421143 0 5.6475305557251 99 223131.481281349 223131.481281349 7897824 7897824 109551.91860745 109551.91860745 3877632 3877632 343.314885740167 947541.467233114 10833.9052978387 936707.561935275 1942 5349046 61366 5287680 0 0 0 0 39.6454231739044 1692859019.02234 21353
17408 17 1690.5049999265 1666.28906638776 40.806184053421 36.2021999359131 35.1471567153931 0 5.6614682674408 102 224769.544790228 224769.544790228 8137152 8137152 110356.166395202 110356.166395202 3995136 3995136 347.056107469594 945447.455969433 11067.8030443702 934379.652925062 1968 5350513 62833 5287680 0 0 0 0 40.4416568279266 1692859019.82915 21992
