# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 1.20491321499257e-07 1.20491321499256e-07 1.20491321499255e-07
1024 0.5 5.24504620067627e-07 5.24504620067623e-07 5.24504620067624e-07
1536 0.75 7.0684258960286e-07 7.0684258960286e-07 7.06842589602853e-07
2048 1 9.75805334717138e-07 9.75805334717138e-07 9.75805334717138e-07
2560 1.25 1.74617386413148e-06 1.74617386413147e-06 1.74617386413147e-06
3072 1.5 2.6317295199145e-06 2.63172951991449e-06 2.63172951991449e-06
3584 1.75 3.51070401481847e-06 3.51070401481846e-06 3.51070401481846e-06
4096 2 4.26960097971405e-06 4.26960097971405e-06 4.26960097971405e-06
4608 2.25 4.82622578715503e-06 4.82622578715503e-06 4.82622578715503e-06
5120 2.5 5.14289729381809e-06 5.14289729381808e-06 5.14289729381808e-06
5632 2.75 5.22969613199226e-06 5.22969613199226e-06 5.22969613199226e-06
6144 3 5.88850246597756e-06 5.88850246597755e-06 5.88850246597754e-06
6656 3.25 6.39163563158072e-06 6.39163563158071e-06 6.3916356315752e-06
7168 3.5 6.57209837165733e-06 6.5720983716573e-06 6.57209838511937e-06
7680 3.75 6.48727523462094e-06 6.48727523462099e-06 6.48727526173546e-06
8192 4 6.7521798857867e-06 6.75217988578992e-06 6.7521803120268e-06
8704 4.25 7.08580647489255e-06 7.08580647490703e-06 7.08580737050193e-06
9216 4.5 7.8561811765648e-06 7.8561811765318e-06 7.85618117653337e-06
9728 4.75 1.06420565551464e-05 1.06420565551317e-05 1.06420565552329e-05
10240 5 1.38790664011004e-05 1.38790664010217e-05 1.38790664011175e-05
10752 5.25 1.77684286331393e-05 1.77684286333129e-05 1.77684286330827e-05
11264 5.5 2.21044975245208e-05 2.21044975247118e-05 2.21044975245084e-05
11776 5.75 2.65421961141209e-05 2.65421961140735e-05 2.65421961141945e-05
12288 6 3.09410016886231e-05 3.09410016885041e-05 3.09410016886753e-05
12800 6.25 3.56758268936698e-05 3.56758268938273e-05 3.56758268936537e-05
13312 6.5 4.05970104642398e-05 4.05970104641992e-05 4.05970104640585e-05
13824 6.75 4.58855739847125e-05 4.58855739843474e-05 4.58855739841549e-05
14336 7 5.20495358917522e-05 5.20495358916963e-05 5.20495358923978e-05
14848 7.25 5.83620689467997e-05 5.8362068949361e-05 5.83620689529725e-05
15360 7.5 6.43535398738537e-05 6.43535398833695e-05 6.43535398932342e-05
15872 7.75 6.99400289934863e-05 6.99400290111625e-05 6.9940029028292e-05
16384 8 7.54953436409517e-05 7.54953436556292e-05 7.54953436723663e-05
16896 8.25 8.14609069623134e-05 8.14609069525178e-05 8.14609069523695e-05
17408 8.5 8.78689385800885e-05 8.78689385383562e-05 8.78689385103052e-05
17920 8.75 9.42962081606637e-05 9.42962081181028e-05 9.42962080739568e-05
18432 9 0.000100307566354777 0.000100307566362818 0.000100307566330354
18944 9.25 0.00010588617180031 0.00010588617187017 0.000105886171861699
19456 9.5 0.000111371761243896 0.000111371761316167 0.000111371761316825
19968 9.75 0.000117024662897933 0.000117024662899341 0.000117024662901321
20480 10 0.000122764477035998 0.000122764476962847 0.000122764476995288
20992 10.25 0.000128361796118675 0.000128361796035118 0.00012836179612999
21504 10.5 0.000133963134792883 0.0001339631348392 0.000133963134898215
22016 10.75 0.00013969429057148 0.000139694290661582 0.000139694290651396
22528 11 0.000145284697897997 0.000145284698005358 0.000145284697985016
23040 11.25 0.000150666670186301 0.000150666670270595 0.00015066667032978
23552 11.5 0.000155941789566801 0.000155941789711947 0.000155941789923514
24064 11.75 0.000161225408449684 0.000161225408972496 0.000161225409321581
24576 12 0.000166511787565677 0.000166511788607694 0.000166511788948342
25088 12.25 0.000171752940187417 0.000171752940814018 0.00017175294093904
25600 12.5 0.000176949217893335 0.000176949216140533 0.000176949215914718
26112 12.75 0.00018212112311028 0.000182121118404769 0.00018212111781904
26624 13 0.000187313243174076 0.000187313238922746 0.000187313238078445
27136 13.25 0.000192643722518965 0.000192643723710943 0.000192643722875832
27648 13.5 0.000198203415139598 0.000198203421266955 0.000198203420959973
28160 13.75 0.000203882703939047 0.00020388270691443 0.000203882707672772
28672 14 0.000209454942022487 0.000209454935189802 0.000209454936729871
29184 14.25 0.000214855605279908 0.000214855592984844 0.000214855593291175
29696 14.5 0.000220206915135509 0.00022020690865724 0.000220206904742515
30208 14.75 0.000225551409908743 0.000225551414669844 0.000225551406123649
30720 15 0.000230787857140681 0.000230787868300726 0.000230787860597811
31232 15.25 0.000235933476442982 0.000235933485792839 0.000235933487349358
31744 15.5 0.000241207938221641 0.000241207940621845 0.000241207953730391
32256 15.75 0.00024673951799154 0.00024673951188529 0.000246739528572943
32768 16 0.000252389797944807 0.00025238978316461 0.000252389794613029
33280 16.25 0.000257988260736178 0.00025798823617799 0.00025798824471071
33792 16.5 0.000263572534172438 0.00026357250179225 0.000263572514286647
34304 16.75 0.000269310135637535 0.000269310114742809 0.000269310119669441
34816 17 0.000275343887253729 0.000275343915318439 0.00027534387934445
35328 17.25 0.000281765830172067 0.000281765921460973 0.000281765829943174
35840 17.5 0.000288557451049197 0.000288557551041469 0.000288557450981754
36352 17.75 0.000295480262770278 0.000295480283048655 0.000295480254646267
36864 18 0.000302168161397991 0.000302168083729997 0.000302168149539724
37376 18.25 0.000308387886366487 0.000308387796175826 0.000308387884545504
37888 18.5 0.000314129447512259 0.000314129429080254 0.000314129457397098
38400 18.75 0.000319478130988562 0.000319478163619032 0.000319478134998979
38912 19 0.000324537494440585 0.000324537498662143 0.000324537479432981
39424 19.25 0.000329460513968483 0.000329460470747866 0.00032946049382644
39936 19.5 0.000334413266593314 0.000334413232005237 0.000334413269083403
40448 19.75 0.000339482065861733 0.000339482081282608 0.000339482098695366
40960 20 0.000344687277277611 0.000344687321883127 0.00034468731741174
