# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 4.67882680892944 0 0.380035638809204 0 4.35850238800049 0 0 0 0 0 0 0 0 0 13.957412124842 100493.367298862 0 100493.367298862 124 895563 2283 893280 0 0 0 0 4.67671394348145 1693316065.43014 266
512 0.25 493.876201042473 493.876201042473 6.5818989276886 1.82231903076172 2.2043125629425 0 4.38216114044189 3 281632.354893136 281632.354893136 513224 513224 202888.733398924 202888.733398924 369728 369728 33.3517120703267 207654.84087776 3597.18773953038 204057.653138229 150 909228 15948 893280 0 0 0 0 6.56860423088074 1693316067.33321 905
1024 0.5 566.655876076692 566.655876076692 7.93611097335815 3.17653107643127 3.53340983390808 0 4.407142162323 6 323134.883715093 323134.883715093 1026448 1026448 232787.270833426 232787.270833426 739456 739456 39.0669260874437 206793.959245147 3900.3328765906 202893.626368556 176 910653 17373 893280 0 0 0 0 7.91041350364685 1693316068.68742 1544
1536 0.75 599.985059474418 599.985059474418 9.25969195365906 4.50011205673218 4.83287596702576 0 4.43122291564941 9 342140.813515221 342140.813515221 1539672 1539672 246479.195632619 246479.195632619 1109184 1109184 44.7274069213308 205991.168992211 4202.79497864323 201788.374013567 202 912087 18807 893280 0 0 0 0 9.22314262390137 1693316070.011 2183
2048 1 604.180629808574 604.180629808574 10.718062877655 5.95848298072815 6.21764278411865 0 4.55919432640076 12 344533.332836528 344533.332836528 2052896 2052896 248202.773219849 248202.773219849 1478912 1478912 63.1052199788834 298937.648494686 4458.47267209963 294479.175822587 348 1806817 20257 1786560 0 0 0 0 10.6702034473419 1693316071.46937 2822
2560 1.25 551.228416056433 584.884430600387 12.9231648445129 8.16358494758606 8.34574866294861 0 4.58169341087341 15 314337.391780163 314337.391780163 2566120 2566120 226449.533124125 226449.533124125 1848640 1848640 80.8316275653905 394984.840417572 4686.0497602098 390298.790657362 374 1808214 21654 1786560 0 0 0 0 12.8646347522736 1693316073.67447 3461
3072 1.5 537.803078506896 577.083090178123 14.8004298210144 10.0408499240875 10.1990036964417 0 4.60567021369934 18 306681.607959581 306681.607959581 3079344 3079344 220934.285122442 220934.285122442 2218368 2218368 86.0602755057312 393241.780050964 4979.54316328994 388262.236887674 400 1809672 23112 1786560 0 0 0 0 14.7312338352203 1693316075.55174 4100
3584 1.75 550.241402161575 572.708287749333 16.2091000080109 11.449520111084 11.5831000804901 0 4.63023900985718 21 313774.548203302 313774.548203302 3592568 3592568 226044.059042661 226044.059042661 2588096 2588096 91.2235206683554 391464.338169702 5264.59152217329 386199.746647529 426 1811119 24559 1786560 0 0 0 0 16.1291489601135 1693316076.96041 4739
4096 2 559.405785946248 570.11516661158 17.6303799152374 12.8708000183105 12.9295382499695 0 4.75609374046326 24 319000.527873864 319000.527873864 4105792 4105792 229808.869362594 229808.869362594 2957824 2957824 108.065754214473 477442.160322597 5492.63341302696 471949.52690957 572 2705851 26011 2679840 0 0 0 0 17.5300807952881 1693316078.38169 5378
4608 2.25 530.759821521875 562.261643224317 20.0207200050354 15.2611401081085 15.2468199729919 0 4.77813076972961 27 302665.198489714 302665.198489714 4619016 4619016 218040.852546266 218040.852546266 3327552 3327552 124.426568636323 567051.463547563 5699.11389375158 561352.349653811 598 2707252 27412 2679840 0 0 0 0 19.9190721511841 1693316080.77203 6017
5120 2.5 542.145909777868 559.858225064929 21.3602769374847 16.6006970405579 16.5641057491302 0 4.8004412651062 30 309158.102666485 309158.102666485 5132240 5132240 222718.358811502 222718.358811502 3697280 3697280 129.269781175745 564724.630050008 5978.93587902528 558745.694170983 624 2708717 28877 2679840 0 0 0 0 21.2479598522186 1693316082.11159 6656
5632 2.75 552.545975593403 558.728337382812 22.6766409873962 17.9170610904694 17.8580858707428 0 4.82279682159424 33 315088.728642165 315088.728642165 5645464 5645464 226990.798293553 226990.798293553 4067008 4067008 134.065084732009 562400.125015506 6250.00633403899 556150.118681467 650 2710160 30320 2679840 0 0 0 0 22.5534632205963 1693316083.42795 7295
6144 3 542.722759449215 556.769060440738 24.6592428684235 19.8996629714966 19.7669949531555 0 4.9487624168396 36 309487.050550627 309487.050550627 6158688 6158688 222955.333784044 222955.333784044 4436736 4436736 149.624469707584 642530.193572138 6454.49710376555 636075.696468372 796 3604889 31769 3573120 0 0 0 0 24.5191903114319 1693316085.41055 7934
6656 3.25 494.201204884251 547.918315692734 28.4341478347778 23.674567937851 23.4657640457153 0 4.97265362739563 39 281817.687972794 281817.687972794 6671912 6671912 203022.247866049 203022.247866049 4806464 4806464 164.64106533009 725806.449964374 6634.95442372423 719171.49554065 822 3606289 33169 3573120 0 0 0 0 28.2837841510773 1693316089.18546 8573
7168 3.5 485.80330330282 542.383513534386 30.6960029602051 25.9364230632782 25.6979825496674 0 5.00763559341431 42 277028.793926985 277028.793926985 7185136 7185136 199572.315248383 199572.315248383 5176192 5176192 168.866857410292 721795.771860779 6888.7273704222 714907.044490357 848 3607750 34630 3573120 0 0 0 0 30.5345768928528 1693316091.44731 9212
7680 3.75 471.367367432698 535.738801699481 33.3996617794037 28.6400818824768 28.3738420009613 0 5.03014183044434 45 268796.717536977 268796.717536977 7698360 7698360 193641.904473507 193641.904473507 5545920 5545920 173.106087833025 718089.219092235 7136.54718655988 710952.671905675 874 3609191 36071 3573120 0 0 0 0 33.2268927097321 1693316094.15097 9851
8192 4 445.482846296715 526.29852270699 37.084056854248 32.3244769573212 31.9592008590698 0 5.18505311012268 48 254036.098119761 254036.098119761 8211584 8211584 183008.313106213 183008.313106213 5915648 5915648 186.541826911715 788794.456625394 7285.66813099331 781508.788494401 1020 4503928 37528 4466400 0 0 0 0 36.8921377658844 1693316097.83537 10490
8704 4.25 430.826365595457 517.541879165825 40.2727267742157 35.5131468772888 35.0695996284485 0 5.20739912986755 51 245678.256284848 245678.256284848 8724808 8724808 176987.300554308 176987.300554308 6285376 6285376 200.264181675375 865850.261542227 7443.40834175201 858406.853200475 1046 4505334 38934 4466400 0 0 0 0 40.0779778957367 1693316101.02404 11129
9216 4.5 434.688822912495 513.508543640477 42.0276188850403 37.2680389881134 36.7893517017365 0 5.24259161949158 54 247880.818278269 247880.818278269 9238032 9238032 178574.032353101 178574.032353101 6655104 6655104 203.884216407304 860323.431833356 7675.05715022404 852648.374683132 1072 4506803 40403 4466400 0 0 0 0 41.8220925331116 1693316102.77893 11768
9728 4.75 441.525932706671 510.647579336057 43.4889018535614 38.7293219566345 38.2270610332489 0 5.26753330230713 57 251779.672541609 251779.672541609 9751256 9751256 181382.777830858 181382.777830858 7024832 7024832 207.912028766964 856744.085187333 7915.67085024939 848828.414337084 1098 4508256 41856 4466400 0 0 0 0 43.2725501060486 1693316104.24021 12407
10240 5 447.668397321698 508.241086820859 44.9679129123688 40.2083330154419 39.6306698322296 0 5.394122838974 60 255282.406163368 255282.406163368 10264480 10264480 183906.156894396 183906.156894396 7394560 7394560 221.087925410591 925856.650297284 8079.45213521653 917777.198162067 1244 5402997 43317 5359680 0 0 0 0 44.7404687404633 1693316105.71922 13046
10752 5.25 444.894591639847 504.625946459238 47.2415528297424 42.4819729328156 41.829053401947 0 5.41696763038635 63 253700.646555299 253700.646555299 10777704 10777704 182766.652864241 182766.652864241 7764288 7764288 233.903027037485 998470.128652044 8228.91541960705 990241.213232437 1270 5404426 44746 5359680 0 0 0 0 47.0035784244537 1693316107.99286 13685
