# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.188268428025234
512 0.25 0.188268428029894
1024 0.5 0.188268428043161
1536 0.75 0.188268428067202
2048 1 0.188268428102387
2560 1.25 0.188268428150939
3072 1.5 0.188268428214263
3584 1.75 0.188268428294711
4096 2 0.188268428389687
4608 2.25 0.188268428499313
5120 2.5 0.188268428630099
5632 2.75 0.18826842877481
6144 3 0.188268428941671
6656 3.25 0.188268429129473
7168 3.5 0.188268429342683
7680 3.75 0.188268429576882
8192 4 0.188268429831163
8704 4.25 0.188268430105139
9216 4.5 0.188268430399525
9728 4.75 0.188268430711689
10240 5 0.188268431040394
10752 5.25 0.188268431384609
11264 5.5 0.188268431746124
11776 5.75 0.188268432128469
12288 6 0.188268432530333
12800 6.25 0.188268432953135
13312 6.5 0.188268433397385
13824 6.75 0.18826843386271
14336 7 0.188268434346908
14848 7.25 0.188268434847953
15360 7.5 0.188268435363917
15872 7.75 0.188268435895484
16384 8 0.188268436448777
16896 8.25 0.188268437018202
17408 8.5 0.188268437607105
17920 8.75 0.188268438216207
18432 9 0.188268438845998
18944 9.25 0.188268439488284
19456 9.5 0.18826844014287
19968 9.75 0.188268440811196
20480 10 0.188268441493958
20992 10.25 0.188268442193729
21504 10.5 0.188268442904088
22016 10.75 0.18826844363299
22528 11 0.1882684443791
23040 11.25 0.188268445145251
23552 11.5 0.188268445924966
24064 11.75 0.188268446719094
24576 12 0.188268447525059
25088 12.25 0.188268448340765
25600 12.5 0.188268449168162
26112 12.75 0.188268450008067
26624 13 0.188268450862378
27136 13.25 0.188268451731423
27648 13.5 0.18826845260906
28160 13.75 0.188268453500554
28672 14 0.18826845441063
29184 14.25 0.188268455340579
29696 14.5 0.188268456289513
30208 14.75 0.188268457249308
30720 15 0.188268458217359
31232 15.25 0.188268459200025
31744 15.5 0.18826846019077
32256 15.75 0.188268461193356
32768 16 0.188268462207549
33280 16.25 0.188268463233884
33792 16.5 0.188268464271309
34304 16.75 0.18826846531908
34816 17 0.188268466375637
35328 17.25 0.18826846743763
35840 17.5 0.188268468508297
36352 17.75 0.18826846958788
36864 18 0.188268470676346
37376 18.25 0.188268471770605
37888 18.5 0.188268472876515
38400 18.75 0.1882684739975
38912 19 0.188268475131824
39424 19.25 0.188268476276875
39936 19.5 0.188268477429019
40448 19.75 0.188268478592995
40960 20 0.188268479773417
41472 20.25 0.188268480960472
41984 20.5 0.18826848215067
42496 20.75 0.188268483354425
43008 21 0.188268484566039
43520 21.25 0.188268485795417
44032 21.5 0.188268487040258
44544 21.75 0.188268488297148
45056 22 0.188268489565475
45568 22.25 0.188268490850482
46080 22.5 0.18826849214674
46592 22.75 0.188268493445651
47104 23 0.188268494757856
47616 23.25 0.188268496076566
48128 23.5 0.18826849740296
48640 23.75 0.188268498739288
49152 24 0.188268500091612
49664 24.25 0.188268501460027
50176 24.5 0.188268502832132
50688 24.75 0.18826850421149
51200 25 0.188268505608771
51712 25.25 0.188268507013901
52224 25.5 0.188268508431339
52736 25.75 0.18826850986054
53248 26 0.188268511292719
53760 26.25 0.188268512732785
54272 26.5 0.188268514171467
54784 26.75 0.188268515618924
55296 27 0.188268517073975
55808 27.25 0.188268518532199
56320 27.5 0.188268520001153
56832 27.75 0.188268521469685
57344 28 0.188268522943247
57856 28.25 0.188268524433131
58368 28.5 0.188268525930898
58880 28.75 0.188268527432566
59392 29 0.188268528942295
59904 29.25 0.188268530460618
60416 29.5 0.188268531978942
60928 29.75 0.188268533500305
61440 30 0.18826853502446
61952 30.25 0.188268536549388
62464 30.5 0.188268538080102
62976 30.75 0.188268539618019
63488 31 0.188268541160617
64000 31.25 0.188268542712677
64512 31.5 0.188268544286324
65024 31.75 0.188268545881778
65536 32 0.18826854749785
66048 32.25 0.188268549116168
66560 32.5 0.188268550736995
67072 32.75 0.188268552373429
67584 33 0.188268554015303
68096 33.25 0.188268555662006
68608 33.5 0.18826855731486
69120 33.75 0.188268558979571
69632 34 0.188268560648965
70144 34.25 0.188268562322
70656 34.5 0.1882685640207
71168 34.75 0.188268565736297
71680 35 0.188268567460409
72192 35.25 0.188268569197889
72704 35.5 0.188268570945861
73216 35.75 0.188268572701073
73728 36 0.188268574452287
74240 36.25 0.188268576209608
74752 36.5 0.188268577960924
75264 36.75 0.188268579721028
75776 37 0.188268581477175
76288 37.25 0.188268583230814
76800 37.5 0.188268584979112
77312 37.75 0.188268586724636
77824 38 0.188268588462545
78336 38.25 0.188268590204087
78848 38.5 0.188268591955764
79360 38.75 0.188268593712389
79872 39 0.188268595483292
80384 39.25 0.188268597255139
80896 39.5 0.188268599027922
81408 39.75 0.188268600790602
81920 40 0.188268602547406
82432 40.25 0.188268604295653
82944 40.5 0.188268606043341
83456 40.75 0.188268607781624
83968 41 0.188268609515666
84480 41.25 0.188268611252956
84992 41.5 0.188268613012546
85504 41.75 0.188268614798912
86016 42 0.188268616597793
86528 42.25 0.188268618405372
87040 42.5 0.188268620223633
87552 42.75 0.188268622048035
88064 43 0.188268623884971
88576 43.25 0.188268625723817
89088 43.5 0.188268627568227
89600 43.75 0.188268629416964
90112 44 0.188268631271242
90624 44.25 0.188268633128031
91136 44.5 0.188268634998408
91648 44.75 0.188268636879666
92160 45 0.188268638776861
92672 45.25 0.188268640682492
93184 45.5 0.188268642598587
93696 45.75 0.188268644519606
94208 46 0.188268646479942
94720 46.25 0.188268648454462
95232 46.5 0.188268650438552
95744 46.75 0.188268652425505
96256 47 0.188268654403467
96768 47.25 0.18826865638934
97280 47.5 0.18826865837421
97792 47.75 0.18826866035598
98304 48 0.188268662333559
98816 48.25 0.188268664306295
99328 48.5 0.188268666266189
99840 48.75 0.18826866821543
100352 49 0.188268670180584
100864 49.25 0.188268672159823
101376 49.5 0.188268674134105
101888 49.75 0.188268676111265
102400 50 0.188268678084311
102912 50.25 0.18826868005686
103424 50.5 0.18826868201631
103936 50.75 0.188268683982825
104448 51 0.188268685947523
104960 51.25 0.188268687909334
105472 51.5 0.188268689870396
105984 51.75 0.188268691810321
106496 52 0.188268693760614
