# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.25 0.00127930825516882
1024 0.5 0.00127862470887395
1536 0.75 0.00127796091445038
2048 1 0.00127733054851462
2560 1.25 0.0012767364017173
3072 1.5 0.00127620781202562
3584 1.75 0.00127579755142325
4096 2 0.00127548552340978
4608 2.25 0.00127526721379137
5120 2.5 0.00127514137694885
5632 2.75 0.00127510455048853
6144 3 0.00127515135751152
6656 3.25 0.00127527478439842
7168 3.5 0.00127546656494935
7680 3.75 0.00127571766254971
8192 4 0.00127601880078475
8704 4.25 0.00127636090540661
9216 4.5 0.00127673538535064
9728 4.75 0.00127713424523531
10240 5 0.00127755012934475
10752 5.25 0.00127797642159516
11264 5.5 0.00127840737294896
11776 5.75 0.00127883826132991
12288 6 0.00127926545409257
12800 6.25 0.00127968631719141
13312 6.5 0.00128009903495632
13824 6.75 0.00128050245565677
14336 7 0.00128089603676709
14848 7.25 0.00128127986550708
15360 7.5 0.00128165466921376
15872 7.75 0.00128202178997368
16384 8 0.0012823829517033
16896 8.25 0.00128273996249532
17408 8.5 0.0012830864474658
17920 8.75 0.00128341505573945
18432 9 0.00128373179468036
18944 9.25 0.0012840419830421
19456 9.5 0.00128435014943689
19968 9.75 0.00128466092537681
20480 10 0.00128497965484946
20992 10.25 0.00128531169147146
21504 10.5 0.00128566077998134
22016 10.75 0.00128602810728458
22528 11 0.00128641294318445
23040 11.25 0.00128681398782968
23552 11.5 0.00128722994014547
24064 11.75 0.00128765909586813
24576 12 0.00128809902141969
25088 12.25 0.00128854690302201
25600 12.5 0.00128900005341882
26112 12.75 0.00128945602323244
26624 13 0.00128991253353157
27136 13.25 0.00129036761393118
27648 13.5 0.0012908198655106
28160 13.75 0.00129126864946069
28672 14 0.00129171422501743
29184 14.25 0.00129215776327385
29696 14.5 0.00129260102634912
30208 14.75 0.00129304590082373
30720 15 0.00129349424743754
31232 15.25 0.00129394803751102
31744 15.5 0.00129440926641328
32256 15.75 0.00129487959580152
32768 16 0.00129536025310529
33280 16.25 0.00129585227804787
33792 16.5 0.00129635654722083
34304 16.75 0.00129687339875491
34816 17 0.0012974024080749
35328 17.25 0.00129794257822154
35840 17.5 0.0012984925015867
36352 17.75 0.00129905027964715
36864 18 0.0012996136334698
