# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 0.022510127405266 0.022510127405266 0.022510127405266
1024 0.5 0.021381330569236 0.021381330569236 0.021381330569236
1536 0.75 0.0202697078534142 0.0202697078534142 0.0202697078534142
2048 1 0.0191775974523535 0.0191775974523535 0.0191775974523535
2560 1.25 0.0181058482963321 0.0181058482963321 0.018105848296332
3072 1.5 0.0170542802730754 0.0170542802730754 0.0170542802730754
3584 1.75 0.0160215920656733 0.0160215920656733 0.0160215920656733
4096 2 0.0150063087692847 0.0150063087692847 0.0150063087692847
4608 2.25 0.0140077466869039 0.0140077466869039 0.0140077466869039
5120 2.5 0.0130257507331979 0.0130257507331979 0.0130257507331979
5632 2.75 0.0120602350774225 0.0120602350774225 0.0120602350774225
6144 3 0.0111109748949251 0.0111109748949253 0.0111109748949251
6656 3.25 0.0101774407768063 0.0101774407768063 0.0101774407768063
7168 3.5 0.00924148406407877 0.00924148406407869 0.00924148406407919
7680 3.75 0.00828525765411526 0.00828525765411513 0.00828525765411644
8192 4 0.00726594418347339 0.00726594418347382 0.00726594418347588
8704 4.25 0.00618720044378211 0.00618720044379127 0.00618720044378821
9216 4.5 0.00506294945639839 0.0050629494564117 0.00506294945641107
9728 4.75 0.00390127341861806 0.0039012734186193 0.00390127341863201
10240 5 0.00390096480335428 0.0039009648033594 0.00390096480336123
10752 5.25 0.00397458092647057 0.00397458092647486 0.00397458092645775
11264 5.5 0.00403987715136416 0.00403987715138452 0.00403987715134049
11776 5.75 0.00409660450400969 0.0040966045040803 0.00409660450400258
12288 6 0.00414461886875278 0.00414461886888074 0.00414461886876086
12800 6.25 0.00418236489745416 0.00418236489762369 0.00418236489744203
13312 6.5 0.00420934723533742 0.00420934723554093 0.00420934723529305
13824 6.75 0.00422600020121068 0.00422600020145413 0.00422600020118802
14336 7 0.00423266781279411 0.00423266781307566 0.00423266781284443
14848 7.25 0.00422961641653579 0.00422961641681894 0.00422961641660257
15360 7.5 0.00421709999820139 0.00421709999843564 0.00421709999815439
15872 7.75 0.00419536976374001 0.00419536976391763 0.00419536976353109
16384 8 0.00416466787188774 0.00416466787206427 0.00416466787161987
16896 8.25 0.00412531426736335 0.00412531426761238 0.00412531426718276
17408 8.5 0.00407775462532661 0.00407775462566221 0.00407775462528053
17920 8.75 0.00402241382678246 0.0040224138271239 0.00402241382681041
18432 9 0.00395959444629507 0.00395959444657798 0.00395959444642079
18944 9.25 0.00388950261958427 0.00388950261991762 0.003889502620115
19456 9.5 0.00381230009278667 0.00381230009331112 0.00381230009404209
19968 9.75 0.00372802535201935 0.00372802535240641 0.00372802535371885
20480 10 0.00363666849499017 0.00363666849461561 0.00363666849646304
20992 10.25 0.00353844101054023 0.00353844100935459 0.00353844101170468
21504 10.5 0.00343380091780972 0.00343380091637274 0.00343380091914883
22016 10.75 0.0033231585563263 0.00332315855430045 0.00332315855806428
22528 11 0.00320669077140844 0.00320669076679333 0.00320669077359196
23040 11.25 0.00308448363880535 0.00308448362799484 0.00308448364129787
23552 11.5 0.00295672831110219 0.00295672828855211 0.00295672831289917
24064 11.75 0.00282355345252282 0.00282355341772369 0.00282355345309417
24576 12 0.00268504619395324 0.00268504614347284 0.00268504619406168
25088 12.25 0.00254148347477718 0.00254148340681379 0.00254148347451527
25600 12.5 0.00239303926077252 0.00239303917469967 0.00239303925808728
26112 12.75 0.00223994224393165 0.00223994214274548 0.00223994223813841
26624 13 0.00208236012472094 0.00208236001720088 0.00208236011817613
27136 13.25 0.00192051380788134 0.00192051370515135 0.00192051380175074
27648 13.5 0.00175459152301905 0.00175459144473221 0.00175459151546062
28160 13.75 0.00160059648116321 0.00160059632979526 0.00160059641283777
28672 14 0.00144406376080891 0.00144406357621596 0.00144406367913248
29184 14.25 0.00128336455227082 0.00128336432956349 0.0012833644541842
29696 14.5 0.00111902013557262 0.00111901987307552 0.00111902001633806
30208 14.75 0.000951582102148127 0.000951581822255597 0.000951581981863592
30720 15 0.000781545399354311 0.000781545175702146 0.000781545348178546
31232 15.25 0.000609035931467447 0.000609036018322508 0.000609036189659113
31744 15.5 0.000434094527906283 0.000434095427216316 0.000434095577733472
32256 15.75 0.00025706675924029 0.000257069214765384 0.00025706933974022
32768 16 0.000132914669187176 0.000132901946726489 0.000132913204069933
33280 16.25 0.000111766351935878 0.000111752148755221 0.00011176473077735
33792 16.5 9.02638506348131e-05 9.02480496777379e-05 9.02621128485345e-05
34304 16.75 6.84566008774469e-05 6.84389240023503e-05 6.84547979911983e-05
34816 17 4.64369863876553e-05 4.64171169972807e-05 4.64351216119612e-05
35328 17.25 2.42569448730374e-05 2.42345095511292e-05 2.42549941823769e-05
35840 17.5 1.87700931504071e-06 1.8516544834768e-06 1.87499237785429e-06
36352 17.75 1.47632899423869e-18 9.14224455513953e-19 3.1118297844709e-25
36864 18 1.89531854885596e-18 1.0567201163864e-18 2.38863670500706e-25
37376 18.25 1.01634608213424e-18 1.45052831269662e-18 2.91293868528473e-25
37888 18.5 1.16790549703612e-18 1.17376569319021e-18 3.32175483447357e-25
38400 18.75 9.93798911381823e-19 1.02752663833632e-18 1.95513398524812e-25
38912 19 1.1486589876735e-18 7.54207207355018e-19 2.7703063409926e-25
39424 19.25 1.09906501209535e-18 7.19179546973951e-19 2.40820866425387e-25
39936 19.5 1.48472835584976e-18 6.22723561282777e-19 6.79929110290469e-25
40448 19.75 1.17504625430476e-18 1.46836441147539e-18 4.75571567505171e-25
40960 20 1.32349312738545e-18 1.73918088865669e-18 4.70209174263458e-25
41472 20.25 1.41625022406462e-18 1.10356110901145e-18 3.26930962751648e-25
41984 20.5 8.88055034783439e-19 1.50255833412375e-18 4.54900235467483e-25
42496 20.75 1.38715501484716e-18 9.99285065202484e-19 4.24025436655992e-25
43008 21 1.21526135688974e-18 1.12936533724863e-18 5.16644063002884e-25
43520 21.25 1.38917600972788e-18 9.64869464909447e-19 7.14585098346451e-25
44032 21.5 1.18867777949969e-18 1.39747549053096e-18 7.08591830819214e-25
44544 21.75 1.69855775549127e-18 8.28126627899892e-19 7.36477061932366e-25
45056 22 1.22005265015728e-18 1.08507137315717e-18 5.62638050787483e-25
45568 22.25 1.63868501313932e-18 1.31590239752105e-18 4.70372882020838e-25
46080 22.5 1.47707849901395e-18 1.01408680867772e-18 6.98500317828596e-25
46592 22.75 1.04464081236679e-18 7.06747586275556e-19 4.51005294596337e-25
47104 23 1.16786406271324e-18 9.65883799459891e-19 4.93717803925009e-25
47616 23.25 1.17226362168655e-18 1.27975477236702e-18 8.38454821422203e-25
48128 23.5 1.35535134115146e-18 1.83084517962437e-18 9.10331864727696e-25
48640 23.75 1.33230450922784e-18 1.67534396957739e-18 8.51283810193621e-25
49152 24 1.59122381236579e-18 1.33468029396495e-18 5.43267149253726e-25
49664 24.25 1.42781382076849e-18 9.45404299563817e-19 5.89931514108519e-25
50176 24.5 1.32653480574762e-18 6.32498544239531e-19 7.63217961155569e-25
50688 24.75 1.3662872447868e-18 1.0488730128267e-18 8.07859528085616e-25
51200 25 1.55962180910139e-18 8.24830591056031e-19 6.08433775993493e-25
51712 25.25 7.76926265262136e-19 5.05647619994632e-19 8.12899366751564e-25
52224 25.5 9.67598558794349e-19 1.64132853112435e-18 8.03379577535123e-25
52736 25.75 1.18579904899679e-18 1.41080629810742e-18 6.90335354618468e-25
53248 26 1.67165542042491e-18 2.99241532953559e-18 5.55334497060618e-25
53760 26.25 2.75765692811611e-18 2.68136631898257e-18 5.49430031121643e-25
54272 26.5 2.05158069082215e-18 1.00049630784304e-18 6.39841340583281e-25
54784 26.75 1.56368565615769e-18 1.11313713934674e-18 7.83569369820311e-25
55296 27 1.01870706698274e-18 5.84712390093882e-19 7.58323878368735e-25
55808 27.25 1.1563417370732e-18 8.58383725567205e-19 1.05140805405796e-24
56320 27.5 1.14159750046281e-18 1.11081431419346e-18 8.73043880881096e-25
56832 27.75 1.55282888992791e-18 1.0136862549885e-18 5.85135770331062e-25
57344 28 1.72179863689127e-18 1.09089467259075e-18 5.50249174889123e-25
57856 28.25 1.10027649902168e-18 1.7108866728996e-18 7.37025283901725e-25
58368 28.5 1.23618593152254e-18 2.19244223616986e-18 6.49480524973904e-25
58880 28.75 9.49006443797563e-19 1.65452642515285e-18 7.67123967137556e-25
59392 29 1.09840330413484e-18 1.1752228936294e-18 7.12690387776861e-25
59904 29.25 1.07795054451573e-18 1.18255196359164e-18 6.60862205451666e-25
60416 29.5 1.72436601125578e-18 1.42481758475341e-18 7.17544000311006e-25
60928 29.75 1.47368212925052e-18 1.09917324563414e-18 7.52008699805231e-25
61440 30 2.36388652367724e-18 1.40804723969676e-18 6.62670258597525e-25
61952 30.25 1.52869940409561e-18 9.51294292443989e-19 7.62315257694355e-25
62464 30.5 1.3955202896855e-18 1.38543391212404e-18 7.08541914959766e-25
62976 30.75 9.97493268286268e-19 1.11311804248784e-18 5.77691409103504e-25
