# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.09292072505952e-05 1.09292072505853e-05 1.09292072505756e-05
1024 0.5 1.53872464415637e-05 1.5387246441566e-05 1.53872464415588e-05
1536 0.75 1.60114413902577e-05 1.6011441390253e-05 1.60114413902416e-05
2048 1 9.71368022999002e-06 9.71368022999227e-06 9.71368022999494e-06
2560 1.25 1.03634695155728e-05 1.03634695155985e-05 1.03634695156222e-05
3072 1.5 1.37201770273952e-05 1.37201770273938e-05 1.37201770273814e-05
3584 1.75 1.37048565037673e-05 1.37048565037694e-05 1.37048565037714e-05
4096 2 1.49629540285355e-05 1.49629540285433e-05 1.49629540285511e-05
4608 2.25 1.53696648587599e-05 1.53696648587643e-05 1.53696648587687e-05
5120 2.5 1.48069357900084e-05 1.48069357900186e-05 1.48069357900288e-05
5632 2.75 1.66243866493831e-05 1.66243866502864e-05 1.662438664972e-05
6144 3 1.67045965041393e-05 1.67045965004462e-05 1.6704596503123e-05
6656 3.25 1.96981340692632e-05 1.96981340641488e-05 1.96981340687885e-05
7168 3.5 2.74497930702889e-05 2.7449793067861e-05 2.744979306233e-05
7680 3.75 2.63348183140613e-05 2.63348183546031e-05 2.63348183074907e-05
8192 4 1.88674626308152e-05 1.88674626863987e-05 1.88674628295508e-05
8704 4.25 2.32781950265679e-05 2.32781949929068e-05 2.32781954251129e-05
9216 4.5 1.94223807059229e-05 1.94223812708381e-05 1.94223800913077e-05
9728 4.75 2.57165403165535e-05 2.57165410809166e-05 2.57165389014378e-05
10240 5 1.91585792416182e-05 1.91585792462196e-05 1.91585781768936e-05
10752 5.25 1.88989507349738e-05 1.88989477037095e-05 1.88989553111836e-05
11264 5.5 2.1371464664668e-05 2.13714661030139e-05 2.137146616568e-05
11776 5.75 1.60714251957597e-05 1.60714262350186e-05 1.60714266091274e-05
12288 6 2.37235600265784e-05 2.37235568938015e-05 2.3723563923928e-05
12800 6.25 2.32896246254534e-05 2.32896262425544e-05 2.32896284348575e-05
13312 6.5 2.16421413053033e-05 2.16421480581558e-05 2.16421393895673e-05
13824 6.75 2.30064485212841e-05 2.30064465006562e-05 2.30064416142901e-05
14336 7 1.55793578411828e-05 1.55793576560886e-05 1.55793352123019e-05
14848 7.25 1.7783984411309e-05 1.77839785090355e-05 1.77839311708888e-05
15360 7.5 1.65142828806037e-05 1.65142807780039e-05 1.65142771187051e-05
15872 7.75 1.91024709360284e-05 1.91024837269477e-05 1.9102464530423e-05
16384 8 2.36951619381152e-05 2.36951857264942e-05 2.36951546418699e-05
16896 8.25 1.40887855808993e-05 1.40887783411411e-05 1.40887847565755e-05
17408 8.5 2.11307492031679e-05 2.11307312961557e-05 2.11308200782136e-05
17920 8.75 1.32417220512714e-05 1.32417214392811e-05 1.32417056850002e-05
18432 9 1.67663993814757e-05 1.67663884881617e-05 1.67664207504659e-05
18944 9.25 1.20345552827945e-05 1.20345389093262e-05 1.2034531754603e-05
19456 9.5 1.23394635411279e-05 1.2339459550194e-05 1.23394074101418e-05
