# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 -1.13945796833337e-05 -1.13945796833477e-05 -1.13945796833617e-05
1024 0.5 -1.60536745475072e-05 -1.60536745475225e-05 -1.6053674547517e-05
1536 0.75 -1.73537003605157e-05 -1.73537003605279e-05 -1.73537003605097e-05
2048 1 -1.38484370611422e-05 -1.3848437061148e-05 -1.38484370611539e-05
2560 1.25 -1.21156573404367e-05 -1.21156573405405e-05 -1.21156573406447e-05
3072 1.5 -1.55817002358527e-05 -1.55817002358551e-05 -1.55817002358617e-05
3584 1.75 -2.14262076565162e-05 -2.14262076565933e-05 -2.14262076566943e-05
4096 2 -1.6137390578134e-05 -1.61373905782239e-05 -1.61373905779341e-05
4608 2.25 -1.82261353169059e-05 -1.82261353155816e-05 -1.82261353161008e-05
5120 2.5 -1.90875661585362e-05 -1.90875661590146e-05 -1.9087566159702e-05
5632 2.75 -1.57503623226855e-05 -1.57503623227532e-05 -1.57503623226559e-05
6144 3 -1.75233026207357e-05 -1.75233026207385e-05 -1.75233026201859e-05
6656 3.25 -1.79922889250054e-05 -1.79922889249455e-05 -1.7992288924658e-05
7168 3.5 -1.82600729401122e-05 -1.8260072808408e-05 -1.82600727862542e-05
7680 3.75 -2.0323322505122e-05 -2.03233225064846e-05 -2.03233225061105e-05
8192 4 -1.57814559555735e-05 -1.5781455925274e-05 -1.57814559489203e-05
8704 4.25 -1.62991386471096e-05 -1.62991386469931e-05 -1.62991386468326e-05
9216 4.5 -3.34026233587865e-05 -3.34026233375357e-05 -3.34026232647357e-05
9728 4.75 -3.2216258871474e-05 -3.22162588589296e-05 -3.22162586662107e-05
10240 5 -2.64376873860033e-05 -2.64376866872109e-05 -2.64376877958181e-05
10752 5.25 -2.60248583281645e-05 -2.60248575112421e-05 -2.60248589283174e-05
11264 5.5 -2.17754298053097e-05 -2.17754338028608e-05 -2.17754267373435e-05
11776 5.75 -3.20831677408392e-05 -3.20831692800404e-05 -3.20831630933317e-05
12288 6 -2.17076570288073e-05 -2.17076515971429e-05 -2.17076521258028e-05
12800 6.25 -2.85264103795105e-05 -2.85264017637649e-05 -2.8526406181101e-05
13312 6.5 -2.19103068060068e-05 -2.19103090358813e-05 -2.191030865492e-05
13824 6.75 -1.76298370788738e-05 -1.7629830697786e-05 -1.76298440645429e-05
14336 7 -2.839680404912e-05 -2.83968038872592e-05 -2.83968147860141e-05
14848 7.25 -2.11246712314683e-05 -2.11246766913524e-05 -2.11246808437261e-05
15360 7.5 -2.10705551212602e-05 -2.10705422963479e-05 -2.10705785456824e-05
15872 7.75 -2.09782458848988e-05 -2.09782287798093e-05 -2.09782646254842e-05
16384 8 -1.92584493328638e-05 -1.92584454037531e-05 -1.92584508367938e-05
16896 8.25 -2.59797649885082e-05 -2.59797467303508e-05 -2.59797669402718e-05
17408 8.5 -2.23208828909821e-05 -2.23208893819353e-05 -2.23208942592701e-05
17920 8.75 -2.58482426763429e-05 -2.58482688046381e-05 -2.58481957401807e-05
18432 9 -1.5969782941321e-05 -1.59698159762886e-05 -1.59697421772032e-05
18944 9.25 -2.51756838206845e-05 -2.51757016702855e-05 -2.51757678040786e-05
19456 9.5 -1.88821805210496e-05 -1.88821903716393e-05 -1.88822532526847e-05
19968 9.75 -1.82632754493263e-05 -1.82632875074583e-05 -1.82632894639895e-05
20480 10 -1.73314947029702e-05 -1.73315010592351e-05 -1.73315509683179e-05
20992 10.25 -1.82129264630267e-05 -1.82129512969866e-05 -1.8212921319502e-05
21504 10.5 -1.55831291652528e-05 -1.55831152492803e-05 -1.55831165730056e-05
22016 10.75 -1.50596090619024e-05 -1.50596249232874e-05 -1.50596574330875e-05
22528 11 -1.67633243806007e-05 -1.6763391013585e-05 -1.67633207446277e-05
23040 11.25 -1.26044901451002e-05 -1.26044899430324e-05 -1.26044814200914e-05
23552 11.5 -1.34538346160033e-05 -1.34538243811432e-05 -1.34538182632019e-05
24064 11.75 -1.43809996557111e-05 -1.43809641796114e-05 -1.43809798633813e-05
24576 12 -1.46204646789002e-05 -1.46204405473194e-05 -1.46204556818108e-05
25088 12.25 -1.25180733333936e-05 -1.2518100025402e-05 -1.25180901612568e-05
25600 12.5 -1.2429152086298e-05 -1.24291338100833e-05 -1.24291349179429e-05
26112 12.75 -9.81762802873651e-06 -9.81762081817396e-06 -9.81762463267026e-06
26624 13 -9.62487749881112e-06 -9.62487735494901e-06 -9.62487709962666e-06
27136 13.25 -1.16902489983865e-05 -1.16902488064943e-05 -1.16902486083046e-05
27648 13.5 -1.32375670778653e-05 -1.32375670979656e-05 -1.3237566906626e-05
28160 13.75 -1.18265167213782e-05 -1.18265170483915e-05 -1.18265170389031e-05
28672 14 -1.20480513786297e-05 -1.20480522529375e-05 -1.20480522048234e-05
29184 14.25 -1.54215766363213e-05 -1.54215778546331e-05 -1.54215778115102e-05
29696 14.5 -1.66015513830334e-05 -1.66015528206987e-05 -1.6601553181394e-05
30208 14.75 -1.30660198654166e-05 -1.30660194904817e-05 -1.30660202025077e-05
30720 15 -9.70843417223914e-06 -9.70844047411469e-06 -9.70843489829767e-06
31232 15.25 -7.87509107191232e-06 -7.8750989511718e-06 -7.87510031872139e-06
31744 15.5 -7.29076921955211e-06 -7.2906969987872e-06 -7.29075508778599e-06
32256 15.75 -9.48181596086994e-06 -9.48107895414592e-06 -9.48194853855183e-06
32768 16 -9.40495499974107e-06 -9.40417825133244e-06 -9.40509920458366e-06
33280 16.25 -9.7443589245644e-06 -9.74436053987093e-06 -9.74436042437011e-06
33792 16.5 -1.14189591065403e-05 -1.14189653440751e-05 -1.14189619091231e-05
34304 16.75 -1.07301449570643e-05 -1.07301499089877e-05 -1.0730143160445e-05
34816 17 -1.19308987594741e-05 -1.19309521948927e-05 -1.19309435425784e-05
35328 17.25 -1.40834142711411e-05 -1.40834391827927e-05 -1.40834209327988e-05
35840 17.5 -1.40851521964208e-05 -1.40851488074091e-05 -1.40851486162702e-05
36352 17.75 -1.33332186930427e-05 -1.33332305427699e-05 -1.3333215116598e-05
36864 18 -1.15432928063289e-05 -1.15433187248685e-05 -1.15432950968014e-05
37376 18.25 -1.1053548542888e-05 -1.10524012115653e-05 -1.10537516758208e-05
37888 18.5 -9.08317411778094e-06 -9.08331358666566e-06 -9.0832535247183e-06
38400 18.75 -1.25616423244525e-05 -1.25616109663967e-05 -1.25616336057482e-05
38912 19 -1.3179420174606e-05 -1.31794206815832e-05 -1.31794118600332e-05
39424 19.25 -1.48968124263698e-05 -1.48968571702258e-05 -1.4896855698172e-05
39936 19.5 -1.69137358732911e-05 -1.69137498658764e-05 -1.69137597975798e-05
40448 19.75 -1.83534625844693e-05 -1.83534709428356e-05 -1.83534802186401e-05
40960 20 -1.7725868147902e-05 -1.77258650198968e-05 -1.77258602763874e-05
41472 20.25 -1.74891467709414e-05 -1.74890703419609e-05 -1.74890965623698e-05
41984 20.5 -1.82554726669961e-05 -1.82554247969882e-05 -1.82554586583687e-05
42496 20.75 -1.52235633781882e-05 -1.52235691354338e-05 -1.52236107131976e-05
43008 21 -1.09435879844417e-05 -1.09435461563531e-05 -1.09435750274998e-05
43520 21.25 -1.04634114995034e-05 -1.04634232555538e-05 -1.04634203266027e-05
44032 21.5 -9.64432682125382e-06 -9.64415290653873e-06 -9.64431053443702e-06
44544 21.75 -1.15429906191896e-05 -1.15442215920398e-05 -1.15399674329428e-05
45056 22 -1.26504446542966e-05 -1.2651698318806e-05 -1.26474647587747e-05
45568 22.25 -1.32115627771664e-05 -1.32115716131572e-05 -1.32115845839016e-05
46080 22.5 -1.31866620465046e-05 -1.31867773740057e-05 -1.31867138381069e-05
46592 22.75 -1.49111890999622e-05 -1.49113400260739e-05 -1.4911214199575e-05
47104 23 -1.4165859206385e-05 -1.41658283882497e-05 -1.41658110291351e-05
47616 23.25 -1.26341595007866e-05 -1.26340606109798e-05 -1.26341926243899e-05
48128 23.5 -1.30470502021787e-05 -1.30523157937214e-05 -1.30482540046672e-05
48640 23.75 -1.13945730709847e-05 -1.14000047089851e-05 -1.13960914864895e-05
49152 24 -1.07212600990271e-05 -1.07211752437204e-05 -1.07210485967095e-05
49664 24.25 -1.0261501870238e-05 -1.02612120172842e-05 -1.02613711206148e-05
50176 24.5 -1.07332684486818e-05 -1.07338527682586e-05 -1.07289854168481e-05
50688 24.75 -1.00305607311217e-05 -1.00307406185071e-05 -1.00305921413951e-05
51200 25 -1.10871968345832e-05 -1.1087504744553e-05 -1.10871109832649e-05
51712 25.25 -1.2299596663341e-05 -1.22994439690126e-05 -1.22995000742413e-05
52224 25.5 -1.48627299228774e-05 -1.48631397102838e-05 -1.48627883616634e-05
52736 25.75 -1.75649881556275e-05 -1.75652885442004e-05 -1.75650125679663e-05
53248 26 -1.68767389547075e-05 -1.68767413102501e-05 -1.68766350921498e-05
