# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 3.70113791726036e-07 3.70113791726039e-07 3.70113791726036e-07
1024 0.75 1.41389178746862e-06 1.4138917874687e-06 1.41389178746869e-06
1536 1.125 1.67291957687232e-06 1.67291957687238e-06 1.67291957687237e-06
2048 1.5 1.48994444179739e-06 1.48994444178232e-06 1.48994444180002e-06
2560 1.875 2.42458361466371e-06 2.42458361466371e-06 2.42458361466371e-06
3072 2.25 3.56819448283182e-06 3.56819448283182e-06 3.56819448283182e-06
3584 2.625 4.66474727776751e-06 4.66474727776751e-06 4.66474727776751e-06
4096 3 5.57405661537754e-06 5.57405661537754e-06 5.57405661537754e-06
4608 3.375 6.20127200348265e-06 6.20127200348265e-06 6.20127200348264e-06
5120 3.75 6.51045395560199e-06 6.51045395560238e-06 6.51045395560346e-06
5632 4.125 6.86595901148914e-06 6.86595901148816e-06 6.86595901148687e-06
6144 4.5 9.81492531278909e-06 9.81492531278583e-06 9.81492531276286e-06
6656 4.875 1.39793113525796e-05 1.39793113525976e-05 1.39793113525978e-05
7168 5.25 1.97379249935624e-05 1.97379249936527e-05 1.97379249937742e-05
7680 5.625 2.68890588723678e-05 2.68890588724205e-05 2.68890588726127e-05
8192 6 3.46626892334122e-05 3.46626892329715e-05 3.46626892326464e-05
8704 6.375 4.23463913908605e-05 4.23463913895397e-05 4.23463913880796e-05
9216 6.75 5.03243286566747e-05 5.03243286558059e-05 5.032432865491e-05
9728 7.125 5.8735316894918e-05 5.87353168940974e-05 5.87353168929927e-05
10240 7.5 6.71228869064312e-05 6.71228869305902e-05 6.71228869552199e-05
10752 7.875 7.69089583936404e-05 7.69089584020253e-05 7.69089584107974e-05
11264 8.25 8.66438926223049e-05 8.66438925490343e-05 8.66438924754812e-05
11776 8.625 9.5891947397227e-05 9.58919472240063e-05 9.58919470501047e-05
12288 9 0.0001048100259037 0.000104810025762161 0.000104810025620191
12800 9.375 0.000113640734560503 0.000113640734653367 0.000113640734746545
13312 9.75 0.000122289282681833 0.000122289283010288 0.000122289283340193
13824 10.125 0.000130575893520396 0.00013057589382164 0.000130575894125187
14336 10.5 0.00013856413101324 0.000138564131252757 0.000138564131494111
14848 10.875 0.000146400251719855 0.000146400252587452 0.000146400253456068
15360 11.25 0.000154132915093767 0.000154132917321542 0.000154132919551419
15872 11.625 0.000161892500579249 0.000161892503244193 0.000161892505915107
16384 12 0.000169895443989674 0.000169895444401697 0.000169895444832426
16896 12.375 0.000178037274421158 0.000178037271298349 0.000178037268233863
17408 12.75 0.000185815962379721 0.000185815958667544 0.00018581595508306
17920 13.125 0.000192931545709548 0.000192931545783257 0.000192931546024634
18432 13.5 0.000199725688715423 0.000199725692605943 0.000199725696586478
18944 13.875 0.000206779297548402 0.00020677930087718 0.000206779304127873
19456 14.25 0.000214210418556144 0.000214210418673952 0.00021421041864219
19968 14.625 0.000221593818902274 0.000221593817664606 0.000221593816383126
20480 15 0.000228548228902101 0.000228548228594064 0.000228548228227083
20992 15.375 0.000235201593072367 0.000235201593091484 0.000235201592544183
21504 15.75 0.000241982829942694 0.000241982828360601 0.000241982825424564
22016 16.125 0.000249109464182645 0.000249109459798946 0.000249109453730313
22528 16.5 0.000256483245672631 0.000256483238676753 0.000256483230517529
23040 16.875 0.000264014365957726 0.000264014358978537 0.000264014351996611
23552 17.25 0.000271772811124083 0.000271772808596257 0.000271772807293864
24064 17.625 0.000279762849918682 0.000279762854800882 0.00027976285998371
24576 18 0.000287748552023422 0.000287748564452814 0.000287748570196703
25088 18.375 0.000295379919140307 0.000295379936273786 0.000295379936177882
25600 18.75 0.000302394014062714 0.00030239402652895 0.00030239402384172
26112 19.125 0.000308737318116497 0.000308737312033288 0.000308737318228367
26624 19.5 0.000314650862781147 0.000314650835955586 0.000314650854089241
27136 19.875 0.000320577887183337 0.000320577858797428 0.000320577873061532
27648 20.25 0.000326773611787188 0.000326773604865928 0.000326773598289983
28160 20.625 0.000332984852259425 0.000332984873907944 0.0003329848566308
28672 21 0.000338660240116322 0.000338660288575538 0.000338660292427055
29184 21.375 0.000343494130217111 0.00034349420223354 0.000343494238695476
29696 21.75 0.00034766671349897 0.000347666784319409 0.000347666824601026
30208 22.125 0.000351553524657783 0.000351553543580669 0.000351553557853013
30720 22.5 0.000355287589704259 0.000355287531277596 0.000355287529986454
31232 22.875 0.000358637225998437 0.000358637134838988 0.000358637140108218
31744 23.25 0.000361276233794548 0.000361276183123686 0.000361276177911991
32256 23.625 0.000363112191138967 0.000363112201497155 0.000363112162763016
32768 24 0.000364297198560945 0.000364297228035221 0.000364297202942875
33280 24.375 0.000364985955989683 0.000364985966304601 0.000364986033701308
33792 24.75 0.000365286869778641 0.000365286873216085 0.000365287008109327
34304 25.125 0.00036675706573237 0.000366757179094167 0.000366757080174286
34816 25.5 0.000368177977174413 0.000368178048034599 0.000368177995681554
35328 25.875 0.000369091498852472 0.000369091563984939 0.000369091567515142
35840 26.25 0.00036984094736415 0.000369841019994617 0.000369840987299241
36352 26.625 0.000371649617828394 0.000371649699603324 0.000371649689584452
36864 27 0.000372923689302073 0.000372923771962788 0.000372923702386251
37376 27.375 0.00037407508979294 0.000374075083920697 0.000374074998913106
37888 27.75 0.000375598595740117 0.000375598441026602 0.000375598430499271
38400 28.125 0.000377515167047133 0.000377515088463384 0.000377514990188835
38912 28.5 0.000380342270375928 0.000380342354920072 0.000380342154903348
39424 28.875 0.000383533660685215 0.000383533847640961 0.000383533741204356
39936 29.25 0.000386456933997278 0.000386457123438609 0.000386457162812
40448 29.625 0.000388487552538395 0.000388487657215364 0.000388487752718111
40960 30 0.000389440293083331 0.000389440338349572 0.000389440382604461
41472 30.375 0.00038961057294932 0.000389610687906022 0.000389610605263747
41984 30.75 0.00038956473137259 0.000389564983647687 0.000389564761014581
42496 31.125 0.000389904547732137 0.000389904856756067 0.000389904589022646
43008 31.5 0.000391044243545569 0.0003910444847403 0.000391044319800002
43520 31.875 0.000393047507570482 0.000393047646391379 0.000393047644848051
44032 32.25 0.000395664419587259 0.000395664536219568 0.000395664622181447
44544 32.625 0.000398538588135424 0.000398538791606525 0.000398538843643011
45056 33 0.000401341452372795 0.000401341762738761 0.000401341715601903
45568 33.375 0.000403755329260549 0.00040375566771553 0.000403755534279228
46080 33.75 0.000405527720377427 0.000405528037237852 0.000405527873112856
46592 34.125 0.00040878941409709 0.000408790003274324 0.000408790023817673
47104 34.5 0.00041175654263719 0.000411757112550783 0.000411757142759254
47616 34.875 0.000414159285076291 0.000414159944289107 0.00041415996226701
48128 35.25 0.000416487273088717 0.000416488228557805 0.000416488245114334
48640 35.625 0.000419170817488598 0.000419172164391497 0.000419172207496817
49152 36 0.000422273672608099 0.000422275271408081 0.000422275388590971
49664 36.375 0.000425644851815694 0.000425646476317271 0.000425646689817576
50176 36.75 0.00042911235119511 0.000429113922647819 0.00042911415503501
50688 37.125 0.000432464996896611 0.000432466626971307 0.000432466781124448
51200 37.5 0.000435498918561643 0.000435500761114219 0.00043550091692447
51712 37.875 0.000438204401280384 0.000438206518077804 0.000438206888142359
52224 38.25 0.000440773197554046 0.000440775555638062 0.000440776175163378
52736 38.625 0.000443381562058736 0.000443384098116959 0.000443384794718242
53248 39 0.000446059736425064 0.000446062410384254 0.00044606321185929
53760 39.375 0.000448740303921895 0.000448743173868417 0.000448744414776016
54272 39.75 0.000451345438487069 0.000451348694920488 0.000451350440710128
54784 40.125 0.000453883913021536 0.000453887678650244 0.000453889383572126
55296 40.5 0.000456489881444871 0.000456493910960738 0.000456495017699496
55808 40.875 0.000459222403969013 0.000459226163811353 0.00045922675205433
56320 41.25 0.000461817348333666 0.000461820538534015 0.000461821047594714
56832 41.625 0.000464478724868555 0.000464481817174197 0.000464482253263927
57344 42 0.000467513082860149 0.000467516530323807 0.000467516620803071
57856 42.375 0.000469729240297983 0.000469732645158086 0.000469732659973922
58368 42.75 0.000471326062155766 0.00047132907816531 0.000471329366328854
58880 43.125 0.000472873108029546 0.000472875965551661 0.000472876663428877
59392 43.5 0.000474824793450233 0.000474827891838854 0.000474828776499237
59904 43.875 0.000476881161246449 0.000476884384428395 0.000476885147822161
60416 44.25 0.000478577671217815 0.000478580452872289 0.000478581208532328
60928 44.625 0.000480275655955468 0.000480277625292068 0.000480278984583697
61440 45 0.000482637876382255 0.000482639223553764 0.000482641648443475
61952 45.375 0.000485437061940026 0.000485438234658345 0.000485441500281818
62464 45.75 0.000487866851363848 0.000487867973929668 0.000487871623945903
62976 46.125 0.000489736954108609 0.000489737690821328 0.000489741750299572
63488 46.5 0.000491532683120942 0.000491532776566253 0.000491537524190794
64000 46.875 0.000493593736042762 0.000493593548117159 0.000493598862125584
64512 47.25 0.00049587575162499 0.000495876052081002 0.000495881558610354
65024 47.625 0.000498290680349042 0.000498291787549413 0.000498297482225842
65536 48 0.000500802078001996 0.000500803368578044 0.000500809761301634
66048 48.375 0.000503212273067704 0.000503212940986556 0.000503220583583628
66560 48.75 0.000505175211572116 0.000505175293870254 0.000505184200488625
67072 49.125 0.000506647016206417 0.000506647052989684 0.000506656891543301
67584 49.5 0.000508137583858185 0.000508137695167697 0.00050814857782666
68096 49.875 0.000510164128235737 0.000510166893360874 0.000510169756391552
68608 50.25 0.000512550080503819 0.000512552821170473 0.000512556557086815
69120 50.625 0.000514499367428245 0.000514501551549624 0.000514506499271164
69632 51 0.00051579874511606 0.000515800670972739 0.000515806994668901
70144 51.375 0.000516919915452817 0.000516922057538965 0.000516929753941971
70656 51.75 0.000518473994281611 0.000518476009198862 0.000518485157059573
71168 52.125 0.000520456328154565 0.000520457474716545 0.000520468439258005
71680 52.5 0.000522410923615444 0.000522411078106203 0.000522424372660408
72192 52.875 0.000524055351594265 0.000524055053827209 0.000524071070630124
72704 53.25 0.000525447178077096 0.000525447000579039 0.000525465979559431
73216 53.625 0.000526856611896756 0.000526857033368655 0.000526879161385961
73728 54 0.000528612479422551 0.000528614086074266 0.000528639441353888
74240 54.375 0.000530681508218184 0.000530684661353204 0.000530713162137258
74752 54.75 0.000532417369438038 0.000532421652847363 0.000532453297330032
75264 55.125 0.000533227164892068 0.000533231696460344 0.000533266604920104
75776 55.5 0.000533407048062726 0.000533411575796933 0.000533449721501792
76288 55.875 0.000533758617212382 0.000533763941906994 0.000533805178592652
76800 56.25 0.000534499947904438 0.000534507134794128 0.000534551497053837
77312 56.625 0.00053519197154854 0.000535201590829098 0.000535249155058208
77824 57 0.00053562604144293 0.000535638281571314 0.000535688750481055
78336 57.375 0.000536036210639469 0.000536051137760135 0.000536103955143929
78848 57.75 0.000536423383348329 0.000536440839291306 0.00053649568746158
79360 58.125 0.000536434652135008 0.000536454397964533 0.000536511328624052
79872 58.5 0.000536055963944284 0.000536078186259608 0.000536137355311792
80384 58.875 0.00053572378000861 0.000535749142591878 0.000535810547625099
80896 59.25 0.000535520097759314 0.000535549193283794 0.00053561251643769
81408 59.625 0.000534880658399146 0.000534913661507366 0.000534978255826446
81920 60 0.000533448052638604 0.000533484846643827 0.000533549963811403
82432 60.375 0.000531752186445212 0.000531792552394952 0.000531857687067056
82944 60.75 0.000530579143225047 0.000530622902704948 0.000530687943010605
83456 61.125 0.000529835712035617 0.000529882807424372 0.000529947795514014
83968 61.5 0.00052851817279483 0.000528568598411787 0.000528633386522176
84480 61.875 0.000525962410224595 0.000526016261456867 0.000526080627691386
84992 62.25 0.000522758129859432 0.000522815825345053 0.000522879803470591
85504 62.625 0.000520021715253546 0.000520083773693869 0.000520147274474427
86016 63 0.000517969997787258 0.000518036390058069 0.000518098486977519
86528 63.375 0.000515764744360881 0.000515834859817188 0.000515894248040887
87040 63.75 0.000512723637252152 0.000512796821464796 0.000512853140467756
87552 64.125 0.00050906793094815 0.000509143513098636 0.000509197481135631
88064 64.5 0.00050534561302369 0.000505422666767455 0.000505474883370902
88576 64.875 0.000501670108388999 0.000501747825054899 0.000501798215981371
89088 65.25 0.000497767683539236 0.000497845893007036 0.000497894267355241
89600 65.625 0.000493398109360397 0.00049347710994581 0.000493523401488717
90112 66 0.000488535306966429 0.000488615199289232 0.0004886591072671
90624 66.375 0.00048337920489979 0.000483459349579972 0.000483500445014006
91136 66.75 0.000478274847170974 0.000478353920899567 0.000478392126928535
91648 67.125 0.00047343765978039 0.000473514347961916 0.000473549750271666
92160 67.5 0.000468746765907599 0.00046882026853244 0.000468852647073142
92672 67.875 0.000463900581034028 0.000463970442988828 0.000463999772936525
93184 68.25 0.000458675639251466 0.000458741557205054 0.000458768720820183
