# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 -3.31987978365731e-07 -3.31987978365731e-07 -3.3198797836573e-07
1024 0.75 -1.15533262628689e-06 -1.15533262628689e-06 -1.15533262628689e-06
1536 1.125 -1.42633803559361e-06 -1.42633803559361e-06 -1.42633803559361e-06
2048 1.5 -2.38325172031558e-06 -2.38325172031558e-06 -2.38325172031565e-06
2560 1.875 -3.04870874149027e-06 -3.04870874149027e-06 -3.04870874149046e-06
3072 2.25 -3.29466761513925e-06 -3.29466761513876e-06 -3.29466761513924e-06
3584 2.625 -4.19186139411376e-06 -4.19186139411375e-06 -4.19186139411387e-06
4096 3 -4.74588438611717e-06 -4.74588438612879e-06 -4.74588438609927e-06
4608 3.375 -5.78281965521317e-06 -5.78281965609063e-06 -5.78281965694321e-06
5120 3.75 -6.72112118237681e-06 -6.72112118262904e-06 -6.72112118287884e-06
5632 4.125 -8.21189608090976e-06 -8.2118960825096e-06 -8.21189608407038e-06
6144 4.5 -9.1432378163094e-06 -9.14323781829881e-06 -9.14323782018506e-06
6656 4.875 -9.30443547529343e-06 -9.30443547785905e-06 -9.30443537395336e-06
7168 5.25 -9.85358038901877e-06 -9.85358039279371e-06 -9.85358001147496e-06
7680 5.625 -1.07001080880929e-05 -1.07001081311054e-05 -1.07001081750243e-05
8192 6 -1.21974468255661e-05 -1.2197446869363e-05 -1.21974469100858e-05
8704 6.375 -1.36212381077387e-05 -1.3621238117986e-05 -1.36212381116032e-05
9216 6.75 -1.40954877861829e-05 -1.40954877393712e-05 -1.40954876658109e-05
9728 7.125 -1.32800703604304e-05 -1.32800702751202e-05 -1.32800701778856e-05
10240 7.5 -1.37791224962071e-05 -1.37791223616039e-05 -1.37791222477935e-05
10752 7.875 -1.27450263103856e-05 -1.27450260648871e-05 -1.27450257725251e-05
11264 8.25 -1.25305248524478e-05 -1.25305247760243e-05 -1.25305247177373e-05
11776 8.625 -1.25059428112862e-05 -1.2505942876664e-05 -1.25059429090474e-05
12288 9 -1.23524934664656e-05 -1.23524940636169e-05 -1.23524947707727e-05
12800 9.375 -1.28596895786874e-05 -1.28596900058079e-05 -1.28596906241684e-05
13312 9.75 -1.20212127819294e-05 -1.2021213456988e-05 -1.20212134896865e-05
13824 10.125 -1.15326846011767e-05 -1.15326860848067e-05 -1.15326872738514e-05
14336 10.5 -1.08367245517148e-05 -1.08367267290457e-05 -1.08367281343983e-05
14848 10.875 -9.95450894387547e-06 -9.95450926998074e-06 -9.95451158717243e-06
15360 11.25 -8.859927196002e-06 -8.85992805476752e-06 -8.85992736278805e-06
15872 11.625 -7.83220541981897e-06 -7.8322023872544e-06 -7.83219955843914e-06
16384 12 -7.02049009676769e-06 -7.02048889519056e-06 -7.02048823121455e-06
16896 12.375 -6.24879059072211e-06 -6.24879159939489e-06 -6.24879173511515e-06
17408 12.75 -5.43991470290835e-06 -5.43991528127126e-06 -5.43991461767352e-06
17920 13.125 -5.53697867514458e-06 -5.53697821616653e-06 -5.53697872390491e-06
18432 13.5 -5.09665412101122e-06 -5.09665749066122e-06 -5.0966610115459e-06
18944 13.875 -4.58778909820125e-06 -4.58779388769935e-06 -4.58778811565645e-06
19456 14.25 -3.70908189931345e-06 -3.70908941801068e-06 -3.70908580070669e-06
19968 14.625 -3.49886337422949e-06 -3.498850954905e-06 -3.49885062459034e-06
20480 15 -3.76424132282893e-06 -3.76422989415094e-06 -3.76421660497835e-06
20992 15.375 -3.84055563873169e-06 -3.84055893018674e-06 -3.84055429002453e-06
21504 15.75 -4.20194020114483e-06 -4.20194304687566e-06 -4.20193839758668e-06
22016 16.125 -4.3968187589981e-06 -4.39681671380637e-06 -4.39679421450992e-06
22528 16.5 -4.84875524065298e-06 -4.84875219749019e-06 -4.84873062020616e-06
23040 16.875 -5.25562042030603e-06 -5.25559876024799e-06 -5.2555983443944e-06
23552 17.25 -5.58546757943944e-06 -5.5854450937986e-06 -5.58544481917464e-06
24064 17.625 -5.87046333031774e-06 -5.870464141281e-06 -5.87045420899333e-06
24576 18 -5.97659684727248e-06 -5.97660004698655e-06 -5.97659092215394e-06
25088 18.375 -6.17541590556049e-06 -6.17541251475082e-06 -6.17540897751505e-06
25600 18.75 -6.34469674328734e-06 -6.34469061186427e-06 -6.34468723801688e-06
26112 19.125 -6.50651347450851e-06 -6.50650927482974e-06 -6.50649355237939e-06
26624 19.5 -6.61209455609617e-06 -6.61208169409856e-06 -6.61208720610584e-06
27136 19.875 -6.67707142825599e-06 -6.67706676700373e-06 -6.67705504474681e-06
27648 20.25 -6.76608652157973e-06 -6.76608405410914e-06 -6.7660718027889e-06
28160 20.625 -6.72049344126041e-06 -6.7204958392129e-06 -6.72049262067769e-06
28672 21 -6.92729235430146e-06 -6.92728859809429e-06 -6.92728851746746e-06
29184 21.375 -7.11543122614454e-06 -7.11543044811025e-06 -7.11542846238851e-06
29696 21.75 -7.14383255573382e-06 -7.1438315917215e-06 -7.14382958452882e-06
30208 22.125 -7.04853235539506e-06 -7.04853597421579e-06 -7.04853451389205e-06
30720 22.5 -6.88314252895611e-06 -6.88314561316068e-06 -6.88314374873185e-06
31232 22.875 -6.67392392106403e-06 -6.67392367043432e-06 -6.67392217914993e-06
31744 23.25 -6.53300091934462e-06 -6.53300087195954e-06 -6.5329999879871e-06
32256 23.625 -6.44827918391742e-06 -6.44827913682606e-06 -6.44827820627246e-06
32768 24 -6.32086660718395e-06 -6.32086659233526e-06 -6.32086619610679e-06
33280 24.375 -6.2555498376228e-06 -6.25554979197419e-06 -6.25554963014747e-06
33792 24.75 -6.18432853397409e-06 -6.18432834033074e-06 -6.18432841065597e-06
34304 25.125 -6.08276498203593e-06 -6.08276477177206e-06 -6.08276486899703e-06
34816 25.5 -5.99199260493586e-06 -5.99199232241541e-06 -5.9919925588423e-06
35328 25.875 -5.8641748398133e-06 -5.86417461740731e-06 -5.86417478978142e-06
35840 26.25 -5.78980909017061e-06 -5.78980887312502e-06 -5.7898090846748e-06
36352 26.625 -5.67065259327492e-06 -5.67065235984942e-06 -5.67065264497158e-06
36864 27 -5.62820259197354e-06 -5.62820248644892e-06 -5.62820261661693e-06
37376 27.375 -5.5340918040311e-06 -5.53409166676932e-06 -5.53409188200226e-06
37888 27.75 -5.47203663107603e-06 -5.47203649579291e-06 -5.47203664120074e-06
38400 28.125 -5.3846728208779e-06 -5.38467281119425e-06 -5.38467288891272e-06
38912 28.5 -5.24921291812212e-06 -5.24921281987594e-06 -5.24921291447819e-06
39424 28.875 -5.21176470321255e-06 -5.21176465178033e-06 -5.21176469995912e-06
39936 29.25 -5.12574902615572e-06 -5.12574910755792e-06 -5.12574899184788e-06
40448 29.625 -5.01455396757351e-06 -5.01455396649656e-06 -5.01455400136983e-06
40960 30 -4.92887510949744e-06 -4.92887521369484e-06 -4.92887510706166e-06
41472 30.375 -4.80291779843877e-06 -4.80291785330388e-06 -4.80291764948789e-06
41984 30.75 -4.71813395688868e-06 -4.71813403009222e-06 -4.71813392755173e-06
42496 31.125 -4.61773598287766e-06 -4.61773602674998e-06 -4.61773585777199e-06
43008 31.5 -4.48310046108793e-06 -4.48310050239543e-06 -4.48310034371318e-06
43520 31.875 -4.49532184733952e-06 -4.4953274620456e-06 -4.4953205667882e-06
44032 32.25 -4.73143457693857e-06 -4.73144569053553e-06 -4.73144642514047e-06
44544 32.625 -4.86374376837118e-06 -4.86374030067264e-06 -4.86373184760497e-06
45056 33 -4.90215099546346e-06 -4.90214000525238e-06 -4.90212818705528e-06
45568 33.375 -5.10595586651922e-06 -5.10596761698951e-06 -5.10597251675202e-06
46080 33.75 -5.25068952949905e-06 -5.25067605241444e-06 -5.25068261492241e-06
46592 34.125 -5.4254221647587e-06 -5.42543905382694e-06 -5.42540578384728e-06
47104 34.5 -5.48536408947978e-06 -5.48537815494646e-06 -5.48534832308327e-06
47616 34.875 -5.46939676730279e-06 -5.46940381238676e-06 -5.46939619311291e-06
48128 35.25 -5.6255576208577e-06 -5.62557251980053e-06 -5.62553901035246e-06
48640 35.625 -5.65090603839428e-06 -5.65093045953784e-06 -5.65090790216541e-06
49152 36 -6.93137148898238e-06 -6.93142350860249e-06 -6.93138204623368e-06
49664 36.375 -7.6454857965646e-06 -7.64554993220475e-06 -7.64552501740637e-06
50176 36.75 -7.69605611904886e-06 -7.69611076480909e-06 -7.69605156395173e-06
50688 37.125 -8.94810663102159e-06 -8.94816432767182e-06 -8.94812462321778e-06
51200 37.5 -9.46408567715914e-06 -9.46414700002632e-06 -9.46412243776931e-06
51712 37.875 -9.07938135280644e-06 -9.07944829944342e-06 -9.07943483651754e-06
52224 38.25 -9.87292605747514e-06 -9.87296881524793e-06 -9.87293098782915e-06
52736 38.625 -1.02811140774595e-05 -1.02811552587208e-05 -1.02811383879973e-05
53248 39 -9.86212518276603e-06 -9.86216660308821e-06 -9.8621642940778e-06
53760 39.375 -1.05666523262315e-05 -1.05666766390379e-05 -1.05666433463569e-05
54272 39.75 -1.08951781189271e-05 -1.08952025419536e-05 -1.08951856243409e-05
54784 40.125 -1.03914126538893e-05 -1.03914395367231e-05 -1.03914372777007e-05
55296 40.5 -1.06893650607815e-05 -1.06893859072929e-05 -1.06893800843341e-05
55808 40.875 -1.05934199121213e-05 -1.0593440814304e-05 -1.05934543371666e-05
56320 41.25 -9.66779223123304e-06 -9.66781418396914e-06 -9.66783954020012e-06
56832 41.625 -9.56604122362187e-06 -9.5660515339711e-06 -9.56605377641654e-06
57344 42 -9.25414249567196e-06 -9.2541540407188e-06 -9.2541651756599e-06
57856 42.375 -8.3457926770144e-06 -8.34580778892863e-06 -8.34582448645301e-06
58368 42.75 -6.97569868513578e-06 -6.97571979294999e-06 -6.97573900502433e-06
58880 43.125 -5.46787138093126e-06 -5.46789031578371e-06 -5.46790296597187e-06
59392 43.5 -4.7442346936605e-06 -4.74425327707157e-06 -4.74426030345231e-06
59904 43.875 -4.47556411118259e-06 -4.47557824586298e-06 -4.47558716894366e-06
60416 44.25 -4.30748405122251e-06 -4.30750349866631e-06 -4.30751165906745e-06
60928 44.625 -4.12143337851257e-06 -4.12144861061421e-06 -4.12145609494548e-06
61440 45 -3.89864959813783e-06 -3.89866713670524e-06 -3.89867526584217e-06
61952 45.375 -3.63291140430375e-06 -3.6329282155955e-06 -3.63293707076732e-06
62464 45.75 -3.4638209405695e-06 -3.4638202662323e-06 -3.46381590054278e-06
62976 46.125 -3.4428213112319e-06 -3.44282251076782e-06 -3.44282251081847e-06
63488 46.5 -3.45655413605613e-06 -3.45655112416042e-06 -3.45655170199217e-06
64000 46.875 -3.45456478182974e-06 -3.45456068798184e-06 -3.45455858741254e-06
64512 47.25 -3.46465089653795e-06 -3.46464658175498e-06 -3.4646461398432e-06
65024 47.625 -3.45277189297821e-06 -3.45277026334269e-06 -3.45276425141556e-06
65536 48 -3.35831656166885e-06 -3.35831712543086e-06 -3.35831278847713e-06
66048 48.375 -3.28576060962103e-06 -3.28575585193303e-06 -3.28575447293488e-06
66560 48.75 -3.22649194197908e-06 -3.22648943389708e-06 -3.22648934365825e-06
67072 49.125 -3.15020539773461e-06 -3.15020506737423e-06 -3.15020321092079e-06
67584 49.5 -3.06300854643259e-06 -3.06301019386536e-06 -3.06301006192138e-06
68096 49.875 -2.99375734018592e-06 -2.9937578830589e-06 -2.99375572006331e-06
68608 50.25 -3.00400757460728e-06 -3.00401041324818e-06 -3.00400785774784e-06
69120 50.625 -3.0112609448377e-06 -3.01125997787634e-06 -3.01126053497439e-06
69632 51 -2.94080965324811e-06 -2.94080895073282e-06 -2.94080582504179e-06
70144 51.375 -2.91593446188789e-06 -2.91593356190646e-06 -2.91593287008173e-06
70656 51.75 -2.87787576672317e-06 -2.8778772382293e-06 -2.87787620291034e-06
71168 52.125 -2.84659097871415e-06 -2.84659048620298e-06 -2.84658880753799e-06
71680 52.5 -2.8018677221246e-06 -2.80187015581636e-06 -2.80186888784031e-06
72192 52.875 -2.76416617372833e-06 -2.7641680986414e-06 -2.76416648444106e-06
72704 53.25 -2.697391913925e-06 -2.69739313720052e-06 -2.69739185050642e-06
73216 53.625 -2.60538264101241e-06 -2.60538124403385e-06 -2.6053803263159e-06
