# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 6.48800683021545 0 2.07717561721802 0 4.46352195739746 0 0 0 0 0 0 0 0 0 13.6028782564151 52670.3446088394 0 52670.3446088394 124 488523 2283 486240 0 0 0 0 6.4859766960144 1692884611.55371 266
512 0.375 123.5808439153 123.5808439153 17.4778280258179 10.9240231513977 13.0028188228607 0 4.48132252693176 3 21759.7488311425 21759.7488311425 237704 237704 14371.2621095931 14371.2621095931 156992 156992 32.6256312285394 112175.858692822 3519.0989081304 108656.759784692 150 502192 15952 486240 0 0 0 0 17.4590840339661 1692884622.54353 905
1024 0.75 135.193034182337 130.120415102919 26.5252480506897 19.9714431762695 22.0291185379028 0 4.49845051765442 6 23804.3888868727 23804.3888868727 475408 475408 15721.6480165581 15721.6480165581 313984 313984 38.255125772253 111972.530721863 3826.17981779109 108146.350904071 176 503645 17405 486240 0 0 0 0 26.492253780365 1692884631.59095 1544
1536 1.125 130.803500582897 131.522951813841 37.5162789821625 30.9624741077423 33.0077455043793 0 4.51087641716003 9 23031.4928167088 23031.4928167088 713112 713112 15211.187528526 15211.187528526 470976 470976 43.9167194777834 111987.856469961 4139.03990997432 107848.816559987 202 505109 18869 486240 0 0 0 0 37.4688239097595 1692884642.58198 2183
2048 1.5 138.036061492206 130.426682517233 45.6740169525146 39.1202120780945 41.0726850032806 0 4.65609645843506 12 24304.9807118099 24304.9807118099 950816 950816 16052.2647153959 16052.2647153959 627968 627968 61.7212587862256 160542.427312373 4378.9494481819 156163.477864191 348 992830 20350 972480 0 0 0 0 45.6025784015656 1692884650.73972 2822
2560 1.875 116.499885777939 126.304007725407 64.493775844574 57.9399709701538 59.8275766372681 0 4.66954636573792 15 20512.9547029327 20512.9547029327 1188520 1188520 13547.8148652223 13547.8148652223 784960 784960 79.2936571204864 213035.911206615 4626.46343220827 208409.447774407 374 994277 21797 972480 0 0 0 0 64.4126374721527 1692884669.55948 3461
3072 2.25 125.347754909089 125.711829401274 71.1740288734436 64.6202239990234 66.488822221756 0 4.68756747245789 18 22070.861283637 22070.861283637 1426224 1426224 14576.7368434723 14576.7368434723 941952 941952 84.5213518719307 212488.386108092 4924.43593532623 207563.950172766 400 995757 23277 972480 0 0 0 0 71.0768253803253 1692884676.23973 4100
3584 2.625 122.011419105932 124.171177122953 84.0055718421936 77.4517669677734 79.299147605896 0 4.70879530906677 21 21483.4091608567 21483.4091608567 1663928 1663928 14188.7531172433 14188.7531172433 1098944 1098944 89.6646750935427 211841.293929831 5213.0872118959 206628.206717935 426 997224 24744 972480 0 0 0 0 83.8999502658844 1692884689.07127 4739
4096 3 127.890077479843 123.968327737192 91.0013258457184 84.4475209712982 86.1926610469818 0 4.86062073707581 24 22518.5059090879 22518.5059090879 1901632 1901632 14872.3844768263 14872.3844768263 1255936 1255936 105.642630805431 255959.61696548 5411.89729149712 250547.719673983 572 1484937 26217 1458720 0 0 0 0 90.8825421333313 1692884696.06703 5378
4608 3.375 131.415139530998 124.484538146641 99.0089058876038 92.4551010131836 94.1379449367523 0 4.87343072891235 27 23139.1883904269 23139.1883904269 2139336 2139336 15282.3152483336 15282.3152483336 1412928 1412928 121.947189885842 305101.193582803 5628.45817830005 299472.735404503 598 1486345 27625 1458720 0 0 0 0 98.8511373996735 1692884704.07461 6017
5120 3.75 130.743249428423 125.040514826837 109.8096139431 103.25580906868 104.92587018013 0 4.88611483573914 30 23020.883971951 23020.883971951 2377040 2377040 15204.180899457 15204.180899457 1569920 1569920 126.951787417888 304608.733013323 5919.8437516751 298688.889261648 624 1487836 29116 1458720 0 0 0 0 109.645420789719 1692884714.87531 6656
5632 4.125 131.803328184887 125.492385956846 119.22167301178 112.66786813736 114.321476221085 0 4.90701174736023 33 23207.5394984151 23207.5394984151 2614744 2614744 15327.457850668 15327.457850668 1726912 1726912 131.831440163111 303884.326202488 6198.32249547084 297686.003707017 650 1489301 30581 1458720 0 0 0 0 119.036018133163 1692884724.28737 7295
6144 4.5 128.927004078144 125.840788510582 132.206301927567 125.652497053146 127.206813097 0 5.05540251731873 36 22701.0848721416 22701.0848721416 2852448 2852448 14992.9690549896 14992.9690549896 1883904 1883904 146.414968571311 344615.631395422 6373.05154182938 338242.579853592 796 1977022 32062 1944960 0 0 0 0 131.993450164795 1692884737.272 7934
6656 4.875 123.679997795301 125.685551955489 148.452255010605 141.898450136185 143.386608362198 0 5.07985663414001 39 21777.2075525439 21777.2075525439 3090152 3090152 14382.7927510222 14382.7927510222 2040896 2040896 161.479877452021 390523.88318915 6572.90220005194 383950.980989099 822 1978465 33505 1944960 0 0 0 0 148.223061561584 1692884753.51796 8573
7168 5.25 123.326720611365 125.243379414011 159.805264949799 153.251460075378 154.703459739685 0 5.10873913764954 42 21715.0035527437 21715.0035527437 3327856 3327856 14341.7100164589 14341.7100164589 2197888 2197888 165.431639437528 388049.507667492 6819.74292766575 381229.764739826 848 1979958 34998 1944960 0 0 0 0 159.545856237411 1692884764.87097 9212
7680 5.625 123.292424218226 125.023595554954 170.797472953796 164.243668079376 165.671503782272 0 5.12828993797302 45 21708.9647454587 21708.9647454587 3565560 3565560 14337.7216761984 14337.7216761984 2354880 2354880 169.724001625498 386506.811435026 7074.17442177449 379432.637013251 874 1981431 36471 1944960 0 0 0 0 170.514422655106 1692884775.86317 9851
