# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.375 -0.00363652533770837 -0.00363652533770837 -0.00363652533770837
1024 0.75 -0.0071291314519283 -0.0071291314519283 -0.0071291314519283
1536 1.125 -0.0106148863755539 -0.0106148863755539 -0.0106148863754848
2048 1.5 -0.0140134539095625 -0.0140134539095625 -0.0140134539095625
2560 1.875 -0.017479860163533 -0.017479860163533 -0.017479860163533
3072 2.25 -0.0209717343005574 -0.0209717343250431 -0.0209717343250432
3584 2.625 -0.0244423770181175 -0.0244423780979291 -0.0244423780979291
4096 3 -0.0278848281227999 -0.0278848305490936 -0.0278848305490936
4608 3.375 -0.0312943110542222 -0.0312943151612307 -0.0312943151612309
5120 3.75 -0.034665177385122 -0.0346651833329207 -0.0346651833329208
5632 4.125 -0.0379906691171145 -0.0379906768166224 -0.0379906768166216
6144 4.5 -0.0412645465529127 -0.0412645566986784 -0.0412645566986785
6656 4.875 -0.0444813296119975 -0.0444813432439395 -0.0444813432439513
7168 5.25 -0.0476370965294889 -0.0476371144643262 -0.0476371144643872
7680 5.625 -0.0507125237425315 -0.050712549608024 -0.0507125496080857
8192 6 -0.0535560517517984 -0.0535560921203184 -0.0535560921203702
8704 6.375 -0.0563104756360591 -0.0563105317517099 -0.0563105317517092
9216 6.75 -0.0589730610738996 -0.0589731341380925 -0.0589731341380806
9728 7.125 -0.0615415651779281 -0.0615416562962124 -0.0615416562963299
10240 7.5 -0.0640152318061822 -0.0640153390714329 -0.0640153390717562
10752 7.875 -0.0663940875830722 -0.0663942096437649 -0.0663942096441906
11264 8.25 -0.0692826600632675 -0.0692826600456568 -0.0692826596551414
11776 8.625 -0.0722721246164929 -0.0722721245962492 -0.0722721240880128
12288 9 -0.0751949851053295 -0.0751949850826756 -0.0751949844442295
12800 9.375 -0.0780499830870793 -0.0780499830637517 -0.0780499822799753
13312 9.75 -0.0808365968500228 -0.0808365968261984 -0.0808365958749112
13824 10.125 -0.083554058695234 -0.0835540586672646 -0.0835540575267903
14336 10.5 -0.0862012227816164 -0.0862012227442087 -0.0862012213984211
14848 10.875 -0.0887778863993912 -0.0887778863509853 -0.0887778847840808
15360 11.25 -0.0912843893152614 -0.0912843892590278 -0.0912843874427871
15872 11.625 -0.0937204708065309 -0.0937204716032203 -0.0937204696606489
16384 12 -0.0962747502223132 -0.096275112927141 -0.0962751131706253
16896 12.375 -0.0990861008830402 -0.09908648186275 -0.0990864834555283
17408 12.75 -0.101835757203231 -0.101836153531612 -0.101836158904285
17920 13.125 -0.104529998315285 -0.104530359390665 -0.104530420277647
18432 13.5 -0.107165797229708 -0.107166027382919 -0.107166246438126
18944 13.875 -0.109776631541517 -0.109776319178653 -0.109776502165396
19456 14.25 -0.112599904210574 -0.112599358569198 -0.11259965765222
19968 14.625 -0.115362320178493 -0.115361501292375 -0.115361930539802
20480 15 -0.11806382798948 -0.118062706878329 -0.118063272928492
20992 15.375 -0.120705677234742 -0.120704270501972 -0.120704958554198
21504 15.75 -0.123290121640571 -0.123288479049305 -0.123289263598975
22016 16.125 -0.125818670206523 -0.125816801599623 -0.12581751889968
22528 16.5 -0.128292491322588 -0.128290163719422 -0.128290675361701
23040 16.875 -0.130712734007286 -0.130709624079718 -0.130709835357292
23552 17.25 -0.133079613003571 -0.133075440971724 -0.133075264249934
24064 17.625 -0.135393000900901 -0.13538754901986 -0.135386920640328
24576 18 -0.137653354268363 -0.137645953410669 -0.137644657478817
25088 18.375 -0.139860233994584 -0.139850615675698 -0.139848629608675
25600 18.75 -0.142013254799338 -0.142001393967873 -0.141998725784047
26112 19.125 -0.144110980773776 -0.144096920163702 -0.144093636148852
26624 19.5 -0.146144519722096 -0.146128037953056 -0.146124129596945
27136 19.875 -0.148111013607178 -0.148091848432755 -0.14808723533417
27648 20.25 -0.150011225385962 -0.149989423646701 -0.149984093503325
28160 20.625 -0.151846179432699 -0.151821990796175 -0.151816022423784
28672 21 -0.153617818534367 -0.153590851948019 -0.153584276057421
29184 21.375 -0.155326709742773 -0.155296904399515 -0.155290013290264
29696 21.75 -0.156975858274237 -0.15694337236081 -0.156936601026037
30208 22.125 -0.158567848034887 -0.158532804469194 -0.158527699471008
30720 22.5 -0.160350559542038 -0.160067653028247 -0.160071641338776
31232 22.875 -0.162591078310172 -0.162240766939752 -0.162252069356778
31744 23.25 -0.164779861074614 -0.16436358124099 -0.164374919863219
32256 23.625 -0.166916106136436 -0.166430509833323 -0.166441851320644
32768 24 -0.168991845742331 -0.168442816029932 -0.16845404031444
33280 24.375 -0.171007492369094 -0.170392941562723 -0.170403900498636
33792 24.75 -0.172963938398404 -0.172279089886123 -0.172289767659868
34304 25.125 -0.174861819575222 -0.174102091362977 -0.174112475790732
34816 25.5 -0.176702264500492 -0.175863021084588 -0.175873166352521
35328 25.875 -0.178487196451673 -0.177563691776505 -0.177573655377997
35840 26.25 -0.180218889546146 -0.179207837159985 -0.179216422062941
36352 26.625 -0.181898483320866 -0.180797769145852 -0.180803001198073
36864 27 -0.183526877772825 -0.182332738555755 -0.182334595619533
37376 27.375 -0.185104519181211 -0.183986936230297 -0.183814701570733
37888 27.75 -0.186631041758074 -0.185696750972315 -0.185527695385813
