# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000105895146736231
512 0.375 -0.000111225575758581
1024 0.75 -0.000121471721825975
1536 1.125 -0.000126518848736663
2048 1.5 -0.000119390382844618
2560 1.875 -0.000119485083620638
3072 2.25 -0.00016187786531759
3584 2.625 -0.000198576098757019
4096 3 -0.000232278136528092
4608 3.375 -0.000267887238360364
5120 3.75 -0.000304232228840845
5632 4.125 -0.000337274591797138
6144 4.5 -0.000363718909779885
6656 4.875 -0.000383931185643887
7168 5.25 -0.000401746537473167
7680 5.625 -0.000421322188838651
8192 6 -0.000443811091522212
8704 6.375 -0.000466869628378194
9216 6.75 -0.000487260525586418
9728 7.125 -0.00050374158579518
10240 7.5 -0.000517547578984636
10752 7.875 -0.000530859014759439
11264 8.25 -0.000545501023728735
11776 8.625 -0.000562492889935379
12288 9 -0.000581356748928307
12800 9.375 -0.000599555488715956
13312 9.75 -0.000614321598134182
13824 10.125 -0.000626494879454365
14336 10.5 -0.000641137779827578
14848 10.875 -0.000661836367369709
15360 11.25 -0.000685125600662392
15872 11.625 -0.000704131834568899
16384 12 -0.000718221528326921
16896 12.375 -0.000734498131746311
17408 12.75 -0.000757129140359665
17920 13.125 -0.00077998146667898
18432 13.5 -0.000795567648275911
18944 13.875 -0.00080823514427077
19456 14.25 -0.000829974500142899
19968 14.625 -0.000862048352597656
20480 15 -0.000889574245170536
20992 15.375 -0.000901411997940347
21504 15.75 -0.000907495603198631
22016 16.125 -0.00092696906340939
22528 16.5 -0.000962130819554851
23040 16.875 -0.000994347886401599
23552 17.25 -0.00100862753237363
24064 17.625 -0.00101197637214397
24576 18 -0.00102228543999878
25088 18.375 -0.00104602853317046
25600 18.75 -0.00107428904124657
26112 19.125 -0.00109736525853876
26624 19.5 -0.00111507297139665
27136 19.875 -0.0011315709421627
27648 20.25 -0.00114698799925697
28160 20.625 -0.00115962164003301
28672 21 -0.00117348296031505
29184 21.375 -0.00119611205055315
29696 21.75 -0.0012265308034324
30208 22.125 -0.0012515642135612
30720 22.5 -0.00126047230815645
31232 22.875 -0.00126069607544897
31744 23.25 -0.00127163631605699
32256 23.625 -0.00130169603571255
32768 24 -0.00133774959965968
33280 24.375 -0.00136077672034915
33792 24.75 -0.00136760251127459
34304 25.125 -0.00137250205183672
34816 25.5 -0.00138952665348721
35328 25.875 -0.00141851702123033
35840 26.25 -0.00144881793465604
36352 26.625 -0.00147183225659723
36864 27 -0.00148710154185045
37376 27.375 -0.00149931498430954
37888 27.75 -0.0015138515784706
38400 28.125 -0.00153462095430283
38912 28.5 -0.0015617872395613
39424 28.875 -0.00158990535851527
39936 29.25 -0.00161139933573676
40448 29.625 -0.0016247054414995
40960 30 -0.00163748475055876
41472 30.375 -0.00165880454622848
41984 30.75 -0.00168850906866576
42496 31.125 -0.00171733011156362
43008 31.5 -0.00173811756814601
43520 31.875 -0.00175380278174833
44032 32.25 -0.00177223568138859
44544 32.625 -0.00179599619790186
45056 33 -0.00182113362897439
45568 33.375 -0.00184460604824525
46080 33.75 -0.00186792052463587
46592 34.125 -0.00189237254945227
47104 34.5 -0.00191553846855665
47616 34.875 -0.0019358484189695
48128 35.25 -0.00195719712491011
48640 35.625 -0.00198415788130852
49152 36 -0.00201405053923931
49664 36.375 -0.00203918903352793
50176 36.75 -0.00205773022275134
50688 37.125 -0.00207713538557894
51200 37.5 -0.00210411849620519
51712 37.875 -0.00213530948890881
52224 38.25 -0.00216235343726361
52736 38.625 -0.00218379093734971
53248 39 -0.00220611624874048
53760 39.375 -0.00223314040644288
54272 39.75 -0.00226054636817683
54784 40.125 -0.00228386582393965
55296 40.5 -0.00230645222011134
55808 40.875 -0.00233387856908036
56320 41.25 -0.00236364880646061
56832 41.625 -0.00238790037106702
57344 42 -0.00240594748421468
57856 42.375 -0.002426343831296
58368 42.75 -0.00245425978517704
58880 43.125 -0.00248388399307764
59392 43.5 -0.00250737530079858
59904 43.875 -0.00252547487108613
60416 44.25 -0.00254423207075335
60928 44.625 -0.00256580866516082
61440 45 -0.00258792012478389
61952 45.375 -0.00260915436216063
62464 45.75 -0.00262974834829188
62976 46.125 -0.00264910047077245
63488 46.5 -0.00266660861397148
64000 46.875 -0.00268360256669036
64512 47.25 -0.00270157590228841
65024 47.625 -0.00271991290764418
65536 48 -0.00273732342028415
66048 48.375 -0.00275370339935428
66560 48.75 -0.00276898851003276
67072 49.125 -0.00278245167177143
67584 49.5 -0.00279493759041011
68096 49.875 -0.00280938843749491
68608 50.25 -0.00282670730850692
69120 50.625 -0.00284315944395021
69632 51 -0.00285507571305063
70144 51.375 -0.00286479739356081
70656 51.75 -0.00287798601891861
71168 52.125 -0.00289529032401943
71680 52.5 -0.0029112550477578
72192 52.875 -0.00292257541271305
72704 53.25 -0.00293260576137913
73216 53.625 -0.00294529559113622
73728 54 -0.0029594643060145
74240 54.375 -0.00297264029752254
74752 54.75 -0.00298597088631197
75264 55.125 -0.00300076566705148
75776 55.5 -0.00301441206982312
76288 55.875 -0.00302507604153626
76800 56.25 -0.00303664617648125
77312 56.625 -0.00305301992351915
77824 57 -0.00307077061367999
78336 57.375 -0.00308393281673287
78848 57.75 -0.00309343996589533
79360 58.125 -0.0031053112546732
79872 58.5 -0.00312152804451518
80384 58.875 -0.0031388220866134
80896 59.25 -0.00315460284653943
81408 59.625 -0.00316852236668813
81920 60 -0.00318045266900361
82432 60.375 -0.00319212990592389
82944 60.75 -0.00320780888732492
83456 61.125 -0.0032280192832774
83968 61.5 -0.00324639403788384
84480 61.875 -0.00325838162623077
84992 62.25 -0.00326884321208215
85504 62.625 -0.00328459415600549
86016 63 -0.0033039065173098
86528 63.375 -0.00332086345962552
87040 63.75 -0.00333597328773215
87552 64.125 -0.0033537979439457
88064 64.5 -0.00337292582476221
88576 64.875 -0.00338777942587255
89088 65.25 -0.00339963577749274
89600 65.625 -0.0034165311735893
90112 66 -0.00344050320730245
90624 66.375 -0.00346292357326642
91136 66.75 -0.0034764168877102
91648 67.125 -0.00348582631773815
92160 67.5 -0.00350208600184125
92672 67.875 -0.00352769813504943
93184 68.25 -0.00355359668636049
93696 68.625 -0.00357101460627139
94208 69 -0.00358242700154378
94720 69.375 -0.00359774828638707
95232 69.75 -0.00362144527752068
95744 70.125 -0.00364753350067873
96256 70.5 -0.00366822822140217
96768 70.875 -0.00368378717455742
97280 71.25 -0.00370068352259825
97792 71.625 -0.00372223198638993
98304 72 -0.00374530553279057
98816 72.375 -0.00376632050318123
99328 72.75 -0.00378592269695304
99840 73.125 -0.00380688929362324
100352 73.5 -0.00382854884453149
100864 73.875 -0.00384778399518083
101376 74.25 -0.00386466485060611
101888 74.625 -0.00388334494045447
102400 75 -0.00390612926485223
102912 75.375 -0.00392933082983083
103424 75.75 -0.00394784950981874
103936 76.125 -0.00396247160962465
104448 76.5 -0.00397931923383227
104960 76.875 -0.00400174476758991
105472 77.25 -0.00402582071697718
105984 77.625 -0.00404555485162823
106496 78 -0.00406047406182431
107008 78.375 -0.00407562268536968
107520 78.75 -0.00409489458302216
108032 79.125 -0.00411686170896728
108544 79.5 -0.00413753686639269
109056 79.875 -0.00415523868943162
109568 80.25 -0.00417147710832621
110080 80.625 -0.00418816125127565
110592 81 -0.00420566643470673
111104 81.375 -0.00422371578306419
111616 81.75 -0.00424258552145489
112128 82.125 -0.00426221128268676
112640 82.5 -0.00428083267025347
113152 82.875 -0.00429641485809205
113664 83.25 -0.00430989922668236
114176 83.625 -0.00432525037869764
114688 84 -0.00434481614154839
115200 84.375 -0.00436586012300769
115712 84.75 -0.00438359022755347
116224 85.125 -0.00439695697160083
116736 85.5 -0.00440947990281669
117248 85.875 -0.0044246677645556
117760 86.25 -0.00444263017502763
118272 86.625 -0.00446120702025056
118784 87 -0.00447848972625873
119296 87.375 -0.0044937503012456
119808 87.75 -0.00450733108115361
120320 88.125 -0.00452033918844021
120832 88.5 -0.00453401055602555
121344 88.875 -0.0045492424276164
121856 89.25 -0.00456630668661047
122368 89.625 -0.00458395836075157
122880 90 -0.00459922847888195
123392 90.375 -0.00461030099539983
123904 90.75 -0.00461990093425436
124416 91.125 -0.00463321471570651
124928 91.5 -0.00465146292359377
125440 91.875 -0.00467001216525965
125952 92.25 -0.00468407078896244
126464 92.625 -0.00469391565112555
126976 93 -0.00470328497781424
127488 93.375 -0.00471503570433489
128000 93.75 -0.00472978217866433
128512 94.125 -0.0047464281021371
129024 94.5 -0.00476227543925764
129536 94.875 -0.00477449218209156
130048 95.25 -0.00478327263252339
130560 95.625 -0.00479233754849085
131072 96 -0.00480498333991344
131584 96.375 -0.00482054142499612
132096 96.75 -0.00483557142887279
132608 97.125 -0.00484764682100936
133120 97.5 -0.00485727560850481
133632 97.875 -0.00486676112911984
134144 98.25 -0.00487776685835531
134656 98.625 -0.00488996616186295
135168 99 -0.00490208785852534
