# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.77298900874365e-06
512 0.375 7.19627792389147e-06
1024 0.75 1.09924933180212e-05
1536 1.125 1.37999164723641e-05
2048 1.5 1.59931928567686e-05
2560 1.875 1.76103287536969e-05
3072 2.25 1.86210641637912e-05
3584 2.625 1.90721277279448e-05
4096 3 1.9038352522211e-05
4608 3.375 1.88777640728582e-05
5120 3.75 1.88052407543204e-05
5632 4.125 1.8965123489655e-05
6144 4.5 1.946104048412e-05
6656 4.875 1.99997999828946e-05
7168 5.25 2.04459326049145e-05
7680 5.625 2.07186297635067e-05
8192 6 2.0786284967603e-05
8704 6.375 2.07162869433367e-05
9216 6.75 2.05496793322724e-05
9728 7.125 2.04832683780745e-05
10240 7.5 2.05769490428927e-05
10752 7.875 2.08592808197943e-05
11264 8.25 2.12232178609499e-05
11776 8.625 2.14692326055226e-05
12288 9 2.15717582134246e-05
12800 9.375 2.1591525760129e-05
13312 9.75 2.15534887222148e-05
13824 10.125 2.14642884809322e-05
14336 10.5 2.14483026096853e-05
14848 10.875 2.156799751525e-05
15360 11.25 2.18181285056686e-05
15872 11.625 2.20845410314934e-05
16384 12 2.21821298726796e-05
16896 12.375 2.22026205566759e-05
17408 12.75 2.2238761761695e-05
17920 13.125 2.22827196681939e-05
18432 13.5 2.22816828156649e-05
18944 13.875 2.22634020317009e-05
19456 14.25 2.23923730532121e-05
19968 14.625 2.26334206850805e-05
20480 15 2.28568993763412e-05
20992 15.375 2.29344683326157e-05
21504 15.75 2.29489254373093e-05
22016 16.125 2.29887597795801e-05
22528 16.5 2.30689562365499e-05
23040 16.875 2.31291600511646e-05
23552 17.25 2.31471278897591e-05
24064 17.625 2.32172659636036e-05
24576 18 2.34119835702023e-05
25088 18.375 2.36174415402879e-05
25600 18.75 2.36964939935332e-05
26112 19.125 2.36822878007997e-05
26624 19.5 2.37315234351823e-05
27136 19.875 2.38732973863866e-05
27648 20.25 2.39735547069035e-05
28160 20.625 2.40108684173983e-05
28672 21 2.40726306754205e-05
29184 21.375 2.42106247055274e-05
29696 21.75 2.43340126759832e-05
30208 22.125 2.43805428584864e-05
30720 22.5 2.44238782170211e-05
31232 22.875 2.45274086136868e-05
31744 23.25 2.46716915680778e-05
32256 23.625 2.4812286741816e-05
32768 24 2.49068685048995e-05
33280 24.375 2.4957991917921e-05
33792 24.75 2.50706916317176e-05
34304 25.125 2.5180513523372e-05
34816 25.5 2.52488665791965e-05
35328 25.875 2.52939995394216e-05
35840 26.25 2.53896509907633e-05
36352 26.625 2.54946453703959e-05
36864 27 2.56367947778047e-05
37376 27.375 2.57670509882916e-05
37888 27.75 2.5861359405072e-05
38400 28.125 2.59407602677575e-05
38912 28.5 2.60385088052017e-05
39424 28.875 2.61463564189131e-05
39936 29.25 2.62467459563521e-05
40448 29.625 2.6358559759455e-05
40960 30 2.64524416046397e-05
41472 30.375 2.65325076950769e-05
41984 30.75 2.66174881166796e-05
42496 31.125 2.67169893907702e-05
43008 31.5 2.68166369551916e-05
43520 31.875 2.68968590285072e-05
44032 32.25 2.70070698158513e-05
44544 32.625 2.71371808416187e-05
45056 33 2.72857105112545e-05
45568 33.375 2.74126168471924e-05
46080 33.75 2.75564832603247e-05
46592 34.125 2.77150369325892e-05
47104 34.5 2.78501414112791e-05
47616 34.875 2.79676568243063e-05
48128 35.25 2.80392431598292e-05
48640 35.625 2.81367709320547e-05
49152 36 2.82559840464273e-05
49664 36.375 2.83735020635752e-05
50176 36.75 2.84599824461507e-05
50688 37.125 2.85501002360375e-05
51200 37.5 2.8686668963995e-05
51712 37.875 2.88455824280201e-05
52224 38.25 2.89686336801737e-05
52736 38.625 2.9073583283285e-05
53248 39 2.91808410642015e-05
53760 39.375 2.93333784533504e-05
54272 39.75 2.94880817431781e-05
54784 40.125 2.96155155604485e-05
55296 40.5 2.97332791876212e-05
55808 40.875 2.98393837140959e-05
56320 41.25 2.99433882664814e-05
56832 41.625 3.00112501470961e-05
57344 42 3.00727555371768e-05
57856 42.375 3.01356709756621e-05
58368 42.75 3.02237194585036e-05
58880 43.125 3.03660590222032e-05
59392 43.5 3.05406230827791e-05
59904 43.875 3.0742100787979e-05
60416 44.25 3.09307723911181e-05
60928 44.625 3.11139926306315e-05
61440 45 3.12381331396903e-05
61952 45.375 3.1312801970674e-05
62464 45.75 3.1366684515498e-05
62976 46.125 3.13926710315756e-05
63488 46.5 3.14337394023247e-05
64000 46.875 3.15237117951638e-05
64512 47.25 3.17063892496497e-05
65024 47.625 3.19179546134971e-05
65536 48 3.2123549795508e-05
66048 48.375 3.23002255880156e-05
66560 48.75 3.24344532187234e-05
67072 49.125 3.25334080541762e-05
67584 49.5 3.25884242150857e-05
68096 49.875 3.26232444871722e-05
68608 50.25 3.26630368286354e-05
69120 50.625 3.27640258996584e-05
69632 51 3.29303871110898e-05
70144 51.375 3.31167576935739e-05
70656 51.75 3.33090210359037e-05
71168 52.125 3.34678130270335e-05
71680 52.5 3.36041590535301e-05
72192 52.875 3.36785690227927e-05
72704 53.25 3.37091626391483e-05
73216 53.625 3.37505643907278e-05
73728 54 3.38316690753622e-05
74240 54.375 3.39459225230604e-05
74752 54.75 3.40757821328872e-05
75264 55.125 3.42422820350671e-05
75776 55.5 3.44140549369815e-05
76288 55.875 3.45789664358431e-05
76800 56.25 3.46957771603556e-05
77312 56.625 3.47631934230744e-05
77824 57 3.48066342487448e-05
78336 57.375 3.48689616868031e-05
78848 57.75 3.49732959864833e-05
79360 58.125 3.50818659295647e-05
79872 58.5 3.52011666344791e-05
80384 58.875 3.53433705927007e-05
80896 59.25 3.5508176505224e-05
81408 59.625 3.56631061805103e-05
81920 60 3.57668894289902e-05
82432 60.375 3.58460423882882e-05
82944 60.75 3.59079846585407e-05
83456 61.125 3.59817503498327e-05
83968 61.5 3.60562960468865e-05
84480 61.875 3.61607280425237e-05
84992 62.25 3.6297245173172e-05
85504 62.625 3.64524968164329e-05
86016 63 3.65902603583149e-05
86528 63.375 3.67020417230811e-05
87040 63.75 3.67918366564075e-05
87552 64.125 3.68717136584957e-05
88064 64.5 3.69522294880769e-05
88576 64.875 3.70323075539499e-05
89088 65.25 3.71152451022545e-05
89600 65.625 3.72247452838623e-05
90112 66 3.73593840082329e-05
90624 66.375 3.75058554237211e-05
91136 66.75 3.7641580349033e-05
91648 67.125 3.77508146080223e-05
92160 67.5 3.78347929246359e-05
92672 67.875 3.78964578469993e-05
93184 68.25 3.7954407849936e-05
93696 68.625 3.8025750591984e-05
94208 69 3.81407573567923e-05
94720 69.375 3.82858170193628e-05
95232 69.75 3.84320674018692e-05
95744 70.125 3.85626767448641e-05
96256 70.5 3.86833129307634e-05
96768 70.875 3.87847283710419e-05
97280 71.25 3.88575180161031e-05
97792 71.625 3.89188546371581e-05
98304 72 3.89935435505666e-05
98816 72.375 3.91074544058831e-05
99328 72.75 3.92277643832281e-05
99840 73.125 3.93537143408306e-05
100352 73.5 3.9483947571655e-05
100864 73.875 3.96051832052441e-05
101376 74.25 3.97104847579321e-05
101888 74.625 3.97927530950094e-05
102400 75 3.98736415173501e-05
102912 75.375 3.9979096230612e-05
103424 75.75 4.00931566631457e-05
103936 76.125 4.02051132079253e-05
104448 76.5 4.03188624697318e-05
104960 76.875 4.04422930263287e-05
105472 77.25 4.05534814217732e-05
105984 77.625 4.06521998346641e-05
106496 78 4.07488051402092e-05
107008 78.375 4.08603663949307e-05
107520 78.75 4.09804668439543e-05
108032 79.125 4.10972657745902e-05
108544 79.5 4.1202077832715e-05
109056 79.875 4.13123962055851e-05
109568 80.25 4.14308241567099e-05
110080 80.625 4.15483705818418e-05
110592 81 4.16558135328456e-05
111104 81.375 4.17682515076235e-05
111616 81.75 4.18959774773094e-05
112128 82.125 4.20173991349857e-05
112640 82.5 4.21304190281396e-05
113152 82.875 4.22480289785392e-05
113664 83.25 4.23655552093044e-05
114176 83.625 4.24805025228526e-05
114688 84 4.25880350876414e-05
115200 84.375 4.2687009298721e-05
115712 84.75 4.2786451840413e-05
116224 85.125 4.29000970283193e-05
116736 85.5 4.30204124970283e-05
117248 85.875 4.3148787409797e-05
117760 86.25 4.32733841578039e-05
118272 86.625 4.3402672092464e-05
118784 87 4.35335326762468e-05
119296 87.375 4.36580111704973e-05
119808 87.75 4.37768399278812e-05
120320 88.125 4.38860076290973e-05
120832 88.5 4.39901926368897e-05
121344 88.875 4.40962945341631e-05
121856 89.25 4.42054630601132e-05
122368 89.625 4.43270202863901e-05
122880 90 4.44496446593547e-05
123392 90.375 4.45735507134402e-05
123904 90.75 4.46961854784175e-05
124416 91.125 4.48171460247581e-05
124928 91.5 4.49439375741559e-05
125440 91.875 4.50702827318306e-05
125952 92.25 4.51915483975518e-05
126464 92.625 4.53071245682048e-05
126976 93 4.54149913173426e-05
127488 93.375 4.55316476267859e-05
128000 93.75 4.56505983670813e-05
128512 94.125 4.57679096078285e-05
129024 94.5 4.58822401944595e-05
129536 94.875 4.60028049011211e-05
130048 95.25 4.61309718609752e-05
130560 95.625 4.62607299082035e-05
131072 96 4.63836666883946e-05
131584 96.375 4.64927642196567e-05
132096 96.75 4.65991391582374e-05
132608 97.125 4.67138369926589e-05
133120 97.5 4.68333454383082e-05
133632 97.875 4.6958134045604e-05
134144 98.25 4.70709814437459e-05
134656 98.625 4.71824719238667e-05
135168 99 4.73001878717797e-05
