# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.49403756253868e-05 1.49403756253932e-05 1.49403756253974e-05
1024 0.75 1.72698010830269e-05 1.72698010830308e-05 1.72698010830333e-05
1536 1.125 1.47192666903516e-05 1.47192666903551e-05 1.47192666903407e-05
2048 1.5 1.09666954527748e-05 1.09666954526838e-05 1.09666954545737e-05
2560 1.875 1.58859132746927e-05 1.58859132749919e-05 1.58859132750201e-05
3072 2.25 2.21644258754417e-05 2.21644258768009e-05 2.21644258768793e-05
3584 2.625 1.47942577260556e-05 1.47942577272692e-05 1.47942577273894e-05
4096 3 2.68126708753659e-05 2.68126708754764e-05 2.68126708754959e-05
4608 3.375 2.56652193423298e-05 2.5665219342981e-05 2.56652193419235e-05
5120 3.75 1.56281682600195e-05 1.56281696239029e-05 1.56281696654869e-05
5632 4.125 1.24644897554643e-05 1.24644902033112e-05 1.2464490236603e-05
6144 4.5 1.67974236832533e-05 1.6797423627598e-05 1.67974235330214e-05
6656 4.875 1.98579639777078e-05 1.98579639776988e-05 1.98579639760042e-05
7168 5.25 2.17274811200087e-05 2.1727481120004e-05 2.17274811178308e-05
7680 5.625 2.13436316198264e-05 2.13436316198552e-05 2.13436316182454e-05
8192 6 2.8306053664634e-05 2.83060541066906e-05 2.83060543605638e-05
8704 6.375 2.70027367325292e-05 2.70027369337502e-05 2.70027368645912e-05
9216 6.75 2.02401059905833e-05 2.02401049763083e-05 2.02401055940458e-05
9728 7.125 2.21356674698114e-05 2.2135666444243e-05 2.21356660527113e-05
10240 7.5 1.23083120458976e-05 1.23083121789484e-05 1.23083140012771e-05
10752 7.875 2.55978460988898e-05 2.55978460728983e-05 2.55978469055993e-05
11264 8.25 1.89202499534828e-05 1.89202535608587e-05 1.89202482648446e-05
11776 8.625 1.91635545640849e-05 1.91635528196698e-05 1.91635430061157e-05
12288 9 1.78703705859781e-05 1.78703704709379e-05 1.78703703587827e-05
12800 9.375 2.59361435512606e-05 2.59361476634487e-05 2.59361634015039e-05
13312 9.75 2.1024327663658e-05 2.10243306916303e-05 2.10243431015313e-05
13824 10.125 1.58367392543876e-05 1.58367395470266e-05 1.58367398374276e-05
14336 10.5 2.0004192874468e-05 2.00041930246062e-05 2.00041931777056e-05
14848 10.875 1.84099133098386e-05 1.84099136050546e-05 1.84099139021325e-05
15360 11.25 2.19339234419146e-05 2.19339252725739e-05 2.19339271876947e-05
15872 11.625 2.38565597839288e-05 2.38565516740968e-05 2.38565436572567e-05
16384 12 1.87237661732927e-05 1.87237583541483e-05 1.87237506568694e-05
16896 12.375 2.17308804442858e-05 2.1730881194575e-05 2.17308819421423e-05
17408 12.75 2.60939391489908e-05 2.60939405368906e-05 2.6093941932873e-05
17920 13.125 2.06553220559649e-05 2.06553208495634e-05 2.06553196877952e-05
18432 13.5 3.05094113397549e-05 3.05094155885293e-05 3.05094198909147e-05
18944 13.875 3.40251358609465e-05 3.40251412481259e-05 3.40251466293673e-05
19456 14.25 2.9675660611598e-05 2.96756616483869e-05 2.96756625523968e-05
19968 14.625 2.11966500552726e-05 2.11966490345302e-05 2.11966479223359e-05
20480 15 1.62129180038356e-05 1.62129194046387e-05 1.62129073567457e-05
20992 15.375 1.94144068366864e-05 1.94144065116191e-05 1.94144148123269e-05
21504 15.75 1.93122560547497e-05 1.93122566358499e-05 1.93122575304702e-05
22016 16.125 2.12111699607676e-05 2.12113621472965e-05 2.12113546597966e-05
22528 16.5 2.66438372903798e-05 2.66438672714622e-05 2.66438844580246e-05
23040 16.875 3.05681815547227e-05 3.05681966746003e-05 3.05682111797619e-05
23552 17.25 2.95433778086079e-05 2.95433901949709e-05 2.95434020703816e-05
24064 17.625 2.74264064974045e-05 2.74264048419507e-05 2.74264039862992e-05
24576 18 2.49829429730359e-05 2.49829330325362e-05 2.49829255210446e-05
25088 18.375 2.35030627003135e-05 2.3503316336828e-05 2.35033779248944e-05
25600 18.75 1.89690760349826e-05 1.89696175873126e-05 1.89687986601852e-05
26112 19.125 1.97461046141753e-05 1.97468423318999e-05 1.97465653688501e-05
26624 19.5 1.83227334199595e-05 1.83232291626881e-05 1.83232117907077e-05
27136 19.875 2.26099307463435e-05 2.26103313948466e-05 2.26103470820158e-05
27648 20.25 2.73642806269669e-05 2.73643106186975e-05 2.7364306359868e-05
28160 20.625 2.64414450502084e-05 2.64414448788363e-05 2.64414214543474e-05
28672 21 3.20390620627464e-05 3.20388481015118e-05 3.20384939494686e-05
29184 21.375 3.20212202484532e-05 3.20210676569489e-05 3.20213150013323e-05
29696 21.75 2.2392260398179e-05 2.23931587870136e-05 2.23936600419596e-05
30208 22.125 2.13730530657645e-05 2.137336047918e-05 2.13733601644987e-05
30720 22.5 2.3226020539404e-05 2.32250946883214e-05 2.32247464775033e-05
