# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.08809057932066e-07 1.08809058313809e-07 1.08809058798719e-07
1024 0.75 2.58990889922745e-07 2.58990890882013e-07 2.58990894003478e-07
1536 1.125 4.27607669125752e-07 4.27607670173939e-07 4.27607668262092e-07
2048 1.5 5.96027647094698e-07 5.96027651476097e-07 5.96027652033096e-07
2560 1.875 7.96343662277481e-07 7.96343657902696e-07 7.96343652246588e-07
3072 2.25 9.45833711970988e-07 9.45833716778634e-07 9.45833711986325e-07
3584 2.625 1.00608480568167e-06 1.00608481034867e-06 1.00608480618934e-06
4096 3 1.00311945076294e-06 1.00311943672139e-06 1.00311939965158e-06
4608 3.375 1.01308368938683e-06 1.01308365354706e-06 1.01308366641187e-06
5120 3.75 9.93748951936447e-07 9.93748945606618e-07 9.93748940082718e-07
5632 4.125 9.65343857755164e-07 9.65343875271234e-07 9.65343822432502e-07
6144 4.5 9.73296104276792e-07 9.73296131304999e-07 9.73296134511514e-07
6656 4.875 1.04147970412928e-06 1.04147969801357e-06 1.0414796998619e-06
7168 5.25 1.07974890196448e-06 1.07974894929545e-06 1.07974897384997e-06
7680 5.625 1.05911852270741e-06 1.05911849760404e-06 1.05911853012308e-06
8192 6 9.9434899223137e-07 9.9434899379207e-07 9.94348981401029e-07
8704 6.375 9.81633742025839e-07 9.81633703748371e-07 9.81633671503687e-07
9216 6.75 1.04043668362931e-06 1.04043673272616e-06 1.040436742776e-06
9728 7.125 1.06945613791338e-06 1.06945617602399e-06 1.06945618826481e-06
10240 7.5 1.06513770436365e-06 1.06513766751995e-06 1.06513768060699e-06
10752 7.875 1.06398733939647e-06 1.063987305848e-06 1.06398731452627e-06
11264 8.25 1.07480845457123e-06 1.0748085048054e-06 1.07480847457943e-06
11776 8.625 1.06401903544942e-06 1.06401902857308e-06 1.06401906389266e-06
12288 9 1.03273905244062e-06 1.03273905058722e-06 1.03273906947706e-06
12800 9.375 1.02807566334844e-06 1.02807572482616e-06 1.0280757799249e-06
13312 9.75 1.06592920613747e-06 1.06592922574372e-06 1.06592925110705e-06
13824 10.125 1.06161789706481e-06 1.06161786306186e-06 1.06161784038097e-06
14336 10.5 1.04058460628203e-06 1.04058464333844e-06 1.04058453544764e-06
14848 10.875 1.00588719940026e-06 1.00588713592642e-06 1.00588712211647e-06
15360 11.25 9.93080054732221e-07 9.93079949674879e-07 9.93079832104768e-07
15872 11.625 1.00336776564584e-06 1.00336769753451e-06 1.00336780360024e-06
16384 12 1.01122892092917e-06 1.01122889692508e-06 1.0112290243073e-06
16896 12.375 1.00567597480138e-06 1.00567605485082e-06 1.00567618084399e-06
17408 12.75 1.00229762096907e-06 1.00229774674143e-06 1.00229788800077e-06
17920 13.125 1.0057058205393e-06 1.00570562192295e-06 1.00570587088305e-06
18432 13.5 1.00457546716633e-06 1.00457513999597e-06 1.00457535268763e-06
18944 13.875 9.91433337448041e-07 9.9143341494481e-07 9.9143360843064e-07
19456 14.25 9.91733913518668e-07 9.91734278765755e-07 9.91734327530818e-07
19968 14.625 9.90938406778153e-07 9.90938990937345e-07 9.90938930864733e-07
20480 15 1.02246238756657e-06 1.02246221632385e-06 1.02246249776556e-06
20992 15.375 1.02826860664171e-06 1.02826841134662e-06 1.02826847052729e-06
21504 15.75 1.00304553361323e-06 1.00304511078224e-06 1.00304491197707e-06
22016 16.125 9.92178101372995e-07 9.92177880729075e-07 9.92177883453538e-07
22528 16.5 1.00251780495714e-06 1.00251719640703e-06 1.00251628110843e-06
23040 16.875 1.00882508601801e-06 1.00882407544671e-06 1.0088227825148e-06
23552 17.25 1.00304432963452e-06 1.00304389675587e-06 1.00304273452134e-06
24064 17.625 1.00810355983993e-06 1.00810190952992e-06 1.00810070574175e-06
24576 18 1.05843970758061e-06 1.05843837508519e-06 1.05843795806448e-06
25088 18.375 1.08733492771225e-06 1.0873339026244e-06 1.08733503117671e-06
25600 18.75 1.0855763319268e-06 1.08557601288657e-06 1.08557762690087e-06
26112 19.125 1.07661083268191e-06 1.07661028777126e-06 1.07661031584963e-06
26624 19.5 1.0698295015752e-06 1.0698278665298e-06 1.06982730570484e-06
27136 19.875 1.09626305303466e-06 1.09626257383096e-06 1.09626264756287e-06
27648 20.25 1.11731119128805e-06 1.11731151598453e-06 1.11731322180332e-06
28160 20.625 1.11196927099725e-06 1.11197162846485e-06 1.11197241448247e-06
28672 21 1.10985578243432e-06 1.10985610707763e-06 1.1098555197523e-06
29184 21.375 1.13108063747147e-06 1.13107955389706e-06 1.13107780502196e-06
29696 21.75 1.16093365572118e-06 1.16093191679612e-06 1.16093052689206e-06
30208 22.125 1.16802489860601e-06 1.16802423846761e-06 1.16802547980342e-06
30720 22.5 1.15813557009438e-06 1.15813428828167e-06 1.15813650197637e-06
31232 22.875 1.14148798054715e-06 1.14148412736352e-06 1.14148555818823e-06
31744 23.25 1.13357849971406e-06 1.13357662669869e-06 1.13357638810851e-06
32256 23.625 1.13922701416505e-06 1.13922796518316e-06 1.13922829835478e-06
32768 24 1.12942883951846e-06 1.12943159364675e-06 1.12943152650087e-06
33280 24.375 1.12220969914703e-06 1.12220871066533e-06 1.1222077206456e-06
33792 24.75 1.10105558122137e-06 1.1010522354355e-06 1.10104988681571e-06
34304 25.125 1.10097877240801e-06 1.10097655805705e-06 1.1009741080907e-06
34816 25.5 1.11072574742216e-06 1.11072396523618e-06 1.11072205590087e-06
35328 25.875 1.0767692208072e-06 1.07676648513436e-06 1.07676590555463e-06
35840 26.25 1.01223320093362e-06 1.01222883988305e-06 1.01222821087301e-06
36352 26.625 9.45989466567435e-07 9.45987567514229e-07 9.45986510917323e-07
36864 27 9.04786682277254e-07 9.04786905180657e-07 9.04784280842688e-07
37376 27.375 8.84456187854272e-07 8.84453000732988e-07 8.84452382657513e-07
37888 27.75 8.80654871904646e-07 8.80651311504389e-07 8.80645478875809e-07
38400 28.125 8.85064127380255e-07 8.85061867217904e-07 8.85053987537535e-07
38912 28.5 8.9447307771637e-07 8.94468489141017e-07 8.94464863683175e-07
39424 28.875 9.05983239489813e-07 9.05976843375434e-07 9.05979620863616e-07
39936 29.25 9.12322281470157e-07 9.12317355915876e-07 9.12320905155098e-07
40448 29.625 9.28010681678474e-07 9.28009358439457e-07 9.28007510123968e-07
40960 30 9.44929691380182e-07 9.4493019343269e-07 9.44926430399813e-07
41472 30.375 9.55704040305142e-07 9.55702010615257e-07 9.5569667896328e-07
41984 30.75 9.58083492354112e-07 9.58079900356024e-07 9.58074347057206e-07
42496 31.125 9.51942732447831e-07 9.51938058424227e-07 9.51933579140535e-07
43008 31.5 9.59517723567506e-07 9.59515870387442e-07 9.59509158128283e-07
43520 31.875 9.76084059388927e-07 9.76080940435823e-07 9.76078729058176e-07
44032 32.25 9.92542722321503e-07 9.92536083379174e-07 9.92534813122396e-07
44544 32.625 1.01018206518601e-06 1.01017873805843e-06 1.01017454390012e-06
45056 33 1.01714896531015e-06 1.01715205192165e-06 1.01714798643762e-06
45568 33.375 1.01150419719201e-06 1.01150743886759e-06 1.01150371127889e-06
46080 33.75 9.91749153775366e-07 9.91749012797106e-07 9.91751737340703e-07
46592 34.125 9.78123156704656e-07 9.78118537097511e-07 9.78122551306061e-07
47104 34.5 9.77571528730643e-07 9.77564559008994e-07 9.77568771454619e-07
47616 34.875 9.69029630989704e-07 9.69025206422595e-07 9.69026818775069e-07
48128 35.25 9.615283487008e-07 9.61522131534341e-07 9.6151557395284e-07
48640 35.625 9.73126645384815e-07 9.73119299388254e-07 9.73116477571896e-07
49152 36 9.901085177113e-07 9.90084010199045e-07 9.90085700465019e-07
49664 36.375 9.95532630553729e-07 9.95524848723415e-07 9.95531738928981e-07
50176 36.75 9.79825897906643e-07 9.79820345755325e-07 9.79825532075441e-07
50688 37.125 9.4944663648569e-07 9.49453161290186e-07 9.49456736779768e-07
51200 37.5 9.24787390927049e-07 9.24793232782598e-07 9.24792871504557e-07
51712 37.875 9.21749341032784e-07 9.21752565871973e-07 9.21761132851191e-07
52224 38.25 9.52787843894417e-07 9.52788188815814e-07 9.52803346000491e-07
52736 38.625 9.90168742172441e-07 9.9016387105084e-07 9.90190536428114e-07
53248 39 1.01493906718642e-06 1.01492709603281e-06 1.0149597201915e-06
