# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.49403756253868e-05 1.49403756253932e-05 1.49403756253974e-05
1024 0.75 1.72698010830269e-05 1.72698010830308e-05 1.72698010830333e-05
1536 1.125 1.58158597823367e-05 1.58158597823343e-05 1.58158597823331e-05
2048 1.5 1.94448242215608e-05 1.94448242215603e-05 1.94448242215618e-05
2560 1.875 2.109006242728e-05 2.10900624272811e-05 2.10900624272834e-05
3072 2.25 2.21644258754417e-05 2.21644258768009e-05 2.21644258768793e-05
3584 2.625 1.89795231980755e-05 1.8979523198172e-05 1.89795223859625e-05
4096 3 2.68126708753659e-05 2.68126708754764e-05 2.68126708754959e-05
4608 3.375 2.56652193423298e-05 2.5665219342981e-05 2.56652193419235e-05
5120 3.75 1.97478732393277e-05 1.97478732393245e-05 1.97478732397615e-05
5632 4.125 2.59823768932063e-05 2.59823768932209e-05 2.59823768935598e-05
6144 4.5 2.92020244261314e-05 2.92020244261761e-05 2.92020244252581e-05
6656 4.875 3.58142254369777e-05 3.58142255664004e-05 3.58142254401895e-05
7168 5.25 2.84895726599571e-05 2.84895726600576e-05 2.84895726610605e-05
7680 5.625 2.67516847756363e-05 2.67516847752631e-05 2.67516847761627e-05
8192 6 2.8306053664634e-05 2.83060541066906e-05 2.83060543605638e-05
8704 6.375 3.04227786014579e-05 3.04227784942877e-05 3.04227782474351e-05
9216 6.75 3.20788892744604e-05 3.20788897604827e-05 3.20788905775874e-05
9728 7.125 2.21356674698114e-05 2.2135666444243e-05 2.21356660527113e-05
10240 7.5 2.95000941898004e-05 2.95000947858081e-05 2.95000942699501e-05
10752 7.875 2.55978460988898e-05 2.55978460728983e-05 2.55978469055993e-05
11264 8.25 3.92442222207787e-05 3.92442211903515e-05 3.92442271797666e-05
11776 8.625 2.87271242767143e-05 2.87271243507766e-05 2.87271243459151e-05
12288 9 3.5290693620264e-05 3.52906936613411e-05 3.52906937058687e-05
12800 9.375 3.59005110417532e-05 3.59005111304399e-05 3.59005112196777e-05
13312 9.75 2.90148222545646e-05 2.90148222942394e-05 2.90148223330868e-05
13824 10.125 2.20819369218185e-05 2.20819369423801e-05 2.20819369594695e-05
14336 10.5 2.32964136056313e-05 2.32964186729054e-05 2.32964357877514e-05
14848 10.875 2.69104523751854e-05 2.69104599005532e-05 2.69104862204759e-05
15360 11.25 2.19339234419146e-05 2.19339252725739e-05 2.19339271876947e-05
15872 11.625 2.38565597839288e-05 2.38565516740968e-05 2.38565436572567e-05
16384 12 1.87237661732927e-05 1.87237583541483e-05 1.87237506568694e-05
16896 12.375 2.17308804442858e-05 2.1730881194575e-05 2.17308819421423e-05
17408 12.75 2.60939391489908e-05 2.60939405368906e-05 2.6093941932873e-05
17920 13.125 2.06553220559649e-05 2.06553208495634e-05 2.06553196877952e-05
18432 13.5 3.05094113397549e-05 3.05094155885293e-05 3.05094198909147e-05
18944 13.875 3.40251358609465e-05 3.40251412481259e-05 3.40251466293673e-05
19456 14.25 2.9675660611598e-05 2.96756616483869e-05 2.96756625523968e-05
19968 14.625 2.11966500552726e-05 2.11966490345302e-05 2.11966479223359e-05
20480 15 1.62129180038356e-05 1.62129194046387e-05 1.62129073567457e-05
20992 15.375 1.94144068366864e-05 1.94144065116191e-05 1.94144148123269e-05
21504 15.75 1.93122560547497e-05 1.93122566358499e-05 1.93122575304702e-05
22016 16.125 2.12111699607676e-05 2.12113621472965e-05 2.12113546597966e-05
22528 16.5 2.66438372903798e-05 2.66438672714622e-05 2.66438844580246e-05
23040 16.875 3.05681815547227e-05 3.05681966746003e-05 3.05682111797619e-05
23552 17.25 2.95433778086079e-05 2.95433901949709e-05 2.95434020703816e-05
24064 17.625 2.74264064974045e-05 2.74264048419507e-05 2.74264039862992e-05
24576 18 2.49829429730359e-05 2.49829330325362e-05 2.49829255210446e-05
25088 18.375 2.35030627003135e-05 2.3503316336828e-05 2.35033779248944e-05
25600 18.75 1.90807347303731e-05 1.90807310323556e-05 1.9080730628019e-05
26112 19.125 1.97461046141753e-05 1.97468423318999e-05 1.97465653688501e-05
26624 19.5 1.83227334199595e-05 1.83232291626881e-05 1.83232117907077e-05
27136 19.875 2.26099307463435e-05 2.26103313948466e-05 2.26103470820158e-05
27648 20.25 2.73642806269669e-05 2.73643106186975e-05 2.7364306359868e-05
28160 20.625 2.64414450502084e-05 2.64414448788363e-05 2.64414214543474e-05
28672 21 3.20390620627464e-05 3.20388481015118e-05 3.20384939494686e-05
29184 21.375 3.20212202484532e-05 3.20210676569489e-05 3.20213150013323e-05
29696 21.75 2.78765725918777e-05 2.78765998683931e-05 2.78766106214138e-05
30208 22.125 2.57600216863778e-05 2.57600268884193e-05 2.57600110858931e-05
30720 22.5 3.00670244317404e-05 3.00670401253796e-05 3.00670156559947e-05
