# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.40888284973776e-07 -9.40888284973801e-07 -9.40888284973804e-07
1024 1 -3.63963633577154e-06 -3.63963633577162e-06 -3.63963633577162e-06
1536 1.5 -5.9238229036055e-06 -5.92382290360548e-06 -5.92382290360548e-06
2048 2 -5.75139391140801e-06 -5.75139391140799e-06 -5.75139391140799e-06
2560 2.5 -6.15103771047535e-06 -6.15103771047534e-06 -6.15103771047531e-06
3072 3 -1.26376924741947e-05 -1.26376924741947e-05 -1.26376924741948e-05
3584 3.5 -1.629285293543e-05 -1.629285293543e-05 -1.62928529354302e-05
4096 4 -1.73747778301602e-05 -1.73747778301602e-05 -1.73747778301606e-05
4608 4.5 -1.98648141520337e-05 -1.98648141520336e-05 -1.98648141520344e-05
5120 5 -2.4158326822792e-05 -2.41583268227919e-05 -2.4158326822793e-05
5632 5.5 -2.80494785059602e-05 -2.804947850596e-05 -2.80494785059626e-05
6144 6 -3.07467613503477e-05 -3.07467613503462e-05 -3.07467613503519e-05
6656 6.5 -3.29835037343872e-05 -3.29835037343872e-05 -3.29835037343881e-05
7168 7 -3.43903007371056e-05 -3.43903007371098e-05 -3.43903007370811e-05
7680 7.5 -3.43989463925658e-05 -3.43989463925384e-05 -3.43989463925383e-05
8192 8 -3.4261495190436e-05 -3.42614951904684e-05 -3.42614951904372e-05
8704 8.5 -3.50372636933988e-05 -3.503726369357e-05 -3.50372636934301e-05
9216 9 -3.54188550951327e-05 -3.54188550951913e-05 -3.54188550951423e-05
9728 9.5 -3.43494610211883e-05 -3.43494610209581e-05 -3.43494610211461e-05
10240 10 -3.28677458619964e-05 -3.28677458618214e-05 -3.28677458619766e-05
10752 10.5 -3.11954124377895e-05 -3.11954124380446e-05 -3.11954124378241e-05
11264 11 -2.78873253436458e-05 -2.78873253439903e-05 -2.78873253436583e-05
11776 11.5 -2.30659730928108e-05 -2.30659730927094e-05 -2.30659730927362e-05
12288 12 -1.85487520093197e-05 -1.8548752008965e-05 -1.85487520092101e-05
12800 12.5 -1.48605340416918e-05 -1.48605340417959e-05 -1.48605340418179e-05
13312 13 -1.13785423540914e-05 -1.13785423545061e-05 -1.13785423542914e-05
13824 13.5 -8.0747189229689e-06 -8.07471892284359e-06 -8.0747189228067e-06
14336 14 -5.18053127147686e-06 -5.18053127153944e-06 -5.18053127163516e-06
14848 14.5 -5.07664298940467e-06 -5.0766429896004e-06 -5.07664298961117e-06
15360 15 -4.84202629794304e-06 -4.84202629761075e-06 -4.84202629798733e-06
15872 15.5 -4.88227899724057e-06 -4.88227899714002e-06 -4.88227899719716e-06
16384 16 -5.07238822524266e-06 -5.07238822551954e-06 -5.07238822554736e-06
16896 16.5 -5.26921066058889e-06 -5.26921066047588e-06 -5.26921066040218e-06
17408 17 -5.58827493252163e-06 -5.58827493256954e-06 -5.58827493247832e-06
17920 17.5 -5.87454500569766e-06 -5.87454500582088e-06 -5.87454500577746e-06
18432 18 -6.19530070900993e-06 -6.19530070866134e-06 -6.19530070859941e-06
18944 18.5 -6.27976481274854e-06 -6.27976481231266e-06 -6.2797648124083e-06
19456 19 -6.43424445641523e-06 -6.43424445631837e-06 -6.43424445629335e-06
19968 19.5 -6.54279029571431e-06 -6.54279029560352e-06 -6.54279029546082e-06
20480 20 -6.70610844318233e-06 -6.70610844314809e-06 -6.70610844348803e-06
20992 20.5 -7.06779865952974e-06 -7.06779865971128e-06 -7.06779865976351e-06
21504 21 -7.17393134128238e-06 -7.17393134124388e-06 -7.17393134129636e-06
22016 21.5 -7.20064723566441e-06 -7.200647235982e-06 -7.20064723579048e-06
22528 22 -6.99565320718482e-06 -6.99565320697194e-06 -6.99565320717741e-06
23040 22.5 -6.88737379362981e-06 -6.8873737934599e-06 -6.88737379348365e-06
23552 23 -6.69710835225446e-06 -6.69710835254073e-06 -6.69710835293719e-06
24064 23.5 -6.54887866061418e-06 -6.548878660771e-06 -6.54887866087508e-06
24576 24 -6.29923474485829e-06 -6.29923474480939e-06 -6.29923474487083e-06
25088 24.5 -6.05236139812986e-06 -6.05236139834468e-06 -6.05236139816208e-06
25600 25 -5.87044022407914e-06 -5.87044022397916e-06 -5.87044022396807e-06
26112 25.5 -5.7601931991231e-06 -5.76019319921061e-06 -5.76019319910892e-06
26624 26 -5.67398246573853e-06 -5.6739824656596e-06 -5.67398246564069e-06
27136 26.5 -5.51553044350803e-06 -5.51553044354045e-06 -5.51553044344522e-06
27648 27 -5.34653901623546e-06 -5.34653901624983e-06 -5.34653901630692e-06
28160 27.5 -5.20956617048131e-06 -5.2095661704107e-06 -5.20956617027229e-06
28672 28 -5.10363687853046e-06 -5.10363687862777e-06 -5.10363687847249e-06
29184 28.5 -4.98609739901382e-06 -4.98609739912979e-06 -4.98609739906413e-06
29696 29 -4.88734301392995e-06 -4.88734301394396e-06 -4.88734301388785e-06
30208 29.5 -4.85720095557353e-06 -4.85720095579945e-06 -4.85720095570547e-06
30720 30 -5.04076419475423e-06 -5.04076419470039e-06 -5.04076419483465e-06
31232 30.5 -4.91988489905318e-06 -4.919884898819e-06 -4.91988489907883e-06
31744 31 -5.15786800295219e-06 -5.1578680029933e-06 -5.15786800297952e-06
32256 31.5 -5.41347676137954e-06 -5.41347676123555e-06 -5.41347676092145e-06
32768 32 -5.57133096116726e-06 -5.57133096097647e-06 -5.571330961027e-06
33280 32.5 -5.53078567218203e-06 -5.53078567238745e-06 -5.53078567223142e-06
33792 33 -5.80097885440419e-06 -5.80097885423111e-06 -5.80097885432512e-06
34304 33.5 -6.05473367705764e-06 -6.05473367701289e-06 -6.05473367698367e-06
34816 34 -6.15464459379178e-06 -6.1546445939036e-06 -6.15464459394135e-06
35328 34.5 -6.27937345824988e-06 -6.2793734584749e-06 -6.27937345800131e-06
35840 35 -6.56583420240288e-06 -6.56583420190021e-06 -6.5658342023318e-06
36352 35.5 -7.88888493564682e-06 -7.88888493547665e-06 -7.88888493541159e-06
36864 36 -8.91006606796607e-06 -8.91006606816917e-06 -8.91006606822894e-06
37376 36.5 -9.94052493509284e-06 -9.94052493520113e-06 -9.94052493611464e-06
37888 37 -1.09577629403248e-05 -1.09577629400085e-05 -1.09577629407431e-05
38400 37.5 -1.11256741677542e-05 -1.11256741674101e-05 -1.11256741684384e-05
38912 38 -1.1730812477598e-05 -1.17308124772086e-05 -1.17308124771477e-05
39424 38.5 -1.18577538532e-05 -1.18577538528436e-05 -1.1857753852733e-05
