# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.0045578927815868 -0.0045578927815868 -0.0045578927815868
1024 1 -0.00901590700044629 -0.00901590700044629 -0.00901590700044629
1536 1.5 -0.0133218057856946 -0.0133218057856946 -0.0133218057856946
2048 2 -0.0176387486041195 -0.0176387486041195 -0.0176387486041195
2560 2.5 -0.0220389619390261 -0.0220389619390261 -0.0220389619390261
3072 3 -0.0264246996450373 -0.0264246996450373 -0.0264246996450373
3584 3.5 -0.030778222909572 -0.030778222909572 -0.030778222909572
4096 4 -0.0350831768672115 -0.0350831768672115 -0.0350831768672115
4608 4.5 -0.0393183565609842 -0.0393183565609842 -0.0393183565609842
5120 5 -0.0434666178937531 -0.0434666178937531 -0.0434666178937531
5632 5.5 -0.0475177098399379 -0.0475177098399379 -0.0475177098399379
6144 6 -0.0514961795373316 -0.0514961795373316 -0.0514961795373316
6656 6.5 -0.0554562843926431 -0.055456284392643 -0.0554562843926432
7168 7 -0.0595457592710252 -0.0595457592710251 -0.0595457592710253
7680 7.5 -0.0635437432501662 -0.0635437432501661 -0.0635437432501663
8192 8 -0.0674542196178708 -0.0674542196178708 -0.0674542196178709
8704 8.5 -0.0712737776777399 -0.0712737776777398 -0.0712737776777401
9216 9 -0.0749941040249362 -0.074994104024936 -0.0749941040249364
9728 9.5 -0.0786136858956783 -0.0786136858956786 -0.0786136858956783
10240 10 -0.0821373442659549 -0.082137344265955 -0.0821373442659546
10752 10.5 -0.0855670807056107 -0.0855670807056104 -0.0855670807056103
11264 11 -0.0888998167789816 -0.0888998167789815 -0.0888998167789814
11776 11.5 -0.0921330935435348 -0.0921330935435349 -0.0921330935435351
12288 12 -0.095269527495504 -0.0952695274955039 -0.0952695274955047
12800 12.5 -0.0983144155854362 -0.0983144155854361 -0.0983144155854361
13312 13 -0.101270965202916 -0.101270965202916 -0.101270965202915
13824 13.5 -0.104140383786695 -0.104140383786695 -0.104140383786694
14336 14 -0.106924082203292 -0.106924082203292 -0.106924082203292
