# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00062199378398
1024 1 1.000524003979
1536 1.5 1.00043751300753
2048 2 1.00036190768708
2560 2.5 1.00041111000796
3072 3 1.00058778063817
3584 3.5 1.00079319240361
4096 4 1.00102510186638
4608 4.5 1.00127771676642
5120 5 1.00155040306154
5632 5.5 1.00183998561594
6144 6 1.00214340000804
6656 6.5 1.00245759369514
7168 7 1.00277969343469
7680 7.5 1.00310690172711
8192 8 1.00343663460797
8704 8.5 1.00376653995787
9216 9 1.00409423873496
9728 9.5 1.0045619948433
10240 10 1.00508636636162
10752 10.5 1.00562937687189
11264 11 1.00618866234553
11776 11.5 1.00676189569854
12288 12 1.0073467156846
12800 12.5 1.00794065762111
13312 13 1.0085414177749
13824 13.5 1.00914647806649
14336 14 1.00975278876841
14848 14.5 1.01035817819566
15360 15 1.01105971235715
15872 15.5 1.01177109572392
16384 16 1.01248134450604
16896 16.5 1.01318763889214
17408 17 1.01388749202615
17920 17.5 1.01457860777788
18432 18 1.01525884922477
18944 18.5 1.01592621776282
19456 19 1.01657874038347
19968 19.5 1.01721468926136
20480 20 1.01783300906642
20992 20.5 1.01843532309701
21504 21 1.01901941990728
22016 21.5 1.01958361368454
22528 22 1.02012683715798
23040 22.5 1.02064861380599
23552 23 1.02114885602398
24064 23.5 1.02162745871675
24576 24 1.02208410347664
25088 24.5 1.02251838658804
25600 25 1.02293002260558
26112 25.5 1.0233190274539
26624 26 1.02368636663232
27136 26.5 1.02403323135831
27648 27 1.02436036738668
28160 27.5 1.02466810667745
28672 28 1.02495653317276
29184 28.5 1.02522530167206
29696 29 1.02547330891277
30208 29.5 1.02569432734395
30720 30 1.02587652797486
31232 30.5 1.02602156869907
31744 31 1.02625422090083
32256 31.5 1.02675967406326
32768 32 1.02726398483743
33280 32.5 1.02776608805905
33792 33 1.02826221337248
34304 33.5 1.02874830868688
34816 34 1.02922553363017
35328 34.5 1.02969556032324
35840 35 1.03015954366368
36352 35.5 1.03061803465132
36864 36 1.03107140168984
37376 36.5 1.03152023957707
37888 37 1.03196548755143
38400 37.5 1.03240825003204
38912 38 1.03284922183402
39424 38.5 1.03328765238402
39936 39 1.03372232754104
40448 39.5 1.03415215035074
40960 40 1.03457628916212
41472 40.5 1.03499430239948
41984 41 1.03540530988748
42496 41.5 1.0358073006666
43008 42 1.03618734276613
43520 42.5 1.03650466905921
44032 43 1.03675336095695
44544 43.5 1.03692889519431
45056 44 1.03732561871517
45568 44.5 1.03810475136172
46080 45 1.03886650767381
46592 45.5 1.03960648522817
47104 46 1.04032157511835
47616 46.5 1.04100942606112
48128 47 1.04166830551493
48640 47.5 1.04229703842714
49152 48 1.04289450401294
49664 48.5 1.043458927479
50176 49 1.04398834146151
50688 49.5 1.04448543575983
51200 50 1.04495370351844
51712 50.5 1.04539287020332
52224 51 1.04580420828675
52736 51.5 1.04618870383054
53248 52 1.04654636258272
53760 52.5 1.04688007268165
54272 53 1.04720246152524
54784 53.5 1.04750678795992
55296 54 1.04778882177963
55808 54.5 1.04805058241892
56320 55 1.0482951051017
56832 55.5 1.04851599092939
57344 56 1.04871531354555
57856 56.5 1.04890050524215
58368 57 1.04907373917734
58880 57.5 1.04923389864427
59392 58 1.04936161025403
59904 58.5 1.04945407887529
60416 59 1.0499868023569
60928 59.5 1.05072656994021
61440 60 1.05143245446889
61952 60.5 1.05210411199309
62464 61 1.05274070697449
62976 61.5 1.05334272879679
63488 62 1.05391073979295
64000 62.5 1.05444540838267
64512 63 1.05494745942949
65024 63.5 1.05541698800706
65536 64 1.05584956271828
66048 64.5 1.05624599838051
66560 65 1.05660824918147
67072 65.5 1.05699895315572
67584 66 1.05772723613272
68096 66.5 1.05842450875303
68608 67 1.05909134945574
69120 67.5 1.05972803815238
69632 68 1.0603345765158
70144 68.5 1.06090966175331
70656 69 1.06145336023514
71168 69.5 1.06196720192288
71680 70 1.06245216143838
72192 70.5 1.06290860613048
72704 71 1.06333686817571
73216 71.5 1.0637375450975
73728 72 1.06411116775673
74240 72.5 1.06445824068444
74752 73 1.06477981764153
75264 73.5 1.06507748529155
75776 74 1.06535478874448
76288 74.5 1.06561605251589
76800 75 1.06586230124071
77312 75.5 1.06609483887838
77824 76 1.06631516873208
78336 76.5 1.06652406383173
78848 77 1.06672145132662
79360 77.5 1.06690719132178
79872 78 1.06708155045952
80384 78.5 1.06724520382893
80896 79 1.06739820814025
81408 79.5 1.06754002968264
81920 80 1.067670668151
82432 80.5 1.06779090723843
82944 81 1.06790174429329
83456 81.5 1.06800345758955
83968 82 1.06809573920926
84480 82.5 1.06817849927612
84992 83 1.06825215406507
85504 83.5 1.06831740067169
86016 84 1.06837478357262
86528 84.5 1.0684243876003
87040 85 1.06846628627837
87552 85.5 1.06850069490756
88064 86 1.0685282267961
88576 86.5 1.0685498097251
89088 87 1.06856625444832
89600 87.5 1.06857790960511
90112 88 1.06858480896881
90624 88.5 1.06858763807759
91136 89 1.06858791784661
91648 89.5 1.06858521018335
92160 90 1.06857871289228
92672 90.5 1.06856754552392
93184 91 1.0685508464614
93696 91.5 1.06852793582998
94208 92 1.06849815043862
94720 92.5 1.06846075708775
95232 93 1.06841512473645
95744 93.5 1.06836085396667
96256 94 1.06827553672851
96768 94.5 1.06816624512286
97280 95 1.06804856126115
97792 95.5 1.06792217773566
98304 96 1.06778687831061
98816 96.5 1.06764269204399
99328 97 1.06748517115757
99840 97.5 1.06730623222253
100352 98 1.06710823361306
100864 98.5 1.06689245772295
101376 99 1.06664916413887
101888 99.5 1.06636072506311
102400 100 1.06601903549342
102912 100.5 1.0656218148937
103424 101 1.06516979818783
103936 101.5 1.06466439874403
104448 102 1.06410489349555
104960 102.5 1.06349155401859
105472 103 1.06282537348783
105984 103.5 1.06210110286986
106496 104 1.06131344967054
107008 104.5 1.06046364897752
107520 105 1.0595565449031
108032 105.5 1.05860290715849
108544 106 1.05761344981247
109056 106.5 1.05658328405971
109568 107 1.05551236845458
110080 107.5 1.05441237596716
110592 108 1.05329332285571
111104 108.5 1.05216268775121
111616 109 1.05102740293646
112128 109.5 1.04989957459767
112640 110 1.04879768033257
113152 110.5 1.04772106284733
113664 111 1.04666912863247
114176 111.5 1.04564204007879
114688 112 1.04483962109125
115200 112.5 1.04633550118521
115712 113 1.04782622670696
116224 113.5 1.04926020267039
116736 114 1.05049273124564
117248 114.5 1.05150066399015
117760 115 1.05238939896358
118272 115.5 1.05318148612207
118784 116 1.05388818492472
119296 116.5 1.05491485401759
119808 117 1.05566648478464
120320 117.5 1.05609270260378
120832 118 1.05455998156969
121344 118.5 1.05227821418648
121856 119 1.05214676292296
122368 119.5 1.05183983438058
122880 120 1.05141925417119
123392 120.5 1.05007393711792
123904 121 1.04879502367037
124416 121.5 1.04759383100074
124928 122 1.04646474926877
125440 122.5 1.04535530356408
125952 123 1.04424558882527
126464 123.5 1.04315807244078
126976 124 1.04182150308181
127488 124.5 1.0401345424386
128000 125 1.03907885862708
128512 125.5 1.03893927782627
129024 126 1.03878359177807
129536 126.5 1.03861956241968
130048 127 1.03847132814659
130560 127.5 1.03834680732029
131072 128 1.03845474339173
131584 128.5 1.03911494525524
132096 129 1.03964606251315
132608 129.5 1.04009579896116
133120 130 1.04043207871298
133632 130.5 1.04115585679824
134144 131 1.04188596526562
134656 131.5 1.04255196549885
135168 132 1.04316354670765
135680 132.5 1.04372426378626
136192 133 1.04422401216631
136704 133.5 1.0446673622147
137216 134 1.04507497876775
137728 134.5 1.04546495937393
138240 135 1.04585354776892
138752 135.5 1.0462524721693
139264 136 1.04667067627864
139776 136.5 1.04712053603595
140288 137 1.04763583687445
140800 137.5 1.04821307306593
141312 138 1.04881178826284
141824 138.5 1.04938987543978
142336 139 1.04995200926786
142848 139.5 1.05048756804874
143360 140 1.05101155028199
143872 140.5 1.05152240284633
144384 141 1.05208393698923
144896 141.5 1.05255052963895
145408 142 1.05307021931236
145920 142.5 1.05320392411547
146432 143 1.05254109234867
146944 143.5 1.05357758304286
147456 144 1.05379130347628
147968 144.5 1.05477961949406
148480 145 1.05471728726722
148992 145.5 1.05371952420695
149504 146 1.05354170457727
150016 146.5 1.05285834119691
150528 147 1.05333653172029
151040 147.5 1.05249888586976
151552 148 1.05249274289437
152064 148.5 1.05304293723798
152576 149 1.05142804010447
153088 149.5 1.04913938002746
153600 150 1.0465023099544
154112 150.5 1.04153475039045
154624 151 1.04265487028954
155136 151.5 1.04381361504507
155648 152 1.04493669273411
156160 152.5 1.04425260158935
156672 153 1.04276547895753
157184 153.5 1.04215597771677
157696 154 1.04230827905567
