# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713102
512 0.5 -0.000141526042088233
1024 1 -0.000168432771947963
1536 1.5 -0.000176567825814938
2048 2 -0.000258024929848045
2560 2.5 -0.00034086814338542
3072 3 -0.000412055572338676
3584 3.5 -0.00047547548771777
4096 4 -0.000533766793847756
4608 4.5 -0.000594562426178769
5120 5 -0.000653994792889007
5632 5.5 -0.000704038847469053
6144 6 -0.000742130088908763
6656 6.5 -0.000773954164447983
7168 7 -0.000806492887078635
7680 7.5 -0.00084079343228951
8192 8 -0.000874199242604155
8704 8.5 -0.000905596311460355
9216 9 -0.00093346361704912
9728 9.5 -0.000954563052554732
10240 10 -0.000972217571102316
10752 10.5 -0.000998003686950209
11264 11 -0.00103434499446667
11776 11.5 -0.00106488877476235
12288 12 -0.00107684942929517
12800 12.5 -0.00108432755256348
13312 13 -0.00111225682265653
13824 13.5 -0.00116188303420631
14336 14 -0.0012083039997159
14848 14.5 -0.00123253172238078
15360 15 -0.00124432038565172
15872 15.5 -0.00126856881780231
16384 16 -0.00131429256978324
16896 16.5 -0.00136500606527488
17408 17 -0.00140255973513429
17920 17.5 -0.00143125167944567
18432 18 -0.00146698010059577
18944 18.5 -0.00150971220139758
19456 19 -0.00154563403645999
19968 19.5 -0.00157547101538228
20480 20 -0.00161793316394657
20992 20.5 -0.00167765350402207
21504 21 -0.00173068188567346
22016 21.5 -0.00175667555313059
22528 22 -0.00177063164999188
23040 22.5 -0.0018040042974411
23552 23 -0.00186222199104635
24064 23.5 -0.00192047514222954
24576 24 -0.00195975346980311
25088 24.5 -0.00198767995971201
25600 25 -0.00201958802996373
26112 25.5 -0.00205708923853088
26624 26 -0.00209576662253698
27136 26.5 -0.00214011108963623
27648 27 -0.0021955717576002
28160 27.5 -0.00225258536930741
28672 28 -0.00229412351004358
29184 28.5 -0.00231903504006359
29696 29 -0.00234631832897394
30208 29.5 -0.00239356400375271
30720 30 -0.00245832226218217
31232 30.5 -0.00252288523608056
31744 31 -0.00257238219625962
32256 31.5 -0.00260671277218029
32768 32 -0.00263883747921531
33280 32.5 -0.00268317281295829
33792 33 -0.00274332522487779
34304 33.5 -0.00280946765232957
34816 34 -0.00286758225201868
35328 34.5 -0.00291127780540889
35840 35 -0.00294629208157955
36352 35.5 -0.00298598097024088
36864 36 -0.0030407042223035
37376 36.5 -0.00310715314386327
37888 37 -0.00316900724888878
38400 37.5 -0.00321349826247256
38912 38 -0.00324688158974271
39424 38.5 -0.00328729571014514
39936 39 -0.00334235317539662
40448 39.5 -0.00340136861907763
40960 40 -0.00345136890550703
41472 40.5 -0.00349258023605351
41984 41 -0.00353363428979213
42496 41.5 -0.00357818696940871
43008 42 -0.00362324224303817
43520 42.5 -0.00366753031065541
44032 43 -0.00371393773545645
44544 43.5 -0.0037625587245877
45056 44 -0.00380712395090764
45568 44.5 -0.00384248828968693
46080 45 -0.00387324838746661
46592 45.5 -0.00391010831732112
47104 46 -0.00395709607792034
47616 46.5 -0.00400589311851191
48128 47 -0.00404504714640368
48640 47.5 -0.00407328091231677
49152 48 -0.00410122491667205
49664 48.5 -0.00413928201169094
50176 49 -0.00418526562737497
50688 49.5 -0.00422684158846053
51200 50 -0.00425685266868487
51712 50.5 -0.00428219372098305
52224 51 -0.00431390614767628
52736 51.5 -0.00435224321882625
53248 52 -0.0043881328771889
53760 52.5 -0.0044178206412493
54272 53 -0.00444771185364979
54784 53.5 -0.00448272294231863
55296 54 -0.00451757326445033
55808 54.5 -0.00454515248767144
56320 55 -0.00456879670450402
56832 55.5 -0.0045988289205108
57344 56 -0.00463743177714616
57856 56.5 -0.00467404226814744
58368 57 -0.00469921114211992
58880 57.5 -0.00471820079066375
59392 58 -0.00474466766225769
59904 58.5 -0.00478233113137055
60416 59 -0.00482015875065782
60928 59.5 -0.00484794396342414
61440 60 -0.00486995095910705
61952 60.5 -0.00489742053805368
62464 61 -0.00493201774056401
62976 61.5 -0.00496487189197834
63488 62 -0.00499120365336775
64000 62.5 -0.005017259829808
64512 63 -0.0050496934646675
65024 63.5 -0.00508506637359767
65536 64 -0.00511570930584331
66048 64.5 -0.00514185890565029
66560 65 -0.00517093965367764
67072 65.5 -0.00520585071883118
67584 66 -0.00524093122628866
68096 66.5 -0.00527134394729423
68608 67 -0.0053005532570707
69120 67.5 -0.00533424257215679
69632 68 -0.00537072115571586
70144 68.5 -0.00540338107936603
70656 69 -0.00543169147919746
71168 69.5 -0.00546332049605485
71680 70 -0.00550310322284339
72192 70.5 -0.0055450304609346
72704 71 -0.00557977656666128
73216 71.5 -0.00560743424584917
73728 72 -0.00563733123766609
74240 72.5 -0.00567560486683568
74752 73 -0.00571817971879666
75264 73.5 -0.00575753380750168
75776 74 -0.00579198557335259
76288 74.5 -0.00582535515392379
76800 75 -0.00586061054455604
77312 75.5 -0.00589770801810383
77824 76 -0.00593618581606023
78336 76.5 -0.00597597980886678
78848 77 -0.0060156936710604
79360 77.5 -0.00605320653495329
79872 78 -0.00608864389026301
80384 78.5 -0.00612445641650772
80896 79 -0.00616208115812109
81408 79.5 -0.00620071166930018
81920 80 -0.0062397177004003
82432 80.5 -0.006279575753114
82944 81 -0.00631942649223721
83456 81.5 -0.00635667190007873
83968 82 -0.00639111041918798
84480 82.5 -0.00642702488333895
84992 83 -0.00646806386190477
85504 83.5 -0.00651137317203845
86016 84 -0.00655039228130423
86528 84.5 -0.00658355842953394
87040 85 -0.00661676377410739
87552 85.5 -0.00665568806596288
88064 86 -0.00669848991953154
88576 86.5 -0.00673878688073708
89088 87 -0.00677426348314215
89600 87.5 -0.00680888333024536
90112 88 -0.00684657770190718
90624 88.5 -0.00688617797316222
91136 89 -0.00692426455460305
91648 89.5 -0.00696049120649828
92160 90 -0.00699724330523398
92672 90.5 -0.00703510429873201
93184 91 -0.00707191041982025
93696 91.5 -0.00710679884756128
94208 92 -0.00714231339506775
94720 92.5 -0.00718068608538129
95232 93 -0.00721995481752077
95744 93.5 -0.00725632821926956
96256 94 -0.0072896444866232
96768 94.5 -0.00732373722878833
97280 95 -0.00736103532214074
97792 95.5 -0.0073992995055994
98304 96 -0.00743498268498178
98816 96.5 -0.00746783781191512
99328 97 -0.00750079173741153
99840 97.5 -0.0075357219891261
