# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.05874180052086e-06
512 0.5 1.04314219410708e-05
1024 1 1.53332258198583e-05
1536 1.5 1.76488172153875e-05
2048 2 1.78639113816874e-05
2560 2.5 1.76622493810066e-05
3072 3 1.83997607744062e-05
3584 3.5 1.94386269695134e-05
4096 4 1.97249029438998e-05
4608 4.5 1.95325185111636e-05
5120 5 1.95675360755281e-05
5632 5.5 2.02951367289557e-05
6144 6 2.06411671622669e-05
6656 6.5 2.05787083246678e-05
7168 7 2.05281261452305e-05
7680 7.5 2.08813772921817e-05
8192 8 2.12398791254787e-05
8704 8.5 2.12615995463411e-05
9216 9 2.12132035941483e-05
9728 9.5 2.13510227352037e-05
10240 10 2.17214819014016e-05
10752 10.5 2.17496786397623e-05
11264 11 2.17849410545825e-05
11776 11.5 2.186383924566e-05
12288 12 2.20950055576043e-05
12800 12.5 2.22370420610154e-05
13312 13 2.22653941792422e-05
13824 13.5 2.23553889062094e-05
14336 14 2.25666133684517e-05
14848 14.5 2.26986914541925e-05
15360 15 2.28137815876226e-05
15872 15.5 2.2912887276232e-05
16384 16 2.30607874360722e-05
16896 16.5 2.32330515359101e-05
17408 17 2.33179444295238e-05
17920 17.5 2.35234484699446e-05
18432 18 2.36374364641062e-05
18944 18.5 2.38561713977981e-05
19456 19 2.39403193694532e-05
19968 19.5 2.40287334745154e-05
20480 20 2.4252771703213e-05
20992 20.5 2.44063848072314e-05
21504 21 2.46478518947107e-05
22016 21.5 2.47652538983598e-05
22528 22 2.48666746362215e-05
23040 22.5 2.50857584674085e-05
23552 23 2.52300665130436e-05
24064 23.5 2.54994399772042e-05
24576 24 2.56118822209131e-05
25088 24.5 2.57632003246397e-05
25600 25 2.59149513141414e-05
26112 25.5 2.60768573332118e-05
26624 26 2.63432200966061e-05
27136 26.5 2.6483486706319e-05
27648 27 2.6672500758136e-05
28160 27.5 2.67460206153881e-05
28672 28 2.69545847744578e-05
29184 28.5 2.71636193224368e-05
29696 29 2.73590453379622e-05
30208 29.5 2.75162995162716e-05
30720 30 2.76482642842503e-05
31232 30.5 2.78260910140219e-05
31744 31 2.80051204845328e-05
32256 31.5 2.82292246532018e-05
32768 32 2.84130200581219e-05
33280 32.5 2.86045754587469e-05
33792 33 2.87693479465827e-05
34304 33.5 2.89407758877756e-05
34816 34 2.91095895750314e-05
35328 34.5 2.93229844462364e-05
35840 35 2.95596406408965e-05
36352 35.5 2.98108272189419e-05
36864 36 3.00137196777037e-05
37376 36.5 3.01585718460833e-05
37888 37 3.03334643773302e-05
38400 37.5 3.05653451669762e-05
38912 38 3.08632415085846e-05
39424 38.5 3.10993607679445e-05
39936 39 3.12467616093175e-05
40448 39.5 3.14310437829814e-05
40960 40 3.16061229095502e-05
41472 40.5 3.18980691838418e-05
41984 41 3.20917049168618e-05
42496 41.5 3.2258337046902e-05
43008 42 3.24602028105727e-05
43520 42.5 3.26624053741797e-05
44032 43 3.29981656407848e-05
44544 43.5 3.31686398203978e-05
45056 44 3.33981674032496e-05
