# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 9.63632982003474e-07 9.63632982003477e-07 9.63632982003477e-07
1024 1 1.66541446572832e-06 1.66541446572831e-06 1.66541446572831e-06
1536 1.5 2.41387407844043e-06 2.41387407844043e-06 2.41387407844045e-06
2048 2 2.59917003369759e-06 2.59917003369755e-06 2.59917003369752e-06
2560 2.5 2.54494957084308e-06 2.54494957084301e-06 2.54494957084308e-06
3072 3 2.72030429797231e-06 2.72030429797233e-06 2.72030429797222e-06
3584 3.5 2.66691509200003e-06 2.66691509200032e-06 2.66691509200081e-06
4096 4 2.53955650497098e-06 2.5395565049713e-06 2.53955650497102e-06
4608 4.5 2.56234714327901e-06 2.56234714327865e-06 2.56234714327883e-06
5120 5 2.5675272549461e-06 2.56752725494604e-06 2.56752725494655e-06
5632 5.5 2.56876632795323e-06 2.56876632795214e-06 2.56876632795392e-06
6144 6 2.59073710216493e-06 2.59073710216198e-06 2.59073710215897e-06
6656 6.5 2.57792582097373e-06 2.57792582097217e-06 2.57792582096854e-06
7168 7 2.48565972291229e-06 2.48565972291461e-06 2.48565972291257e-06
7680 7.5 2.39829032414811e-06 2.39829032415042e-06 2.39829032414743e-06
8192 8 2.37814443121145e-06 2.37814443120869e-06 2.3781444312099e-06
8704 8.5 2.41624067312879e-06 2.41624067312433e-06 2.41624067312678e-06
9216 9 2.45952720764571e-06 2.45952720764425e-06 2.45952720764763e-06
9728 9.5 2.49422945032204e-06 2.49422945031959e-06 2.49422945032516e-06
10240 10 2.5196302086711e-06 2.51963020866346e-06 2.51963020867089e-06
10752 10.5 2.52491185281004e-06 2.5249118528037e-06 2.52491185280734e-06
11264 11 2.54044282989998e-06 2.54044282988938e-06 2.54044282990285e-06
11776 11.5 2.61024144517582e-06 2.61024144516258e-06 2.61024144517353e-06
12288 12 2.63123176293214e-06 2.63123176292023e-06 2.63123176292045e-06
12800 12.5 2.53271776809434e-06 2.53271776808256e-06 2.53271776808575e-06
13312 13 2.46095487081485e-06 2.46095487080821e-06 2.46095487081066e-06
13824 13.5 2.4140571047284e-06 2.41405710472616e-06 2.41405710473112e-06
14336 14 2.28429164216691e-06 2.28429164216822e-06 2.28429164218351e-06
14848 14.5 2.1496662512799e-06 2.14966625128369e-06 2.14966625128784e-06
15360 15 2.1294894000659e-06 2.12948940007055e-06 2.12948940007134e-06
15872 15.5 2.19057267587376e-06 2.19057267586934e-06 2.19057267587312e-06
16384 16 2.26146612999856e-06 2.2614661299946e-06 2.26146612999386e-06
16896 16.5 2.30702418618197e-06 2.3070241861804e-06 2.30702418618351e-06
17408 17 2.32358714881325e-06 2.32358714881342e-06 2.32358714880998e-06
17920 17.5 2.36317203805903e-06 2.36317203805856e-06 2.36317203804791e-06
18432 18 2.3859210203059e-06 2.38592102030049e-06 2.38592102030889e-06
18944 18.5 2.35170474178662e-06 2.35170474178042e-06 2.35170474177674e-06
19456 19 2.38389733351678e-06 2.38389733350665e-06 2.38389733350627e-06
19968 19.5 2.44616134348e-06 2.44616134347647e-06 2.4461613434945e-06
20480 20 2.42330311926664e-06 2.42330311926263e-06 2.42330311927631e-06
20992 20.5 2.39684960966305e-06 2.39684960965839e-06 2.3968496096535e-06
21504 21 2.41059970508729e-06 2.41059970508989e-06 2.41059970508854e-06
22016 21.5 2.44319418557536e-06 2.44319418557171e-06 2.44319418557357e-06
22528 22 2.47287729524465e-06 2.47287729523339e-06 2.47287729524856e-06
23040 22.5 2.47083466065133e-06 2.47083466066078e-06 2.47083466066655e-06
23552 23 2.47232901725788e-06 2.47232901726588e-06 2.47232901726812e-06
24064 23.5 2.47385958521174e-06 2.4738595852008e-06 2.47385958520554e-06
24576 24 2.44692975648121e-06 2.44692975648925e-06 2.44692975648008e-06
25088 24.5 2.44383879527963e-06 2.44383879528708e-06 2.44383879527576e-06
25600 25 2.50243696797286e-06 2.50243696796915e-06 2.50243696798017e-06
26112 25.5 2.48998327764058e-06 2.48998327763264e-06 2.48998327764572e-06
26624 26 2.37054068761104e-06 2.37054068760724e-06 2.37054068761742e-06
27136 26.5 2.30283943573119e-06 2.30283943573051e-06 2.30283943572737e-06
27648 27 2.26968299535371e-06 2.26968299536416e-06 2.26968299535869e-06
28160 27.5 2.21340638559561e-06 2.21340638561172e-06 2.21340638562161e-06
28672 28 2.20283754549073e-06 2.20283754549729e-06 2.20283754550363e-06
29184 28.5 2.25211043483955e-06 2.25211043484203e-06 2.25211043484364e-06
29696 29 2.29309311263361e-06 2.29309311262773e-06 2.293093112625e-06
30208 29.5 2.29770103161262e-06 2.2977010316048e-06 2.29770103159942e-06
30720 30 2.29736388163571e-06 2.29736388163363e-06 2.29736388163261e-06
31232 30.5 2.34154918751604e-06 2.34154918751618e-06 2.34154918751664e-06
31744 31 2.40305438503458e-06 2.40305438502942e-06 2.40305438503637e-06
32256 31.5 2.44221728349999e-06 2.44221728349916e-06 2.44221728350589e-06
32768 32 2.48418078172431e-06 2.48418078174369e-06 2.48418078172482e-06
33280 32.5 2.51668117336781e-06 2.51668117338098e-06 2.51668117337582e-06
33792 33 2.52869283657915e-06 2.52869283658022e-06 2.52869283660206e-06
34304 33.5 2.5381785547234e-06 2.538178554732e-06 2.53817855474354e-06
34816 34 2.52501678116576e-06 2.52501678118231e-06 2.52501678117818e-06
35328 34.5 2.48891004655473e-06 2.48891004655206e-06 2.48891004655423e-06
35840 35 2.45612956125555e-06 2.45612956125091e-06 2.45612956124616e-06
36352 35.5 2.44867131526916e-06 2.44867131529066e-06 2.44867131526289e-06
36864 36 2.46219516388274e-06 2.46219516390323e-06 2.46219516388386e-06
37376 36.5 2.4659142990448e-06 2.46591429905578e-06 2.46591429904768e-06
37888 37 2.48053044352974e-06 2.48053044354822e-06 2.48053044353005e-06
38400 37.5 2.50270043837496e-06 2.50270043840459e-06 2.50270043837522e-06
38912 38 2.49151328363614e-06 2.49151328365377e-06 2.49151328363146e-06
39424 38.5 2.47884899606832e-06 2.47884899606477e-06 2.47884899607213e-06
39936 39 2.48493490584975e-06 2.48493490583297e-06 2.48493490584558e-06
40448 39.5 2.4817886474544e-06 2.48178864743788e-06 2.48178864744212e-06
40960 40 2.47386459275542e-06 2.47386459276097e-06 2.4738645927622e-06
41472 40.5 2.45943962925434e-06 2.4594396292796e-06 2.45943962927025e-06
41984 41 2.43533104529744e-06 2.43533104531182e-06 2.43533104529723e-06
42496 41.5 2.42029136811592e-06 2.42029136812043e-06 2.42029136811514e-06
43008 42 2.42036247010607e-06 2.42036247011849e-06 2.42036247011299e-06
43520 42.5 2.42467714525335e-06 2.42467714526723e-06 2.42467714525318e-06
44032 43 2.4161097517535e-06 2.41610975177486e-06 2.41610975175103e-06
44544 43.5 2.41054558669534e-06 2.41054558670501e-06 2.41054558669602e-06
45056 44 2.41407654290692e-06 2.41407654290703e-06 2.4140765429014e-06
45568 44.5 2.43043813565525e-06 2.43043813566606e-06 2.43043813565581e-06
46080 45 2.44005713288446e-06 2.44005713290717e-06 2.44005713288591e-06
46592 45.5 2.40843261725624e-06 2.408432617267e-06 2.40843261725653e-06
47104 46 2.36545757178694e-06 2.3654575717886e-06 2.36545757179081e-06
47616 46.5 2.37658465185519e-06 2.37658465185194e-06 2.37658465185094e-06
48128 47 2.40767470152221e-06 2.40767470152938e-06 2.40767470151324e-06
48640 47.5 2.37874565787905e-06 2.37874565788432e-06 2.37874565787878e-06
49152 48 2.33664613727136e-06 2.33664613728397e-06 2.33664613728403e-06
49664 48.5 2.32405097761575e-06 2.32405097765261e-06 2.3240509776337e-06
50176 49 2.31398919385783e-06 2.31398919388461e-06 2.31398919387393e-06
50688 49.5 2.30801221643109e-06 2.30801221643427e-06 2.3080122164428e-06
51200 50 2.30518443833276e-06 2.30518443834048e-06 2.30518443834366e-06
51712 50.5 2.33333219909977e-06 2.3333321991183e-06 2.33333219911208e-06
52224 51 2.38358696607208e-06 2.38358696607799e-06 2.38358696608151e-06
52736 51.5 2.38217314953367e-06 2.38217314953245e-06 2.3821731495464e-06
53248 52 2.33259903724862e-06 2.33259903725674e-06 2.33259903726627e-06
53760 52.5 2.31700532700518e-06 2.31700532701391e-06 2.31700532702354e-06
54272 53 2.33584445909825e-06 2.33584445909282e-06 2.33584445911536e-06
54784 53.5 2.35591324176196e-06 2.35591324177287e-06 2.35591324177421e-06
55296 54 2.39501241225014e-06 2.39501241228472e-06 2.39501241225369e-06
55808 54.5 2.41984232622147e-06 2.41984232624131e-06 2.4198423262145e-06
56320 55 2.3872763562257e-06 2.38727635621475e-06 2.38727635620654e-06
56832 55.5 2.32468821740319e-06 2.3246882173929e-06 2.32468821739002e-06
57344 56 2.29758954451647e-06 2.29758954452164e-06 2.29758954452019e-06
57856 56.5 2.32891642880563e-06 2.32891642881608e-06 2.32891642883179e-06
58368 57 2.35875160928904e-06 2.35875160930795e-06 2.35875160932755e-06
58880 57.5 2.3441676460033e-06 2.3441676460216e-06 2.34416764603552e-06
59392 58 2.3308407523537e-06 2.33084075234696e-06 2.33084075236333e-06
59904 58.5 2.35266184840871e-06 2.35266184839044e-06 2.35266184838949e-06
60416 59 2.36098257740259e-06 2.36098257740429e-06 2.36098257737895e-06
60928 59.5 2.32335505976136e-06 2.32335505979351e-06 2.3233550597784e-06
61440 60 2.28187875717633e-06 2.28187875720084e-06 2.28187875720135e-06
61952 60.5 2.27795651210065e-06 2.27795651210786e-06 2.27795651211098e-06
62464 61 2.28606289067781e-06 2.28606289068221e-06 2.2860628906821e-06
62976 61.5 2.29470587038081e-06 2.29470587038137e-06 2.2947058703859e-06
63488 62 2.33177354989803e-06 2.33177354988749e-06 2.33177354990472e-06
64000 62.5 2.36025466297967e-06 2.36025466297907e-06 2.36025466299698e-06
64512 63 2.3224176063931e-06 2.32241760640409e-06 2.3224176064103e-06
65024 63.5 2.24997130461822e-06 2.24997130462397e-06 2.24997130462904e-06
65536 64 2.21095090144102e-06 2.21095090145132e-06 2.21095090144778e-06
66048 64.5 2.21810161811757e-06 2.21810161813698e-06 2.21810161812823e-06
66560 65 2.23767785123071e-06 2.23767785124404e-06 2.23767785123813e-06
67072 65.5 2.25314686658535e-06 2.2531468665849e-06 2.2531468665807e-06
67584 66 2.25737599740223e-06 2.25737599739647e-06 2.25737599739556e-06
68096 66.5 2.24337976850189e-06 2.24337976849478e-06 2.24337976849817e-06
68608 67 2.22733761999104e-06 2.22733761998862e-06 2.22733761999163e-06
69120 67.5 2.22488249144029e-06 2.22488249144984e-06 2.2248824914516e-06
69632 68 2.23290832983565e-06 2.23290832983951e-06 2.23290832985154e-06
70144 68.5 2.22562760667598e-06 2.22562760666702e-06 2.22562760668627e-06
70656 69 2.21063892491869e-06 2.21063892490922e-06 2.2106389249301e-06
71168 69.5 2.21205352389213e-06 2.2120535239007e-06 2.21205352390137e-06
71680 70 2.20770069962518e-06 2.20770069963822e-06 2.20770069962834e-06
72192 70.5 2.19122065783971e-06 2.19122065784011e-06 2.19122065782751e-06
72704 71 2.1945606008819e-06 2.19456060088623e-06 2.19456060086462e-06
73216 71.5 2.20915699633301e-06 2.20915699634287e-06 2.20915699633095e-06
73728 72 2.21357856123327e-06 2.21357856123209e-06 2.21357856123614e-06
74240 72.5 2.21500663889688e-06 2.21500663889554e-06 2.2150066388993e-06
74752 73 2.21576490617441e-06 2.21576490618326e-06 2.2157649061924e-06
75264 73.5 2.21676539832573e-06 2.21676539832636e-06 2.21676539832944e-06
75776 74 2.20290328756015e-06 2.20290328755513e-06 2.20290328754146e-06
76288 74.5 2.16670876964149e-06 2.16670876962728e-06 2.16670876962435e-06
76800 75 2.14349787437219e-06 2.14349787436791e-06 2.14349787437872e-06
77312 75.5 2.15557802005184e-06 2.15557802006869e-06 2.15557802007307e-06
77824 76 2.17518736273372e-06 2.17518736276781e-06 2.17518736275461e-06
78336 76.5 2.18244896848588e-06 2.18244896850449e-06 2.18244896847908e-06
78848 77 2.18978402095617e-06 2.18978402094603e-06 2.18978402093026e-06
79360 77.5 2.20159834787605e-06 2.20159834786818e-06 2.20159834786668e-06
79872 78 2.20562765372805e-06 2.2056276537357e-06 2.20562765373502e-06
80384 78.5 2.19945473730461e-06 2.19945473730454e-06 2.19945473730913e-06
80896 79 2.18802620923861e-06 2.18802620923054e-06 2.18802620924995e-06
81408 79.5 2.17752383373948e-06 2.17752383374937e-06 2.17752383376431e-06
81920 80 2.1701728578313e-06 2.17017285785574e-06 2.17017285784619e-06
82432 80.5 2.16293447680781e-06 2.16293447682678e-06 2.16293447680883e-06
82944 81 2.16571404524613e-06 2.16571404526327e-06 2.16571404526134e-06
83456 81.5 2.1735617268556e-06 2.17356172686591e-06 2.17356172687472e-06
83968 82 2.1658179677887e-06 2.16581796777785e-06 2.16581796778539e-06
84480 82.5 2.15677043391893e-06 2.15677043390202e-06 2.15677043390078e-06
84992 83 2.16184523087901e-06 2.16184523088502e-06 2.16184523085379e-06
85504 83.5 2.17149274950974e-06 2.17149274952657e-06 2.17149274949441e-06
86016 84 2.17590280429331e-06 2.17590280430506e-06 2.17590280429823e-06
86528 84.5 2.16994656565984e-06 2.16994656567802e-06 2.16994656568265e-06
87040 85 2.16184455969666e-06 2.16184455970491e-06 2.16184455972104e-06
87552 85.5 2.14712390595737e-06 2.14712390594298e-06 2.14712390597289e-06
88064 86 2.12794659066249e-06 2.12794659065055e-06 2.12794659066526e-06
88576 86.5 2.11670305538706e-06 2.11670305539425e-06 2.11670305538139e-06
89088 87 2.10725652389922e-06 2.10725652390917e-06 2.10725652388785e-06
89600 87.5 2.09770670986498e-06 2.09770670987348e-06 2.09770670986285e-06
90112 88 2.10353454431638e-06 2.10353454433014e-06 2.10353454433001e-06
90624 88.5 2.12479163203124e-06 2.12479163204203e-06 2.12479163203927e-06
91136 89 2.14087559339773e-06 2.14087559339675e-06 2.14087559339368e-06
91648 89.5 2.14018750662929e-06 2.14018750662718e-06 2.14018750662612e-06
92160 90 2.13350483614766e-06 2.1335048361508e-06 2.13350483614826e-06
92672 90.5 2.12717978984624e-06 2.12717978984814e-06 2.12717978985773e-06
93184 91 2.11776016191496e-06 2.11776016191911e-06 2.11776016194091e-06
93696 91.5 2.11216626170052e-06 2.11216626171223e-06 2.1121662617167e-06
94208 92 2.10302091150614e-06 2.10302091151744e-06 2.10302091150201e-06
94720 92.5 2.0920676928389e-06 2.09206769284568e-06 2.09206769282753e-06
95232 93 2.09175364586756e-06 2.09175364587275e-06 2.09175364587491e-06
95744 93.5 2.09696226492584e-06 2.09696226492753e-06 2.0969622649481e-06
96256 94 2.09785901520016e-06 2.09785901520252e-06 2.09785901521886e-06
96768 94.5 2.09827248101036e-06 2.0982724810194e-06 2.09827248102041e-06
97280 95 2.09906005636848e-06 2.09906005638518e-06 2.09906005637439e-06
